SOS_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOS50,37732,264663,298046,95428,50308,746172,9043,755215
SOS51,6522,46728,53283,18871,9666,135071,2512,137580
SOS52,1817,7072,7201,2821,1636,20540,652,21197
SOS53,1033,9396,18252,10777,10312,49766,972,50741
SOS57,0,0,0,0,0,3,0,3
SOS59,0,0,0,0,0,0,0,0
