SOS_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOS50,39645,41531,23074,14642,19395,10409,6112,154814,11824,11042,6147,4031,5108,2136,1033,41318,12525,11671,6139,3961,4640,1860,963,41751,41513,39557,23818,15529,18579,6874,3195,149058,437,441,265,157,77,25,16,1415,105948,104240,59444,38312,47798,21308,11311,388355,2565,4551,3436,2586,3741,1909,1344,20129,1997,2965,2048,1466,1760,639,349,11224,1317,2224,1526,1197,1444,520,326,8562,7510,11194,7635,5668,6418,1785,1000,41204,488,546,327,169,124,42,21,1713,13875,21474,14976,11075,13496,4890,3044,82833,119817,125718,74414,49390,61289,26197,14355,471189
SOS51,2984,3126,1867,1210,1494,213,95,10987,1595,1575,883,527,618,58,20,5283,2023,2030,1002,613,643,61,14,6403,12064,12538,7117,4687,4903,440,117,41870,95,120,54,45,19,0,0,333,18754,19390,10930,7086,7677,778,250,64867,199,315,248,187,287,38,17,1288,279,478,333,217,246,21,12,1583,221,382,272,212,266,25,6,1380,2570,3851,2648,1919,1961,149,43,13139,135,181,89,77,38,0,0,523,3399,5206,3591,2607,2801,236,74,17917,22156,24602,14519,9695,10478,1013,329,82788
SOS52,221,247,125,78,112,10,6,798,167,173,86,65,61,15,3,573,254,212,106,61,62,6,5,704,1758,1804,1100,626,552,47,8,5899,21,34,17,8,5,0,0,90,2427,2472,1444,837,794,75,23,8066,13,17,16,7,13,3,0,66,36,59,24,30,22,3,0,178,15,38,35,22,24,4,0,140,594,771,497,333,289,23,6,2517,27,34,26,16,9,0,0,106,689,922,602,406,352,36,9,3011,3116,3391,2042,1244,1146,110,25,11077
SOS53,401,527,445,304,427,126,81,2313,402,530,381,275,335,59,35,2007,681,778,486,293,350,77,34,2698,4288,5310,3421,2058,2158,386,169,17792,29,42,28,20,9,3,0,140,5802,7188,4766,2951,3277,644,314,24949,30,52,50,35,42,0,9,227,46,99,64,59,62,12,3,345,44,72,54,33,56,10,0,270,466,702,540,361,367,51,15,2509,27,40,21,23,7,0,0,111,613,959,729,513,526,72,30,3456,6419,8151,5496,3465,3804,716,348,28403
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
