SOS_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOS50,18854,5466,39936,355602,455374,186237,138256,424023,96390,1655875
SOS51,3259,1182,7350,57537,81245,35635,28688,71110,31086,305293
SOS52,493,199,1134,8777,11856,5811,5139,10754,5871,48211
SOS53,618,172,1649,24533,34068,17355,15033,26461,19615,137066
SOS57,0,0,0,33,21,10,15,214,222,516
SOS59,10,23,30,870,963,339,278,1476,3362,7285
