SOS_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOS50,3064,2152,1694,407,708,151,8173,718,341,369,85,158,20,1688,1262,673,708,177,381,57,3255,1084,690,650,181,338,41,2980,1838,1337,1027,370,652,82,5303,2581,2246,1473,665,889,113,7965,3788,4235,2050,930,1208,166,12384,5139,6719,2580,1399,1491,249,17569,5997,9049,2569,1537,1368,221,20750,7142,11815,3240,1714,1365,222,25502,5466,10331,2519,1191,931,188,20633,8399,16064,4904,1730,1343,272,32711,3714,7844,2012,657,485,102,14820,2671,6234,1642,505,322,63,11438,5012,10843,3343,838,666,111,20814,6204,13484,4700,880,802,124,26198,2605,5523,2025,383,310,47,10890,2178,5149,1979,248,280,41,9876,3891,5601,2828,804,1011,202,14337,72749,120333,42310,14714,14712,2475,267291
SOS51,475,218,138,66,85,18,996,151,61,42,14,27,7,301,323,159,78,48,61,12,680,246,165,87,41,89,6,638,503,404,197,126,143,17,1392,742,713,218,206,191,13,2090,999,1123,333,288,203,22,2977,1190,1627,435,370,268,28,3931,1161,1908,455,285,189,27,4026,1284,2128,499,325,175,25,4438,754,1544,343,177,101,17,2943,1203,2179,623,262,151,23,4448,418,940,215,73,40,7,1705,257,554,119,53,21,8,1011,651,1097,364,99,69,7,2285,720,1110,377,85,58,4,2360,289,350,152,32,22,8,851,190,222,106,16,13,6,548,691,733,292,137,102,27,1990,12255,17256,5078,2726,2005,296,39609
SOS52,72,20,9,3,12,0,115,36,17,10,14,11,0,84,68,34,25,12,26,0,179,81,57,20,14,19,0,191,150,100,36,26,32,0,349,136,127,51,37,32,4,385,146,175,46,38,37,3,445,154,182,63,38,26,5,467,143,148,44,36,22,0,394,117,179,67,25,13,0,405,71,108,34,14,9,0,241,107,174,54,11,14,3,360,39,70,19,5,0,0,130,31,44,13,6,0,0,100,77,87,26,15,9,0,212,84,71,39,3,3,0,209,39,30,9,0,0,0,86,27,12,5,0,0,0,55,113,60,35,21,21,3,255,1706,1703,612,314,286,35,4656
SOS53,430,226,163,36,45,10,902,80,30,18,12,5,0,144,157,62,45,11,17,3,298,124,59,43,13,23,7,261,192,119,62,31,29,4,433,252,138,91,25,34,0,546,337,255,137,47,43,4,829,363,294,169,49,58,7,947,322,365,131,43,42,6,904,387,414,176,39,36,5,1057,257,387,147,27,24,0,840,535,665,291,49,51,10,1601,210,360,91,21,21,0,703,185,274,79,26,18,3,577,424,586,224,47,36,0,1308,678,872,358,56,49,3,2013,269,314,168,25,25,0,801,244,244,142,18,22,0,669,394,299,231,56,51,8,1045,5835,5970,2784,613,617,68,15893
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
