SOS_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOS50,195,51,554,313,800,88,2007,4778,1031,11018,4516,18857,969,41170,1686,389,5114,3615,15243,748,26793,732,182,1680,802,2484,131,6005,1815,454,7180,6267,34933,1485,52125,902,178,2718,1610,5605,307,11320,1558,306,5561,3047,8335,728,19528,848,151,3766,3511,6221,596,15088,1803,429,5094,4535,8523,917,21296,436,117,1538,794,1152,109,4132,1370,582,4412,2043,1143,229,9772,414,128,1822,1160,1778,177,5476,8120,1749,20754,5272,4773,931,41588,790,213,2484,1582,3942,366,9373,3012,1430,7486,5153,7720,692,25495,5182,2358,8152,1750,2620,374,20429,5197,1352,11236,3195,4407,718,26107,479,147,1849,957,1818,192,5450,766,223,2046,1652,9616,373,14666,1792,311,4536,2445,8201,2162,19443,41872,11763,108984,54219,148170,12261,377274,116,47,447,226,345,72,1255,1703,596,4684,1574,2656,269,11482,748,279,2798,1733,2634,370,8569,369,131,956,391,574,61,2494,643,303,3025,2049,3157,380,9565,388,175,1648,928,1539,208,4897,1626,465,7123,4695,9850,1117,24880,927,250,4901,3464
SOS51,48,15,270,208,1035,124,1704,314,107,1013,1037,8504,288,11268,126,47,650,486,3269,172,4751,42,17,106,181,1162,45,1551,55,35,400,790,7697,270,9250,22,11,135,174,1224,40,1603,62,20,357,330,1921,120,2806,88,19,352,414,1383,107,2365,85,44,379,527,2299,142,3470,17,13,79,56,156,11,335,38,23,124,152,109,10,465,12,5,98,147,389,30,678,198,79,834,407,724,57,2300,19,11,148,160,879,47,1264,231,161,809,867,1690,113,3880,336,396,1214,290,619,44,2900,496,143,1218,438,942,113,3352,20,4,77,67,213,15,396,87,31,176,177,2287,66,2822,57,20,231,216,1626,373,2522,2349,1205,8670,7119,38144,2187,59685,24,20,188,152,304,58,747,120,61,530,413,1205,92,2426,43,48,382,270,666,77,1485,18,12,77,64,184,9,365,31,22,220,308,777,59,1422,3,13,97,102,329,27,578,104,62,680,741,2636,271,4496,81,38,759,655
SOS52,4,3,84,52,363,63,574,33,11,110,132,892,40,1225,9,4,33,47,381,21,497,0,0,3,10,127,9,152,4,3,41,62,730,37,873,4,0,29,17,172,9,226,11,0,48,36,162,17,266,10,0,30,54,173,19,287,6,3,16,47,231,20,324,3,0,0,5,17,0,27,4,4,6,11,7,0,25,0,0,4,9,33,0,45,16,7,62,38,47,10,173,3,4,21,30,102,17,176,26,22,93,155,329,29,659,39,41,142,22,85,12,335,33,12,95,50,100,7,295,0,0,13,13,30,4,63,4,3,21,19,273,7,323,6,0,21,30,212,67,337,211,120,884,819,4464,389,6887,3,5,84,44,102,25,256,14,7,60,62,109,15,262,3,0,40,31,89,10,181,0,0,0,0,14,3,18,3,9,19,40,75,4,142,0,0,24,13,53,5,86,11,4,78,62,224,33,419,18,9,97,80
SOS53,100,44,983,760,2693,304,4895,149,67,599,531,3365,153,4870,40,24,220,212,1197,55,1763,0,5,42,59,291,12,413,42,19,210,375,2965,137,3745,14,9,83,82,465,20,671,15,6,113,110,491,39,771,20,9,149,108,415,64,769,15,11,93,158,738,44,1050,0,3,31,28,59,4,121,13,6,75,58,42,11,207,6,5,38,66,139,9,265,135,37,462,180,251,40,1098,7,6,71,73,375,28,562,56,42,227,286,690,42,1349,102,99,328,110,221,15,874,74,36,267,99,179,25,683,4,11,53,29,136,13,250,18,6,46,61,988,29,1152,38,8,119,127,636,167,1091,861,438,4219,3521,16340,1219,26595,94,129,984,593,954,210,2966,57,23,214,168,383,49,894,35,22,184,146,306,37,731,8,6,27,21,42,9,113,17,17,126,185,336,32,710,11,9,70,75,180,18,358,30,24,253,251,656,89,1311,27,18,275,226
SOS57,0,0,5,0,12,5,23,4,0,8,9,30,3,54,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,15,4,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,4,22,5,3,33,18,106,13,179,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,7,7,15,0,35,3,0,13,9,68,8,104,0,0,3,6,17,0,27,0,0,0,0,3,0,3,0,0,8,3,70,0,80,0,0,0,0,0,0,6,4,0,6,4,11,0,23,4,0,15,15,26,0,62,0,0,3,8,20,0,37,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,3,25,5,8,0,40,0,0,5,0,14,0,23,5,0,7,5,9,0,25,5,0,3,5,4,0,18,0,4,7,4,6,0,32,0,0,9,0,3,0,7,0,0,5,0,21,0,27,4,0,0,0,14,8,32,34,12,123,81,324,19,595,5,0,16,7,5,0,32,0,0,3,6,9,0,29,0,0,8,5,6,0,14,0,0,3,0,0,0,5,0,0,0,0,5,0,13,0,0,0,0,0,0,7,4,0,9,7,11,0,32,10,0,24,16
