SOS_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOS50,179831,24086,8407,1342,147,213814,275929,28092,10814,104,157,315082,69228,28259,26315,105,134,124036,7019,8671,2800,7,26,18516,1186,1982,1002,4,18,4185,33366,10386,6195,107,69,50123,3762,1268,767,348,34,6184,581,371,175,8,0,1142,115147,50936,37254,579,279,204186,5859,5015,2087,62,29,13052,6122,1861,853,111,133,9079,582882,109986,59408,2198,744,755215
SOS51,34721,2159,247,909,78,38109,45576,1616,158,106,57,47509,14431,3677,1039,41,44,19235,4642,2398,264,3,23,7338,791,732,203,4,12,1746,8491,1163,175,70,52,9954,5686,985,297,364,68,7401,177,91,17,5,0,287,34226,9056,1995,497,197,45964,2189,951,113,110,60,3427,1820,502,66,123,59,2573,118529,14278,2581,1736,462,137580
SOS52,6839,72,16,220,57,7210,5600,35,17,41,8,5705,945,68,27,6,0,1057,1553,239,33,3,14,1848,710,126,38,10,8,897,1529,71,21,19,9,1645,837,85,13,68,32,1030,59,15,4,5,0,76,5631,605,141,110,66,6552,919,69,14,31,19,1057,537,39,26,35,33,670,19532,825,212,441,181,21197
SOS53,21009,117,42,800,215,22187,16966,105,25,139,99,17338,1333,15,4,25,5,1389,469,18,3,5,6,505,481,19,10,13,10,535,3071,23,17,64,48,3237,1099,10,12,204,66,1394,51,5,0,4,5,59,6505,99,52,321,144,7116,2817,27,33,115,112,3105,802,8,7,111,64,990,48095,357,163,1485,635,50741
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
