SOS_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS50,1189,6844,5455,3236,7802,7663,2481,4666,439,39786,1449,5749,4297,2730,8228,10103,2496,5867,7251,48169,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
SOS51,281,1077,742,500,1242,1433,518,1347,80,7228,328,903,564,392,877,1117,408,1276,1306,7170,9854,23718,18831,13231,28616,31740,12660,35352,3241,177243
SOS52,32,107,95,61,124,143,57,146,9,778,88,131,73,39,129,141,56,160,274,1102,1442,2971,2393,1584,3166,4013,1554,4866,661,22648
SOS53,115,418,285,218,382,531,191,517,44,2699,221,468,306,194,331,520,145,534,626,3337,4595,10898,8540,5471,8991,12716,4920,21891,1763,79789
SOS57,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,29,0,35,13,14,5,3,5,5,11,220,5,277
SOS59,6,12,6,4,9,4,0,10,0,52,9,13,0,3,5,20,0,24,12,78,181,208,163,110,217,250,70,370,33,1614
