SOS_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS50,3445,5811,7119,6139,21759,32158,12776,30970,804,120974,10604,24326,25555,20068,50406,62676,18005,32952,1535,246123,6166,10450,10563,8047,29585,37490,12516,31969,2209,148990,5765,31701,25056,14213,18891,14187,4051,7749,1765,123372,5052,17607,18410,11215,34424,25602,6065,8613,932,127920,2842,28890,15215,6334,11574,8867,2484,4482,881,81572,4177,5962,5531,3608,12252,12128,5477,19780,1418,70332,3702,24912,14309,7151,12644,11106,3347,9761,1585,88524,759,1683,1177,784,2608,2689,708,1978,4489,16875,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
SOS51,722,949,993,882,2757,4038,1791,5384,166,17687,1622,2682,2767,2520,5167,6049,2141,4219,201,27373,1864,1941,1819,1457,4924,7442,3294,10084,542,33376,1210,4368,3875,2702,3471,2954,848,1683,326,21435,982,2793,2760,1845,4788,3506,958,1622,156,19407,634,4472,2477,1341,2330,1648,541,852,176,14474,1524,1107,976,580,1806,2634,1839,7868,358,18692,1067,5115,2988,1776,3004,3005,1076,3063,470,21559,221,291,171,130,361,465,171,579,846,3235,9854,23718,18831,13231,28616,31740,12660,35352,3241,177243
SOS52,172,183,163,157,337,569,280,1020,41,2921,167,288,279,225,465,693,208,537,36,2897,205,271,264,200,534,760,347,1087,87,3756,206,492,460,329,431,433,117,259,70,2796,138,393,359,205,459,404,124,186,29,2286,68,357,231,121,197,182,56,136,25,1381,243,217,157,82,315,414,233,1161,72,2909,176,716,454,257,392,497,173,415,99,3169,58,47,26,11,42,66,22,70,208,540,1442,2971,2393,1584,3166,4013,1554,4866,661,22648
SOS53,743,1338,1380,992,1336,3260,1397,8213,332,18991,704,1355,1303,930,1474,1994,711,1770,81,10329,779,973,857,661,1652,2505,989,4261,223,12899,438,1597,1250,734,821,780,237,545,107,6510,370,1582,1356,793,1410,1216,298,735,80,7848,197,1350,737,351,494,455,144,369,72,4167,765,548,472,255,671,1038,560,3742,170,8214,460,2032,1083,684,1012,1289,540,1995,228,9320,128,134,102,75,125,173,51,256,468,1511,4595,10898,8540,5471,8991,12716,4920,21891,1763,79789
SOS57,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,29,0,33,4,3,0,0,0,4,0,67,0,83,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,31,3,8,0,0,0,0,4,76,5,98,0,0,0,0,0,0,0,7,0,6,13,14,5,3,5,5,11,220,5,277
SOS59,21,16,5,4,20,25,6,17,5,107,42,42,31,15,25,49,15,24,3,257,30,20,21,16,33,38,13,98,5,272,11,42,44,18,34,24,7,27,5,223,24,27,8,13,27,32,7,12,4,150,9,17,13,3,10,13,0,4,0,77,25,16,7,13,7,20,10,104,6,213,18,35,30,22,48,48,14,80,3,292,0,3,0,0,6,0,3,8,5,33,181,208,163,110,217,250,70,370,33,1614
