SOS_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS50,149336,103359,49960,18246,1070039
SOS51,27930,19040,8973,3154,183493
SOS52,4683,3525,1592,448,25255
SOS53,16365,10962,3884,637,82455
SOS57,48,15,0,0,428
SOS59,876,505,105,20,5668
