SOS_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOS50,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
SOS51,17687,27373,33376,21435,19407,14474,18692,21559,3235,177243
SOS52,2921,2897,3756,2796,2286,1381,2909,3169,540,22648
SOS53,18991,10329,12899,6510,7848,4167,8214,9320,1511,79789
SOS57,9,33,83,9,10,0,31,98,6,277
SOS59,107,257,272,223,150,77,213,292,33,1614
