SOS_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS50,446,444,1636,2583,3314,4835,8836,10967,6951,40010,94,232,1317,1854,2098,2162,1879,1542,1141,12309,4140,6346,17615,15600,13232,11130,10097,9509,7228,94894,52586,128109,295678,297739,263499,229502,182178,99453,39903,1588634
SOS51,151,128,345,471,661,1072,2020,2705,1586,9126,23,45,195,199,244,226,219,182,148,1473,1843,1978,5507,5201,4859,4219,3228,2463,1489,30785,10735,19228,50547,52114,50116,46785,36978,19660,7340,293503
SOS52,76,58,124,124,183,310,537,557,269,2237,12,7,24,26,36,46,60,60,25,289,285,353,839,846,988,1079,858,579,228,6049,1816,2912,6895,6891,7591,8619,7318,3682,1134,46855
SOS53,53,37,149,168,302,477,960,965,355,3464,15,16,44,87,136,108,71,90,37,607,778,1179,2943,3001,3160,2879,1992,980,199,17114,4397,7715,17358,20796,25401,27120,19966,8076,1649,132476
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
SOS59,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
