SOS_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOS50,821,10595,14433,10248,7210,4779,1973,400,50468,188,2433,3385,3339,2727,1701,582,88,14441,8721,32423,33367,24234,16516,11680,4540,1058,132548,4144,12221,15643,14080,11507,9099,4207,986,71879,15350,36375,34054,30966,29332,20887,10270,2781,180026,5116,2101,1171,804,579,398,145,25,10343,877,1324,1677,1900,1764,1623,874,229,10259,21343,39799,36907,33679,31676,22897,11287,3034,200628,494,959,1260,1127,901,889,649,238,6521,6695,11372,10901,9355,7362,5537,4466,2697,58396,42403,109800,115899,96065,77910,56591,27710,8501,534878,865,13995,15712,9423,5611,2934,787,145,49477,624,5732,6982,6131,4653,2660,774,138,27697,12213,47571,45657,30203,18487,11804,4661,1260,171851,5574,16098,18814,18318,15822,10080,4235,1306,90255,14697,22914,20039,17597,13267,6497,1876,521,97407,5020,2483,2126,1840,1614,1086,422,93,14680,1252,1797,2847,4043,3986,2994,1511,543,18969,20966,27192,25017,23485,18862,10580,3803,1152,131058,425,999,1200,1133,1152,1329,872,312,7423,6134,9405,8156,6940,6832,7382,7119,5430,57402,46797,121000,121539,95637,71427,46768,22250,9744,535158,1685,24587
SOS51,30,545,706,617,459,367,147,36,2903,15,206,351,359,282,219,54,12,1496,354,2271,2513,2159,1624,1285,469,111,10788,228,1215,2049,1998,1851,1362,605,109,9425,3404,9330,9171,8228,7231,4704,1983,488,44532,1211,511,288,193,180,105,35,6,2521,153,218,332,346,384,354,158,41,1980,4770,10060,9794,8768,7788,5154,2167,532,49035,50,116,141,147,139,135,104,29,853,2341,3149,3105,2993,2619,1819,1258,600,17884,7787,17557,18650,17040,14763,10352,4813,1416,92374,69,837,1034,679,493,320,75,5,3510,71,713,939,853,665,387,109,17,3765,912,5026,5258,3807,2498,1589,706,173,19965,570,2507,3107,3042,2783,1823,738,201,14763,3068,5509,5176,4390,3193,1498,377,70,23280,1382,873,633,516,397,236,71,10,4123,225,381,535,759,721,489,197,52,3360,4675,6763,6342,5663,4312,2221,643,136,30761,50,139,162,164,161,198,126,50,1051,2076,2838,2664,2429,2251,2146,1765,1150,17310,8427,18813,19502,16633,13164,8687,4157,1738,91122,98,1380
SOS52,6,42,50,62,56,52,19,0,289,0,17,19,36,45,21,3,0,150,33,222,238,216,162,176,61,10,1126,25,117,199,225,262,250,93,10,1180,361,1023,992,1018,1164,856,322,67,5788,130,71,32,38,40,19,5,0,338,13,37,36,48,62,57,18,7,278,500,1127,1061,1105,1258,932,343,73,6409,7,12,16,19,14,25,14,4,109,401,483,508,642,641,516,326,99,3609,969,2020,2094,2303,2453,1967,858,204,12871,7,84,87,67,76,48,14,0,387,3,79,76,86,84,60,17,0,407,104,540,526,408,390,227,111,28,2329,40,262,312,333,390,300,99,29,1776,324,644,588,526,535,249,56,15,2927,153,116,90,66,73,38,10,0,544,36,52,75,89,103,76,31,5,465,509,817,748,680,700,360,96,15,3935,0,12,24,14,27,38,25,13,144,413,443,455,471,554,528,373,167,3408,1070,2235,2233,2072,2223,1564,732,245,12383,11,129
SOS53,11,126,190,216,302,241,122,14,1230,0,44,90,135,152,109,20,8,557,238,893,1010,1128,1030,850,271,32,5448,125,429,675,1039,1089,915,329,49,4658,1457,3053,3514,3903,4022,2591,810,100,19452,416,155,114,88,79,51,15,3,918,50,76,130,191,220,215,86,20,984,1917,3283,3756,4184,4327,2852,910,124,21348,24,54,60,75,97,94,41,3,456,1372,2074,2054,2172,1899,1269,625,137,11615,3698,6901,7839,8957,8901,6340,2313,367,45319,19,221,348,348,333,192,38,6,1502,16,195,299,394,369,230,37,9,1555,328,1575,2065,2072,1569,997,284,49,8944,202,672,1039,1403,1682,993,310,56,6358,973,1419,1701,1762,1461,610,129,14,8066,382,192,242,233,197,110,31,0,1386,84,93,209,356,385,257,83,11,1488,1438,1706,2146,2350,2045,976,238,33,10939,25,32,59,82,100,100,46,13,462,881,956,1077,1254,1351,1130,614,108,7376,2909,5356,7051,7898,7459,4617,1570,273,37138,34,349
SOS57,0,0,0,3,0,0,0,0,5,0,0,3,0,0,0,0,0,3,4,9,10,10,6,0,0,0,36,0,5,6,3,0,3,0,0,24,7,27,39,15,7,0,0,0,100,0,0,0,0,0,0,0,0,3,0,6,4,0,3,0,0,0,8,7,30,36,21,9,4,0,0,110,0,0,3,4,0,0,0,0,10,14,40,70,41,20,3,0,0,204,24,82,135,83,47,7,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,4,0,4,0,0,0,0,7,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,3,3,8,0,0,0,0,20,13,12,6,7,3,5,0,0,48,0,0
SOS59,0,21,16,12,10,8,0,0,64,0,4,7,7,6,4,0,0,29,12,81,53,28,24,21,8,0,227,10,37,33,21,25,20,6,0,143,48,131,132,113,114,103,14,0,662,15,8,10,6,0,0,0,0,39,4,4,3,7,9,7,0,0,26,65,139,148,126,123,109,14,0,726,0,3,0,3,0,0,0,0,13,174,398,532,519,342,152,50,9,2177,258,676,786,712,533,320,81,13,3376,0,42,18,8,10,7,0,0,90,0,7,12,9,11,10,0,0,49,40,140,80,27,36,13,0,0,340,8,48,44,27,45,16,5,0,190,32,65,69,48,47,22,0,0,286,25,12,3,4,4,0,0,0,49,0,0,4,4,19,8,0,0,42,54,82,75,63,71,31,0,0,376,4,6,0,0,4,4,0,0,15,162,262,283,227,164,100,22,7,1234,269,590,509,363,340,179,25,7,2290,0,64
