SOS_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOS50,4115,1224,12785,6847,4688,3480,2677,3516,387,39725,55,68,97,133,90,114,91,193,30,862,1300,2019,1535,1537,1271,622,1068,852,319,10528,1579,1679,3110,1976,1744,1099,1667,1912,3203,17968,94576,231161,116004,88521,82305,36456,33836,38792,10866,732509
SOS51,777,209,2336,1192,834,682,683,880,92,7676,12,9,17,34,10,28,23,44,3,183,184,250,348,250,165,66,256,175,63,1765,308,280,783,435,294,272,478,595,571,4021,12357,25511,26265,15125,11664,5759,8261,8807,1913,115660
SOS52,97,20,234,100,69,59,77,90,15,762,0,0,0,5,0,6,0,4,0,13,28,19,30,19,13,5,30,27,6,183,77,39,99,84,48,48,106,106,98,704,1787,2568,2675,1794,1267,571,1124,1164,280,13235
SOS53,373,51,640,358,315,177,251,305,28,2500,4,4,6,10,8,9,5,18,3,59,130,92,114,86,43,24,102,55,23,675,407,113,331,156,138,91,240,289,244,1998,10616,9541,9822,4533,4755,1771,3597,4040,840,49508
SOS57,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
SOS59,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
