SOS_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS50,2002,4345,9896,8626,7402,5480,1771,241,15,39786,2189,4708,11490,11297,9435,6460,2044,447,95,48169,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680
SOS51,503,801,1685,1499,1417,994,297,31,0,7228,491,664,1501,1516,1404,1087,370,103,27,7170,11348,13471,36346,39263,37955,29778,8100,912,69,177243
SOS52,46,77,159,140,148,147,48,3,0,778,76,82,191,178,218,210,105,31,9,1102,1051,1553,4147,4315,4856,4876,1583,242,26,22648
SOS53,230,242,417,522,578,534,166,12,0,2699,227,252,421,535,742,707,320,117,16,3337,4212,5141,11122,14540,18726,17795,6706,1400,147,79789
SOS57,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
SOS59,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
