SOS_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS50,220,1410,25,24341,142,40,66,113,116,174,57,110,72,520,12951,14372,126,32,94,86,34,61,10,60,42,931,987,2452,44852,9518,1396,29806,3528,19817,1782,14594,2296,63668,14733,205986
SOS51,44,151,6,3868,32,11,8,34,22,42,10,21,10,111,3060,3355,27,11,24,24,3,15,3,14,9,228,276,630,8534,1719,403,5654,790,3491,426,2544,519,12470,3597,40142
SOS52,6,13,4,395,8,0,4,8,3,8,3,9,4,25,462,537,7,4,11,8,3,0,0,0,0,67,80,171,1082,279,93,742,113,614,73,453,116,2328,600,6485
SOS53,31,129,0,1905,23,10,6,25,7,24,3,18,12,50,1394,1567,55,19,29,29,4,15,3,9,6,114,129,406,3883,1296,285,3007,377,1870,239,1459,324,5496,1625,19878
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
