SOS_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOS50,37,1900,862,350,2262,0.8,1863,2.6
SOS51,38,1600,828,290,2095,0.7,1674,2.5
SOS52,42,0,619,0,1488,0.8,1240,2.4
SOS53,45,0,838,0,2042,0.8,1725,2.6
SOS57,40,0,2123,0,1375,0.7,2250,1.7
SOS59,40,0,420,0,0,0,0,0
