SOS_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOS50,564,8333,95,8422,..,5376,909,6284,45,6327,..,1559,365,1925,11,1937,..,15077,6240,21316,158,21475,..,62480,9917,72397,1385,73779,..,379363,53747,433111,4659,437765,..,9585,1373,10962,90703,101668,1504326,388953,55123,444076,95360,2043762
SOS51,9,269,4,272,..,955,160,1111,6,1121,..,49,10,54,0,58,..,550,211,764,4,771,..,7265,966,8231,193,8425,..,29496,3094,32596,468,33065,..,1854,289,2139,33540,35684,315783,31350,3383,34732,34007,384526
SOS52,0,13,0,13,..,72,17,90,0,91,..,0,0,0,0,0,..,51,20,66,0,71,..,4376,401,4773,134,4908,..,6217,574,6792,178,6973,..,255,51,306,6192,6495,46044,6472,625,7094,6367,59508
SOS53,0,25,0,25,..,187,38,226,0,224,..,12,0,12,0,12,..,258,167,426,6,430,..,3798,301,4099,103,4201,..,9617,899,10516,175,10693,..,434,33,466,20192,20657,132299,10051,931,10983,20367,163652
SOS57,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
SOS59,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
