SOS_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOS50,11436,1337,466,9,5,13250,3808,457,171,4,0,4433,3405,450,217,0,0,4070,6054,920,403,12,3,7391,8834,1347,658,15,3,10857,32470,4911,2215,12,18,39620,48575,5843,2279,15,27,56745,69039,5854,1940,15,45,76892,31751,2326,772,4,14,34873,25243,1969,695,5,8,27923,19960,1264,490,10,11,21735,15361,1411,507,6,14,17307,275929,28092,10814,104,157,315082
SOS51,1737,75,9,4,7,1835,905,52,5,0,0,967,852,60,9,3,4,923,1837,113,18,12,6,1979,2652,155,16,13,0,2839,8271,392,36,13,6,8717,9598,259,25,9,13,9899,9893,246,14,17,6,10178,3509,70,3,7,7,3597,2479,59,4,5,3,2551,1439,51,10,7,9,1506,2404,90,10,13,8,2517,45576,1616,158,106,57,47509
SOS52,299,3,0,5,3,309,257,0,0,3,0,265,272,0,0,0,0,276,454,3,0,3,0,465,488,8,0,0,0,495,1084,7,4,9,0,1106,891,3,0,3,0,902,813,0,5,8,0,830,325,3,0,0,0,328,216,0,0,0,0,219,156,0,0,7,4,155,342,0,6,4,0,351,5600,35,17,41,8,5705
SOS53,1242,6,4,7,11,1270,374,0,0,4,0,381,319,5,0,6,3,327,520,8,0,9,3,536,629,3,0,7,3,642,1977,16,5,20,8,2028,2116,12,4,19,10,2156,3290,22,5,19,8,3347,1919,10,0,11,5,1947,1997,17,0,13,6,2031,1445,7,3,13,21,1495,1143,5,0,18,5,1169,16966,105,25,139,99,17338
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
