SA4_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
501,74828,78232,153058,32392,16708,49101,9252,22397,31646,3519,3184,6702,2023,1847,3867,47182,44134,91320,22144,29502,51642,4.3,4.2,4.2,63.1,56.4,59.7,60.4,54.1,57.1,1490,1708,3197,802,2011,2808,6193,10825,17015,5211,7868,13078,22276,12543,34820,1205,1999,3205,1072,1936,3005,24560,16472,41031,72330,74951,147279,12917,13966,26879,48829,49785,98613,31856,34874,66730
502,42513,46298,88811,15662,8465,24125,4646,11005,15656,1882,1534,3413,1689,1515,3206,23882,22518,46404,15493,21130,36622,7.1,6.7,6.9,56.2,48.6,52.2,52.2,45.4,48.6,740,763,1505,352,924,1276,2657,4797,7454,3163,4712,7875,12843,7116,19957,638,1038,1677,592,1201,1794,14075,9356,23430,40538,43879,84415,7260,8181,15442,26103,27682,53784,19230,21887,41115
503,75953,78909,154860,36406,23347,59750,12788,22226,35017,2040,2638,4678,2369,2138,4505,53601,50351,103951,17628,24704,42329,4.4,4.2,4.3,70.6,63.8,67.1,67.5,61.1,64.2,11432,10143,21570,2366,4076,6439,23606,25629,49237,6141,7677,13821,7320,4034,11352,507,699,1207,659,1335,1999,8484,6074,14556,67674,69844,137514,16501,17474,33975,38919,40985,79904,41652,42966,84620
504,110313,112749,223065,53605,31644,85241,14919,30905,45824,3955,4208,8162,3901,3644,7539,76374,70404,146773,27711,37352,65060,5.1,5.2,5.1,69.2,62.4,65.8,65.7,59.2,62.4,4270,5007,9274,1622,3202,4831,13901,19186,33085,9515,11950,21462,27529,14941,42467,1586,2140,3732,1432,2718,4146,30542,19801,50346,110834,113309,224142,16626,17480,34104,73484,74788,148279,46037,48766,94801
505,225736,239995,465735,111375,64496,175865,32715,70710,103429,7810,8856,16664,8023,7375,15402,159921,151443,311368,54294,79091,133386,5,4.9,4.9,70.8,63.1,66.9,67.3,60,63.5,11943,11718,23662,4057,7989,12046,35933,48114,84047,21503,27310,48810,53457,27450,80907,2672,4042,6709,3030,5889,8931,59159,37379,96546,231643,242797,474441,34960,37364,72325,154001,160642,314642,97229,104764,201997
506,211086,215211,426298,100959,57049,158009,30850,57674,88519,7140,7481,14627,8112,7648,15763,147058,129852,276911,51636,74825,126458,5.5,5.9,5.7,69.7,60.3,65,65.8,56.8,61.3,13254,13057,26315,3283,6009,9295,33236,42178,75407,18670,22144,40814,45580,25067,70645,2884,3866,6748,2575,4395,6967,51035,33328,84363,210436,214374,424808,35238,35690,70929,134555,137224,271779,96473,98833,195305
507,173340,183300,356647,84011,47838,131854,22704,52257,74961,6384,6707,13089,6497,6003,12506,119598,112808,232407,43549,62489,106035,5.4,5.3,5.4,69,61.5,65.2,65.2,58.3,61.7,9396,9490,18885,3012,6178,9190,25429,35601,61034,15032,19530,34559,42521,23129,65653,2463,3506,5971,2396,4181,6572,47379,30819,78202,173386,181998,355383,29046,31763,60806,112533,117181,229704,77644,85289,162931
509,57378,55894,113275,23779,12384,36165,6543,14251,20794,2453,2209,4662,1499,1121,2616,34270,29961,64234,17491,21124,38614,4.4,3.7,4.1,59.7,53.6,56.7,57.1,51.6,54.4,868,1100,1969,469,1271,1738,3655,6967,10617,3297,5494,8791,14286,7302,21589,845,1376,2222,782,1222,2003,15914,9899,25812,52902,52303,105202,8459,8714,17164,37491,36217,73704,20824,21906,42725
510,37300,31785,69087,18379,11223,29601,2675,5610,8287,1980,1601,3578,973,816,1786,24001,19251,43255,5978,7614,13602,4,4.2,4.1,64.3,60.6,62.6,61.7,58,60,683,959,1640,345,796,1139,2405,4520,6925,2048,2647,4698,10437,3922,14362,532,833,1370,405,535,941,11378,5293,16666,29752,26611,56362,8667,8607,17276,15487,13327,28822,19819,19097,38916
511,49699,45919,95614,22692,12774,35468,4629,10736,15359,2257,1847,4110,1410,1008,2420,30986,26362,57351,11648,14463,26111,4.6,3.8,4.2,62.4,57.4,60,59.5,55.2,57.5,816,929,1744,334,970,1300,2896,5294,8186,2557,3827,6380,13549,6176,19728,783,1226,2013,563,864,1429,14892,8273,23165,43041,41333,84380,8989,8741,17733,28635,26803,55435,20312,20310,40630
