SA4_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
501,1971,236,211,194,279,535,582,178,53,4241,1198,72,36,58,77,179,295,132,33,2080,495,207,218,226,231,418,692,299,108,2889,211,194,311,301,390,652,1890,1363,344,5660,298,204,251,240,344,586,1438,957,320,4645,393,309,340,335,378,625,1247,716,157,4501,267,493,526,341,417,648,994,480,119,4291,187,678,909,679,734,890,810,323,64,5270,93,555,1261,1142,1119,1211,889,254,50,6570,24,304,1020,1059,1054,976,476,132,19,5069,23,206,900,1159,1100,1013,362,98,32,4881,11,135,767,1019,1144,908,232,53,8,4281,9,193,1417,2291,2427,1789,410,64,18,8607,0,25,309,598,702,480,110,14,4,2256,8,22,229,696,872,595,217,57,16,2713,407,335,1046,1192,1254,1003,848,513,255,6865,5592,4170,9749,11545,12512,12506,11501,5652,1602,74828,1677,227,923,891,845,1588,946,260,82,7439,1444,104,323,398,272,454,421,143,79,3641,626,247,505,601,515,849,820,405,148,4714
502,1239,170,166,144,159,389,396,167,62,2895,529,68,31,34,39,105,158,74,26,1062,322,213,158,150,130,237,447,247,57,1969,145,171,225,175,251,387,1313,1165,287,4125,149,171,148,159,217,339,961,810,247,3202,175,226,194,174,152,319,845,563,145,2804,110,273,233,170,171,279,607,417,104,2364,68,298,380,264,283,360,464,235,64,2417,38,266,549,422,470,552,475,186,24,2973,26,152,443,374,452,471,257,106,10,2288,6,127,446,440,470,486,207,59,19,2259,11,80,381,443,527,450,132,35,3,2062,5,154,912,1250,1439,1158,249,35,7,5222,0,13,226,405,385,308,53,12,4,1406,3,17,187,442,601,446,135,34,11,1874,186,226,478,581,587,493,463,357,217,3590,3015,2623,5171,5653,6312,6760,7166,4504,1301,42513,1063,195,656,643,623,1139,681,190,114,5308,690,103,180,171,139,269,251,81,34,1918,448,241,318,315,260,489,620,285,69,3051
503,2245,625,509,298,324,393,404,223,71,5096,1235,390,118,66,63,105,171,94,48,2287,586,711,278,132,138,235,287,193,82,2623,225,610,439,239,254,303,490,410,193,3163,174,463,426,189,197,315,632,480,220,3100,160,611,685,288,264,308,609,445,164,3535,88,524,743,324,190,254,481,325,118,3034,63,500,1117,506,337,392,543,339,109,3900,29,583,1593,827,455,508,559,358,101,5016,16,344,1470,755,458,504,499,222,62,4326,13,218,1504,841,588,599,448,205,61,4482,8,127,1211,908,645,556,338,136,40,3960,4,146,2547,2570,1907,1543,703,253,68,9738,3,32,721,1024,923,685,281,69,19,3759,9,24,858,3372,4122,2811,1047,301,65,12603,187,428,1352,897,708,622,520,382,231,5329,5030,6339,15555,13230,11574,10124,8013,4440,1644,75953,2012,527,932,1182,854,858,714,288,129,7500,1361,419,185,251,255,331,311,133,73,3315,718,763,368,324,285,384,483,298,133,3753
504,3620,673,590,469,497,776,840,333,64,7863,1452,286,146,90,111,232,339,125,28,2806,907,652,429,317,337,527,630,393,105,4303,323,610,577,472,496,750,1749,1454,408,6842,356,527,528,346,450,619,1472,985,378,5664,400,736,678,505,494,668,1176,684,161,5488,306,910,893,667,554,686,813,476,122,5430,216,1058,1829,1295,1084,1055,789,270,69,7672,127,1010,2752,2066,1810,1731,839,202,42,10576,36,573,2378,2184,1664,1428,527,110,11,8907,12,322,2062,2119,1708,1464,438,94,17,8248,16,191,1559,1776,1577,1098,305,34,3,6556,9,241,2720,3907,3285,2317,474,69,8,13026,0,30,643,1092,921,579,130,18,3,3423,6,33,511,1278,1383,781,193,46,6,4240,460,719,2055,1908,1560,1144,641,483,290,9266,8253,8574,20355,20498,17925,15859,11344,5771,1725,110313,2885,565,1844,1838,1532,2071,1293,408,124,12559,1762,301,472,587,376,531,480,162,60,4737,1086,724,854,827,694,885,923,428,139,6553
505,7882,1399,1167,801,924,1529,1687,676,197,16259,3570,695,233,178,213,460,678,274,90,6396,1950,1537,805,555,676,901,1406,797,238,8874,805,1345,1113,827,922,1321,3335,2694,915,13268,736,1183,952,742,824,1168,2753,2032,780,11172,827,1645,1279,889,1006,1213,2504,1544,408,11316,532,1872,1800,1202,1057,1334,1909,1169,346,11213,364,2177,3351,2178,2025,1959,1787,801,180,14833,186,1915,5116,3801,3217,3163,1957,623,133,20109,71,1153,4552,3825,3133,2680,1343,346,72,17173,37,685,4158,4169,3423,2761,1044,260,56,16586,11,351,3106,3744,3303,2312,656,111,22,13615,17,426,5565,8727,7675,5106,1130,196,32,28883,7,66,1237,2686,2490,1473,324,70,17,8369,5,39,1281,4126,4846,2654,586,107,31,13671,765,1092,2713,2640,2373,1776,1116,875,652,14006,17773,17578,38421,41088,38118,31802,24220,12573,4162,225736,6340,1110,3213,3911,2965,4013,2686,847,371,25458,4099,814,772,1039,783,1144,1116,441,133,10340,2522,1763,1453,1695,1376,1763,2104,1112,352,14151
506,7063,1665,1367,932,995,1553,1751,683,176,16185,2734,743,287,202,221,400,668,243,58,5554,1669,1584,933,650,712,861,1253,643,187,8489,668,1353,1314,963,971,1347,3083,2536,733,12967,638,1258,1109,740,820,1086,2584,1767,657,10657,709,1681,1696,1024,926,1066,2100,1343,379,10917,538,1879,2135,1371,1059,1082,1541,880,237,10719,377,2293,4005,2614,2045,1869,1484,569,165,15416,215,2000,5799,4531,3295,2815,1555,454,97,20764,76,1119,4702,4063,2991,2414,1052,234,41,16695,45,677,3975,4146,3109,2503,794,170,46,15454,16,360,2708,3548,2710,1913,598,86,19,11970,28,448,4778,7537,6011,3959,920,116,30,23830,0,68,1033,2138,1815,1041,264,32,3,6400,14,55,946,2797,2925,1865,470,128,30,9228,819,1400,3442,3053,2474,1861,1183,922,685,15839,15601,18590,40243,40310,33073,27636,21303,10792,3540,211086,6016,1548,4333,4701,3120,4066,2702,812,265,27566,3283,799,940,1149,813,990,959,307,90,9330,2046,1754,1703,1657,1291,1614,1628,756,232,12692
507,5736,1108,806,615,700,1132,1231,514,154,12002,2612,541,197,129,185,345,541,242,78,4865,1454,1038,656,445,506,721,1055,625,161,6667,635,993,914,625,750,1065,2522,2148,678,10324,512,863,698,488,612,902,2056,1628,656,8422,721,1188,893,551,674,862,1814,1201,354,8257,429,1390,1144,743,650,933,1401,854,252,7792,323,1503,2191,1449,1261,1425,1342,573,163,10222,186,1443,3466,2587,2249,2235,1421,473,114,14170,77,977,3234,2631,2232,1995,974,271,45,12436,44,592,3191,3048,2702,2179,806,186,69,12822,28,308,2529,2891,2458,1893,535,111,38,10788,22,435,4756,6991,6303,4135,1002,152,43,23841,4,75,1133,2096,1943,1172,269,48,20,6757,10,53,945,3184,3524,2348,581,152,28,10827,676,1088,2758,2592,2075,1514,1044,838,570,13159,13464,13576,29517,31073,28818,24857,18600,10027,3417,173340,4877,922,2611,3094,2470,3391,2128,646,270,20411,3202,612,732,895,748,915,846,306,103,8353,1767,1381,1159,1254,1049,1278,1523,755,263,10435
509,1421,126,176,178,264,440,509,187,53,3355,582,58,50,64,84,170,232,105,26,1370,295,172,199,195,226,385,572,259,87,2396,139,145,214,203,309,614,1556,1143,298,4631,192,148,217,234,323,590,1338,855,250,4151,294,218,310,255,362,555,933,516,141,3574,185,372,367,308,355,561,688,392,109,3332,149,458,671,551,602,778,661,238,72,4179,100,435,977,875,888,1165,690,206,37,5374,33,228,700,700,804,845,418,95,20,3844,21,138,646,705,844,829,343,95,21,3656,6,76,474,582,703,687,226,60,14,2828,8,90,694,1065,1329,1161,334,69,10,4769,0,17,154,269,323,318,92,9,6,1200,4,15,143,317,442,395,185,54,22,1575,425,399,1063,1074,1160,1212,963,594,242,7129,3866,3099,7044,7586,9033,10696,9744,4891,1416,57378,1263,144,569,448,560,1083,706,190,104,5068,725,95,212,217,199,332,306,89,33,2205,357,162,370,367,399,602,614,286,88,3243
510,827,146,159,109,105,139,96,31,4,1607,313,24,36,39,39,44,38,16,0,549,310,269,414,351,267,196,110,42,10,1954,79,150,222,200,220,180,187,86,15,1333,62,56,110,84,116,131,172,91,19,837,96,88,97,95,96,95,112,30,5,714,81,123,151,103,97,119,72,22,3,768,88,173,290,170,153,137,91,17,4,1119,78,244,495,326,274,250,118,22,0,1805,43,206,490,380,342,281,91,13,0,1844,20,163,627,510,426,349,87,6,0,2186,9,132,593,619,477,378,101,4,0,2312,14,240,1684,1915,1444,947,150,10,0,6404,0,57,641,756,603,377,63,3,0,2501,5,39,649,1141,767,454,70,14,0,3133,495,636,2051,1890,1533,1135,370,108,28,8240,2526,2731,8719,8683,6944,5191,1923,508,91,37300,685,140,579,437,260,294,130,26,8,2564,394,52,131,119,73,66,25,3,0,869,291,232,446,429,300,210,123,38,5,2067
511,1099,169,163,158,195,355,357,133,34,2656,518,41,34,29,54,90,148,44,10,971,317,159,210,193,206,273,314,158,39,1866,119,127,239,203,270,448,909,611,161,3089,130,105,143,170,235,379,776,517,130,2595,225,214,166,156,220,307,509,268,65,2135,182,288,266,182,228,310,369,190,47,2070,131,387,496,338,370,465,308,118,30,2650,79,320,711,547,584,719,398,98,21,3476,58,260,635,561,583,554,250,53,5,2963,37,258,756,643,701,655,211,48,13,3319,14,202,697,651,664,587,186,27,3,3032,17,268,1471,1714,1716,1350,292,43,7,6882,0,41,416,534,490,356,68,12,3,1916,6,20,281,509,589,391,131,34,9,1975,498,650,1585,1396,1401,1200,766,455,145,8092,3438,3514,8276,7976,8504,8448,5993,2813,734,49699,866,186,630,507,435,778,470,127,44,4045,680,62,172,154,108,184,152,51,20,1585,332,194,348,342,300,411,359,160,37,2478
