SA4_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
501,743,687,571,502,185,22,3197,29,334,616,676,604,415,113,16,2808,427,2992,4095,3576,2752,2164,821,200,17015,333,1582,2425,2655,2771,2204,893,207,13078,3334,6316,6971,6601,5948,3918,1425,310,34820,1223,606,413,365,306,210,67,18,3205,185,259,441,627,663,550,236,44,3005,4742,7174,7824,7590,6913,4684,1731,372,41031,42,107,157,155,186,241,140,35,1060,1361,1688,1944,2138,2086,2109,1576,823,13730,6968,14335,17803,17478,15883,12322,5457,1669,91922
502,341,334,304,224,80,15,1505,20,154,228,297,273,219,72,19,1276,348,1336,1567,1432,1158,1063,459,94,7454,319,932,1318,1505,1654,1358,649,153,7875,1802,3442,3383,3504,3477,2686,1343,316,19957,645,290,209,153,169,149,52,10,1677,119,170,245,299,345,341,218,61,1794,2569,3898,3841,3961,3995,3170,1616,383,23430,33,56,88,80,123,165,133,36,716,798,913,1054,1105,1078,1266,1235,757,8204,4107,7478,8445,8709,8575,7455,4238,1441,50461
503,5385,4240,3044,2015,826,223,21570,106,1221,1353,1465,1180,782,283,54,6439,3964,12909,10495,8557,6310,4441,1938,618,49237,981,2299,2328,2305,2434,1934,1126,407,13821,1600,2525,1945,1698,1678,1102,555,237,11352,512,194,135,101,119,79,51,17,1207,120,186,228,366,392,374,220,105,1999,2239,2905,2314,2163,2194,1557,829,355,14556,100,239,226,205,174,227,180,81,1439,1209,2441,1652,1295,1243,1259,1059,752,10916,8993,27456,23756,20224,16578,12227,6241,2498,117968
504,3018,1686,1125,667,227,30,9274,94,984,1248,1094,825,420,139,22,4831,2008,9227,8900,5870,3640,2417,854,170,33085,1226,4118,4827,4321,3551,2288,941,193,21462,4381,9681,8411,7482,6533,3998,1612,372,42467,1436,741,547,436,298,202,59,11,3732,320,472,703,842,868,603,274,74,4146,6128,10890,9663,8762,7700,4801,1949,455,50346,124,243,347,267,289,254,169,53,1752,1723,2788,2590,2329,2066,1657,1455,879,15486,11464,30618,30586,24324,19194,12505,5738,1806,136230
505,7233,4943,3040,1672,568,109,23662,215,2334,3081,2812,2074,1140,333,52,12046,5585,21372,22332,15851,9763,6223,2383,539,84047,2655,8171,10299,10411,8464,5807,2379,620,48810,8202,16736,15921,14609,12890,8096,3498,944,80907,2594,1136,915,767,657,463,161,25,6709,640,899,1415,1941,1732,1359,711,222,8931,11432,18774,18245,17320,15279,9921,4369,1195,96546,239,543,723,720,562,664,422,147,4016,3207,5255,5088,4436,3735,3319,2953,2026,30012,23759,62131,67005,56495,42921,28743,13407,4687,299140
506,8879,4721,2743,1545,539,78,26315,236,1910,2406,1978,1529,926,273,27,9295,5486,21226,20960,12577,7687,5105,1906,470,75407,2985,7978,9200,7642,6331,4327,1896,463,40814,8369,15133,13925,12028,10422,7028,2960,780,70645,2934,1248,853,679,538,335,140,21,6748,530,815,1109,1402,1331,1084,522,177,6967,11833,17200,15890,14107,12291,8442,3618,976,84363,253,579,657,579,504,531,345,114,3564,3790,5900,5284,4289,3726,3205,2898,2125,31217,25058,62135,63278,45892,34798,24081,11477,4257,270971
507,5558,4042,2860,1768,580,107,18885,148,1678,2239,2095,1713,987,279,55,9190,3890,14912,15961,11480,7432,4987,1916,464,61034,1777,5474,7385,7464,6087,4167,1707,499,34559,7043,14189,13042,11974,10095,5894,2683,739,65653,2449,1133,765,633,533,319,115,25,5971,477,668,1008,1366,1355,1041,502,162,6572,9975,15990,14810,13965,11976,7253,3302,925,78202,198,350,497,480,489,468,318,121,2923,2897,4222,4148,3704,3178,2849,2445,1786,25227,19126,46341,50597,43232,33728,22488,10559,3951,230021
509,390,365,412,339,127,16,1969,26,230,318,377,391,305,69,8,1738,386,1897,2319,2111,1835,1392,560,123,10617,216,917,1354,1714,2047,1675,721,142,8791,1913,3905,3745,3869,4092,2806,1010,241,21589,789,379,295,277,259,163,40,8,2222,105,155,224,384,484,441,161,51,2003,2805,4446,4276,4529,4837,3411,1217,287,25812,30,69,98,114,128,178,99,36,745,1442,1619,1741,2129,2360,2292,1622,746,13952,4937,9465,10499,11341,12008,9599,4413,1362,63631
510,511,287,209,71,13,0,1640,23,318,342,240,155,54,5,0,1139,359,2451,1995,1163,670,228,49,4,6925,163,1053,1383,1030,769,255,40,5,4698,1132,4006,3971,2829,1772,529,104,6,14362,460,354,286,148,103,23,0,0,1370,84,179,227,210,160,61,13,0,941,1674,4541,4486,3189,2040,613,122,6,16666,31,64,65,55,47,14,3,0,291,1942,3440,3033,2476,1853,717,234,64,13757,4206,12393,11818,8456,5744,1952,465,84,45117
511,502,353,245,130,31,4,1744,23,251,303,306,242,131,27,7,1300,449,2186,2017,1621,1042,592,232,43,8186,241,1001,1327,1371,1300,804,262,67,6380,1841,4318,3924,3800,3292,1820,619,109,19728,767,422,282,231,180,96,30,0,2013,107,176,233,297,290,208,82,20,1429,2714,4921,4439,4330,3766,2126,735,136,23165,33,69,65,101,91,73,59,21,520,1937,2465,2377,2359,2195,1646,1060,444,14491,5441,11338,11030,10451,8886,5508,2404,724,55784
597,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,14,13,8,10,0,0,0,39,0,7,11,4,0,4,0,0,35,8,26,39,15,7,0,0,0,100,4,4,0,0,0,0,0,0,4,0,6,4,0,3,0,0,0,7,10,29,36,21,9,0,0,0,117,0,0,3,4,0,0,0,0,11,22,49,74,49,21,3,0,0,224,38,97,145,92,48,15,0,0,428
599,32,11,25,15,0,0,148,0,15,17,14,15,12,0,0,77,54,221,131,58,60,35,8,0,563,18,79,71,50,77,35,8,0,335,81,191,203,162,158,129,13,0,946,33,22,15,10,7,4,0,0,85,3,11,6,14,23,14,0,0,66,115,224,224,185,195,147,13,0,1105,6,10,0,8,10,6,0,0,32,339,659,809,752,507,257,72,22,3407,529,1270,1293,1073,876,505,105,20,5668
