SA4_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
501,14,57,139,362,769,1620,2300,1425,434,7130,1518,752,755,864,806,723,691,342,92,6533,16,19,38,92,205,599,1077,760,222,3021,0,0,4,4,6,37,111,231,180,575,36,58,96,230,622,1095,1615,944,241,4931,23,24,40,86,326,856,1628,1257,468,4715,20,10,22,33,77,139,203,223,89,828,26,16,34,35,111,348,643,489,129,1829,452,790,933,1071,1162,1161,839,351,106,6857,6,3,13,8,65,166,334,274,108,986,858,512,391,614,807,1154,1148,597,217,6295,14147,6891,6526,7506,7401,6157,4233,1534,297,54694,1662,992,1235,1396,1558,1245,942,480,188,9698,18437,9760,9749,11545,12512,12506,11501,5652,1602,93269,27,78,217,594,1464,2754,3599,2295,1051,12073,966,847,992,1289,1252,1247,1235,563,204,8586,14,12,65,185,394,746,1000,632,205,3261,0,0,4,6,10,41,107,284,396,843,25,56,130,231,480,864,1206,700,297,3983,19,18,24,58,167,430,846,781,506,2849
502,11,24,66,183,392,909,1571,1287,377,4806,707,425,397,430,447,408,469,280,77,3649,11,11,29,59,106,369,788,730,212,2316,0,0,0,4,4,16,67,155,115,370,16,37,50,131,351,694,1179,850,216,3518,15,12,34,52,186,608,1290,1135,373,3697,8,6,3,17,29,79,168,232,111,650,18,8,11,25,59,209,479,436,146,1404,267,499,580,597,628,613,568,300,74,4122,8,4,7,24,42,99,243,267,96,782,563,301,241,324,483,672,769,451,158,3961,7214,3968,3435,3563,3621,3256,2349,1056,218,28676,852,562,602,715,765,633,533,353,180,5205,9471,5634,5171,5653,6312,6760,7166,4504,1301,51979,9,44,118,311,750,1554,2521,2023,811,8144,541,494,603,686,663,812,858,511,152,5313,8,13,37,85,222,430,650,516,165,2130,0,0,0,0,3,16,75,167,196,469,17,46,60,147,261,574,843,602,209,2764,8,13,15,41,97,307,632,690,378,2172
503,6,28,137,201,428,773,1092,887,375,3928,683,841,1037,934,745,596,475,276,94,5678,23,28,51,83,181,453,765,665,266,2509,0,3,0,0,4,25,89,234,207,567,23,41,78,192,338,506,783,583,213,2765,11,17,41,64,257,647,1167,1042,462,3706,4,14,16,44,51,78,97,163,82,550,20,18,17,31,52,134,263,249,118,908,208,873,1361,1096,915,710,482,249,83,5977,0,9,9,18,51,98,159,252,115,718,544,479,570,606,789,939,898,485,259,5568,11979,8486,11265,9460,7724,5816,3382,1294,316,59718,726,863,1527,1100,958,803,597,337,176,7078,14065,11370,15555,13230,11574,10124,8013,4440,1644,90025,19,79,175,247,624,1296,1983,1586,1033,7050,468,895,1184,915,856,825,637,367,176,6309,11,23,61,151,363,654,698,536,262,2761,0,0,0,3,5,27,82,265,519,903,32,53,88,116,202,364,542,409,241,2044,11,24,31,41,88,253,499,626,551,2121
504,23,60,223,479,924,1681,2043,1347,453,7228,1820,1302,1433,1492,1170,969,731,385,121,9417,30,31,65,168,287,619,1002,783,245,3213,0,0,0,7,17,40,118,269,240,695,40,87,213,563,1066,1754,1958,1146,271,7102,47,40,56,139,518,1251,1848,1395,460,5752,30,15,39,74,111,200,263,261,123,1123,48,27,38,63,182,422,667,534,205,2174,566,1273,1807,1755,1541,1264,735,324,120,9393,7,11,11,33,89,236,336,348,145,1223,1390,836,920,1079,1391,1579,1285,652,269,9405,22217,12222,14048,13573,10653,7791,4055,1527,304,86397,2046,1521,2319,2285,1961,1479,763,407,190,12984,27785,16832,20355,20498,17925,15859,11344,5771,1725,138101,30,101,341,714,1609,2906,3515,2541,1135,12896,1276,1369,2038,1975,1841,1657,1257,688,211,12319,18,19,98,264,584,881,1037,669,247,3823,0,0,5,4,11,29,126,360,518,1056,38,58,204,423,878,1377,1560,1014,384,5928,21,30,49,102,258,582,995,1048,625,3711
505,33,138,413,858,1749,3228,4240,2963,1099,14713,3670,2561,2677,2898,2519,1793,1418,736,227,18498,67,69,136,295,599,1371,2335,1813,630,7314,0,5,5,10,23,76,243,667,603,1626,103,171,346,835,1793,2907,3750,2393,665,12957,87,78,102,314,1026,2436,3917,3029,1176,12170,70,46,62,119,184,330,522,534,278,2148,66,42,83,125,301,668,1198,989,375,3849,1187,2437,2938,3094,2919,2298,1505,690,282,17359,9,18,25,77,181,342,679,700,343,2368,2634,1661,1558,2033,2555,3017,2776,1512,697,18449,46548,26658,28244,29126,24486,16876,9239,3336,730,185244,3734,2577,3261,3325,3177,2360,1409,753,361,20965,57325,35354,38421,41088,38118,31802,24220,12573,4162,283068,61,197,593,1320,3242,5700,7764,5820,2849,27557,2480,2659,3582,3781,3409,2964,2627,1398,541,23440,43,72,175,506,1193,1773,2336,1548,636,8272,0,7,3,7,14,78,254,844,1285,2498,73,168,313,699,1316,2226,3046,2009,752,10608,58,49,70,190,510,1187,2086,2140,1426,7709
506,38,132,366,840,1552,2761,3795,2524,906,12914,3086,2372,2529,2433,1946,1587,1281,654,193,16085,39,66,141,258,517,1107,1998,1435,482,6042,4,0,5,10,16,76,250,539,438,1343,90,166,372,1137,2197,3222,3861,2140,567,13744,72,69,128,353,1009,2216,3480,2590,995,10909,65,35,70,135,188,309,533,510,224,2072,71,39,66,132,308,726,1150,975,310,3783,998,2267,3090,2919,2512,2045,1321,607,247,16004,8,8,26,91,180,360,650,620,277,2213,2368,1519,1584,2142,2491,2743,2417,1260,496,17029,43320,25710,29365,28392,20442,13917,7682,2749,618,172195,3703,2824,3935,3660,3119,2351,1324,771,480,22159,53049,34192,40243,40310,33073,27636,21303,10792,3540,264141,53,209,587,1286,2786,5067,6605,4818,2248,23646,2151,2535,3302,3347,2905,2693,2342,1230,394,20894,43,67,155,501,973,1490,1944,1266,465,6904,4,8,5,14,15,53,198,656,851,1796,74,183,382,961,1721,2533,3016,1836,728,11433,42,66,106,199,484,1084,1883,1859,1198,6920
507,33,121,382,776,1496,2718,3294,2439,895,12158,3153,1976,2170,2244,1791,1404,1040,570,183,14526,46,58,133,219,473,1122,1832,1381,479,5738,0,3,4,11,22,66,207,439,417,1171,59,124,261,632,1502,2431,2920,1817,510,10250,53,39,116,220,775,1978,2952,2423,963,9524,35,39,64,117,173,285,394,454,245,1793,59,36,52,106,260,634,945,887,344,3314,1011,2134,2696,2640,2516,1966,1244,565,203,14974,14,10,26,59,139,318,504,547,252,1858,2284,1311,1381,1613,2153,2343,2085,1176,544,14888,35461,19671,20334,21051,17720,12708,7009,2595,633,137189,3130,2383,3214,3171,2798,2032,1200,751,398,19073,44520,27038,29517,31073,28818,24857,18600,10027,3417,217864,48,186,534,1239,2710,4609,5921,4376,2172,21810,2153,2225,3005,3039,2708,2387,1968,1022,394,18898,35,39,159,432,933,1476,1750,1136,471,6430,3,4,4,0,8,57,162,607,824,1677,70,174,305,599,1068,1826,2236,1490,668,8443,60,56,75,161,399,877,1571,1638,1098,5935
509,17,43,120,247,585,1395,1947,1239,397,5977,894,614,580,623,613,711,597,293,70,4988,12,20,30,47,154,454,892,661,197,2465,0,0,0,7,8,16,69,202,130,431,26,55,85,155,463,982,1382,850,185,4185,14,26,30,63,273,817,1425,1073,374,4096,13,11,17,21,57,115,193,177,76,678,22,13,15,28,112,320,592,417,116,1628,286,549,609,663,845,934,714,263,72,4936,5,4,8,14,41,123,285,261,101,843,560,321,284,377,661,923,873,484,157,4642,9197,4686,4420,4631,5034,5005,3461,1194,294,37929,1412,922,1192,1213,1309,1374,1046,549,158,9180,12232,6965,7044,7586,9033,10696,9744,4891,1416,69616,14,35,131,340,977,2115,2702,1834,775,8928,624,616,744,795,1024,1053,903,441,135,6343,14,4,38,93,285,596,752,489,149,2424,0,0,0,3,3,26,80,219,322,654,11,29,89,172,388,777,988,611,221,3293,10,11,21,62,141,411,736,659,381,2426
510,4,13,57,137,246,387,267,75,10,1189,432,198,392,408,276,232,104,23,5,2077,0,4,17,35,80,172,105,42,12,482,0,0,0,0,8,15,15,28,14,81,17,33,77,203,383,515,280,85,4,1586,30,21,32,71,165,324,198,89,15,946,11,6,23,27,51,69,51,27,4,275,22,9,13,20,47,95,83,35,5,333,91,190,339,343,284,236,68,16,5,1569,0,0,5,15,32,45,44,32,6,171,302,125,196,265,303,284,148,44,13,1683,8086,3590,5641,5419,3878,2354,726,146,20,29858,1892,1143,2073,1999,1634,1200,376,97,16,10437,10826,5254,8719,8683,6944,5191,1923,508,91,48124,7,16,80,158,313,444,286,117,20,1431,282,275,551,527,448,329,170,39,4,2617,7,9,25,79,136,139,78,44,0,522,0,0,0,3,5,13,15,33,17,96,14,28,81,200,347,389,259,80,23,1416,29,32,40,59,147,154,109,54,11,627
511,10,26,77,195,465,881,1122,644,198,3619,800,502,501,528,487,492,335,167,42,3868,8,8,32,38,132,350,535,385,104,1605,0,4,0,5,6,22,58,129,96,323,27,37,99,210,493,901,936,519,115,3335,24,16,34,56,250,632,868,601,203,2689,9,11,31,24,61,109,167,152,63,630,14,6,7,21,90,268,394,251,73,1122,189,390,499,559,657,626,379,137,58,3484,5,4,0,12,35,107,152,140,42,496,482,265,250,342,472,638,517,249,88,3299,8730,4617,5313,4821,4700,3911,2099,690,144,35025,1750,1247,1688,1538,1562,1332,793,410,93,10408,11886,6950,8276,7976,8504,8448,5993,2813,734,61579,17,37,125,282,717,1289,1457,942,377,5233,528,507,729,712,731,748,555,281,91,4884,3,8,24,96,219,369,393,274,100,1500,0,0,3,4,18,23,54,151,186,424,17,49,95,184,439,691,686,389,128,2687,21,18,29,55,154,369,426,359,232,1662
