SA4_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
501,1539,1510,3047,5555,4991,10548,1578,1496,3076,1110,1015,2126,8259,7512,15773,4336,4119,8454,1261,1383,2647,993,1070,2061,6593,6582,13171,292,265,555,143,389,537,713,395,1109,516,1159,1680,17,5,22,1676,2216,3896,199,499,700,154,472,627,67,151,219,342,981,1327,0,3,3,761,2114,2877,2442,4337,6783,190,202,391,327,572,898,8,9,17,522,784,1303,7095,5635,12726,26444,26358,52802
502,790,781,1571,2729,2782,5509,694,708,1402,749,714,1461,4177,4211,8391,1999,1849,3853,610,689,1304,800,803,1600,3410,3348,6758,189,225,414,84,251,335,375,229,603,277,598,872,5,0,10,934,1304,2235,361,724,1085,110,353,461,73,140,213,215,485,700,5,5,5,761,1701,2465,1699,3007,4706,97,141,238,209,365,575,8,0,8,317,507,816,3670,3141,6815,14070,14990,29061
503,1449,1238,2691,4432,4230,8665,814,842,1657,1031,974,1999,6281,6051,12333,2441,2160,4602,1060,1137,2195,2368,2379,4743,5873,5677,11550,351,367,719,471,681,1155,249,188,434,551,892,1439,5,8,14,1626,2140,3763,3947,4649,8597,1741,1844,3582,460,542,1001,1337,1836,3172,14,16,28,7499,8889,16383,9128,11029,20160,267,341,606,482,692,1171,7,9,14,751,1047,1797,5051,4199,9253,28540,29241,57783
504,2707,2395,5101,8154,7451,15603,2175,2115,4292,1657,1588,3246,12012,11185,23201,5050,4597,9643,2162,2057,4218,2249,2036,4292,9471,8710,18183,606,596,1208,501,868,1368,833,494,1332,976,1637,2615,9,12,28,2934,3605,6544,2106,2736,4842,867,1229,2095,403,555,953,1045,1833,2877,17,12,31,4434,6364,10804,7388,9997,17383,409,458,864,727,1136,1871,12,12,27,1151,1601,2757,9160,6254,15418,41887,40149,82038
505,5319,4908,10229,17713,16404,34114,4544,4530,9075,3523,3460,6974,25817,24453,50267,11900,11058,22956,4240,4255,8495,4684,4527,9209,20842,19868,40705,1350,1276,2625,981,1707,2688,1721,924,2647,1851,3161,5009,20,17,40,5929,7088,13017,5718,7443,13159,2035,2855,4889,1061,1304,2361,2305,3943,6241,28,30,58,11144,15571,26712,17106,22695,39803,807,900,1707,1468,2381,3849,25,27,49,2294,3308,5603,13317,11153,24466,84691,86376,171069
506,4827,4551,9380,16557,15457,32018,3359,3218,6579,3498,3512,7010,23459,22224,45678,11245,10580,21826,3473,2930,6403,3327,3429,6761,18071,16967,35032,1557,1310,2865,1292,2020,3310,1600,953,2548,1946,3274,5220,29,35,61,6420,7590,14009,6276,7657,13930,2779,3322,6094,964,1215,2179,2105,3309,5412,23,30,56,12147,15534,27678,18603,23153,41757,1081,1054,2136,1369,2050,3421,38,31,68,2484,3134,5626,15693,12783,28473,83140,82814,165955
507,4160,3824,7987,14494,13775,28275,3002,3097,6097,2016,2091,4109,19542,18982,38530,8999,8415,17418,3708,3945,7653,2874,2736,5610,15598,15120,30718,852,844,1694,597,1109,1713,1469,843,2319,1389,2510,3902,27,20,41,4337,5331,9671,4021,5600,9616,1442,2300,3741,798,975,1774,1829,3226,5057,15,30,47,8102,12121,20225,12460,17481,29941,507,565,1072,1083,1672,2754,21,19,34,1609,2252,3862,13050,9520,22568,66422,67175,133600
509,964,915,1876,3927,3702,7629,688,707,1400,589,608,1203,5212,5024,10238,2928,2754,5685,437,464,901,653,793,1441,4021,4013,8042,195,174,366,78,197,279,454,246,700,294,801,1091,9,5,16,1031,1425,2450,151,286,438,88,225,314,45,127,175,195,632,826,0,6,3,482,1276,1754,1505,2696,4204,111,126,241,202,338,541,10,8,15,317,474,794,7478,5838,13318,19507,18967,38475
510,842,751,1587,3549,3331,6880,671,606,1275,205,161,362,4419,4109,8534,1890,1846,3735,386,394,785,110,148,259,2389,2388,4777,92,77,172,70,101,171,199,161,356,353,639,988,8,0,10,729,977,1700,44,116,155,68,190,255,26,61,86,263,546,806,0,4,4,400,911,1311,1126,1890,3017,70,75,142,128,248,375,5,4,3,199,328,525,9088,6317,15407,18068,15782,33854
511,961,985,1951,3471,3165,6636,910,907,1818,433,462,899,4824,4552,9372,2127,1987,4116,883,950,1833,413,426,839,3428,3372,6796,157,183,334,96,135,233,398,281,689,405,841,1243,6,6,16,1060,1450,2505,121,211,328,124,241,364,45,104,144,264,620,880,8,4,11,554,1174,1731,1620,2629,4244,109,88,197,197,307,502,7,3,15,313,402,714,8689,6336,15032,19842,18272,38115
