SA4_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
501,3390,556,3986,30052,10759,1703,42507,99160,11390,153058
502,2585,489,3095,15273,6624,814,22705,59960,6141,88811
503,3821,521,4406,27608,10166,1086,38866,106821,9174,154860
504,3856,582,4488,47225,15524,1920,64667,144149,14245,223065
505,9660,1129,10928,101854,35414,4195,141457,301420,22859,465735
506,7612,1438,9154,90448,29413,3499,123352,276381,26558,426298
507,7384,1252,8752,77939,27312,3629,108880,226638,21133,356647
509,2781,506,3308,18785,7291,1018,27093,74511,11666,113275
510,140,47,204,14436,4353,1336,20128,35783,13176,69087
511,1440,285,1749,17158,5791,1037,23984,58557,13072,95614
597,0,0,0,40,5,3,45,248,221,516
599,12,23,30,613,205,45,861,3063,3361,7285
