SA4_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
501,502,778,796,658,1365,2257,968,3237,139,10706,833,1645,1670,1398,2194,2767,913,1815,79,13330,961,1101,1013,801,2501,3684,1411,4016,237,15727,601,2486,2129,1376,1402,1027,275,604,142,10045,471,1632,1538,910,1970,1395,325,586,66,8902,338,2406,1347,706,1026,726,213,383,80,7226,753,517,502,287,939,1415,749,2967,152,8283,611,2957,1636,1016,1706,1627,600,1390,237,11780,101,154,97,74,152,223,61,203,388,1458,5178,13686,10737,7223,13269,15119,5508,15203,1530,87452
502,162,267,305,219,749,945,377,1159,35,4220,365,699,710,552,1148,1248,379,808,49,5961,491,535,556,431,1545,1663,665,2215,143,8240,312,1560,1281,711,871,548,153,361,90,5890,217,729,746,452,1058,679,177,341,40,4434,176,1509,780,351,555,331,85,185,59,4029,529,295,294,170,739,487,414,1892,118,4937,255,1343,678,345,542,571,193,707,86,4721,52,64,52,24,86,102,30,123,229,759,2561,7007,5388,3252,7297,6562,2474,7793,852,43190
503,410,970,1077,901,2269,4077,1731,4813,109,16353,1500,4119,4032,3044,6689,10657,3309,6947,217,40518,265,709,696,436,1380,1657,558,1352,89,7141,415,3556,2044,977,1145,973,273,556,126,10053,325,1860,1501,774,2406,2077,458,752,73,10223,217,2366,1115,428,715,660,200,504,54,6258,149,393,280,132,331,340,119,586,42,2376,213,1815,1053,374,542,462,112,488,87,5147,54,181,118,80,190,201,55,169,331,1379,3557,15968,11908,7144,15670,21100,6815,16172,1119,99451
504,465,657,900,751,3015,4053,1645,3829,95,15403,1260,2594,2719,2208,5930,6715,2009,3486,190,27107,913,1522,1545,1171,4540,5455,1870,4947,309,22271,817,3886,3464,2003,2983,2165,607,1197,277,17397,724,2245,2529,1545,5331,3783,929,1312,134,18537,384,3704,2149,947,1790,1320,371,619,145,11430,666,843,815,588,2113,2121,938,3397,232,11700,521,3494,2004,1060,2003,1680,508,1415,238,12937,129,239,145,99,418,356,95,291,677,2449,5878,19181,16264,10376,28122,27653,8975,20492,2288,139231
505,1000,1574,2079,1900,6596,9762,3914,9144,250,36219,3071,6734,7386,5795,14291,17213,5023,8862,386,68763,1810,3060,3167,2556,8691,11798,3567,9022,671,44341,1705,9142,7366,4002,5387,4332,1273,2248,499,35946,1571,5506,5870,3685,10322,7398,1730,2443,287,38821,792,8744,4654,1863,3370,2830,795,1378,258,24687,1064,1590,1442,953,2804,2817,1211,4846,349,17081,1028,7274,3981,2048,3657,3356,891,2650,430,25320,233,452,334,259,720,792,202,540,1257,4782,12275,44081,36275,23077,55832,60295,18614,41130,4391,295961
506,716,1384,1605,1321,5137,7364,2807,6687,204,27228,2247,5346,5586,4570,13118,15280,3908,6823,416,57300,1509,2795,2942,2072,8202,9782,3386,8296,645,39636,1460,7722,6394,3884,5046,3480,1042,1885,462,31393,1281,4185,4502,2786,9227,7012,1680,2190,266,33138,755,6902,3858,1565,3060,2212,639,1053,222,20262,1060,1897,1899,1230,4220,4231,1797,5749,476,22556,930,6612,4326,2116,3867,3180,966,2491,469,24953,171,469,335,197,747,725,190,502,1334,4683,10131,37322,31451,19745,52639,53266,16421,35684,4487,261148
507,840,1246,1472,1300,4591,6973,2727,6809,165,26124,2406,5380,5722,4337,10053,12634,3686,6797,322,51324,1551,2273,2119,1771,6353,8717,3016,7919,456,34174,1298,6757,5253,3054,3984,3179,867,1810,370,26572,1101,3794,4013,2401,6949,5387,1273,1885,169,26970,643,6529,3102,1375,2398,1773,475,923,186,17400,1004,1193,1000,666,2497,2590,1265,4554,276,15035,914,5238,2747,1479,2453,2339,796,2432,352,18759,170,338,239,167,521,608,160,471,872,3543,9931,32747,25659,16546,39791,44203,14262,33599,3157,219901
509,535,904,885,667,1021,2267,993,5260,203,12740,490,1021,958,795,1370,1637,546,1095,47,7952,459,715,666,539,1473,2072,813,2004,161,8898,392,1394,1252,825,904,895,250,443,100,6452,337,1224,996,634,1288,985,234,417,64,6175,196,1186,715,360,651,560,197,298,57,4225,467,442,383,221,570,896,485,2088,115,5653,405,2021,1161,616,1093,1316,547,1083,205,8458,115,103,74,46,95,135,45,136,314,1060,3392,8997,7085,4708,8460,10770,4110,12820,1272,61621
510,184,148,155,139,652,890,456,1751,57,4436,453,432,427,455,1320,1534,596,1350,78,6639,589,387,327,226,802,1393,904,4010,172,8804,291,648,494,435,891,818,234,578,85,4474,232,354,423,305,1102,892,342,652,48,4363,88,544,274,179,380,289,108,216,30,2110,476,243,172,101,326,475,456,3011,114,5375,206,639,387,272,448,557,255,1378,113,4257,68,60,31,28,85,123,53,252,296,1006,2592,3448,2694,2144,6012,6979,3406,13201,986,41467
511,261,366,376,308,781,1429,627,2885,90,7135,475,677,693,591,1405,1732,683,1487,72,7827,471,531,484,365,1200,1976,949,3635,173,9786,333,1007,968,701,998,930,279,561,113,5890,276,835,774,556,1419,1111,303,569,42,5900,161,1178,664,360,651,455,152,284,61,3967,554,418,344,177,510,848,671,3466,150,7145,306,1380,868,538,725,804,256,1190,171,6243,69,98,57,35,111,124,48,187,314,1039,2917,6496,5229,3638,7812,9415,3975,14265,1193,54931
