SA4_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
501,..,324,466,161,228,295,197,66,15,1766,..,268,529,563,1100,2002,2414,1957,1010,9841,247,354,273,191,208,336,304,129,57,2101,16284,8397,9353,11639,12062,11962,10151,5265,1705,86820,..,251,5687,12079,13072,13591,12615,5995,1081,64376,..,1802,5089,3549,3046,2423,1172,325,29,17433,..,195,1053,2208,2217,925,465,318,204,7593,33160,..,..,..,..,..,..,..,..,33160,..,6426,..,..,..,..,..,..,..,6426,..,5471,1752,724,507,299,69,0,0,8815,..,665,403,176,210,442,436,264,146,2736,..,538,529,241,160,120,66,24,4,1678,..,697,1117,444,528,631,421,137,36,4011,..,600,1413,1576,2477,3699,4175,2850,1375,18165,541,673,574,454,444,614,565,220,89,4189,33705,17314,17618,21468,22657,22738,19981,10136,2967,168577
502,..,156,145,83,130,179,131,59,11,896,..,162,304,287,583,1148,1640,1504,757,6387,137,194,112,75,112,157,176,103,36,1101,8911,5280,5330,5855,6374,6912,6929,4266,1336,51198,..,146,3000,5525,6511,7565,8284,5043,964,37044,..,1088,2730,1834,1478,1225,764,280,47,9449,..,164,871,1282,1342,714,333,206,143,5058,17669,..,..,..,..,..,..,..,..,17669,..,4057,..,..,..,..,..,..,..,4057,..,3249,1240,538,338,195,50,0,0,5611,..,500,244,139,169,278,293,177,117,1922,..,294,238,113,89,69,34,8,3,854,..,311,414,198,287,333,281,115,29,1967,..,313,799,788,1280,2107,2831,2268,1092,11473,266,358,255,183,236,275,300,176,44,2094,17937,10488,9793,10608,11736,12762,13177,8277,2434,97203
503,..,1582,2133,334,140,150,94,61,13,4507,..,735,2278,1514,1150,1838,2260,1804,1141,12719,128,285,309,167,119,157,119,49,35,1367,12720,10147,14050,12123,11103,9509,7539,4276,1863,83336,..,191,6636,14004,13837,11252,8870,4592,1138,60513,..,1414,7314,3329,2133,1658,808,250,43,16956,..,35,249,1023,1748,1046,378,226,205,4908,25905,..,..,..,..,..,..,..,..,25905,..,9599,..,..,..,..,..,..,..,9599,..,2673,1933,477,345,232,53,0,0,5713,..,816,697,173,121,252,293,193,156,2691,..,375,677,158,46,45,21,6,3,1330,..,2902,4622,856,356,359,242,123,29,9494,..,1331,4637,3579,2695,3485,3765,2608,1490,23598,277,507,621,345,268,258,207,89,43,2622,26187,19834,27380,23947,21559,18580,14647,8081,3113,163327
504,..,615,848,299,350,402,246,80,15,2852,..,446,1412,1127,1476,2383,2867,2050,1001,12766,320,433,343,205,188,231,183,114,54,2068,24791,14804,19603,19228,17399,15406,11445,5902,2020,130605,..,483,13205,22011,19532,17766,13214,6281,1200,93699,..,2406,9244,5574,3862,2493,1042,301,36,24960,..,260,1651,2922,3510,1990,909,542,353,12135,50860,..,..,..,..,..,..,..,..,50860,..,12799,..,..,..,..,..,..,..,12799,..,9256,4888,1510,903,476,108,6,0,17146,..,1541,1301,481,543,921,951,618,337,6695,..,794,959,369,277,172,119,37,9,2733,..,1343,2272,932,836,866,539,171,38,7005,..,845,3220,2972,3370,4584,4707,3048,1360,24104,644,809,714,508,396,399,325,161,66,4022,51499,30534,37449,37290,33222,29665,21912,11172,3407,256154
505,..,1362,2274,593,481,584,399,150,29,5872,..,747,2887,2518,2780,4866,6343,5266,2675,28078,532,785,685,366,341,397,402,207,99,3819,52505,32175,38675,41217,37837,32250,25499,13784,4845,278784,..,886,24374,48836,46863,39681,31289,14833,3059,209833,..,4073,18990,10936,6905,4180,1746,484,88,47406,..,408,2773,5848,7343,4214,1849,1049,630,24117,106861,..,..,..,..,..,..,..,..,106861,..,31104,..,..,..,..,..,..,..,31104,..,19150,10341,2972,1802,904,164,7,0,35339,..,2777,2230,855,868,1487,1641,1016,613,11488,..,1401,1798,636,406,312,122,48,14,4745,..,2938,5452,1709,1229,1200,842,324,67,13761,..,1559,6148,6039,6488,8682,9670,7194,3539,49315,1096,1453,1444,906,740,694,643,327,134,7435,107958,65749,73548,78742,72647,61357,47972,25289,8155,541408
506,..,2322,2252,704,594,592,404,139,20,7025,..,1047,2756,2165,2484,4266,5383,4313,2199,24615,547,829,686,335,342,390,359,186,85,3765,48163,30440,38023,38061,30797,27024,21730,11215,3956,249402,..,1202,26628,47426,37525,31610,25745,11728,2379,184240,..,4616,15412,8482,5939,3789,1714,430,56,40441,..,526,2818,5203,5608,3454,1632,947,586,20782,98003,..,..,..,..,..,..,..,..,98003,..,25763,..,..,..,..,..,..,..,25763,..,15464,9299,2731,1641,827,145,3,0,30114,..,3845,3022,1034,989,1723,1855,1028,515,14019,..,2007,2667,941,561,332,159,58,7,6744,..,5323,6671,2146,1630,1471,918,318,49,18530,..,2080,6344,5736,5938,8190,8711,6227,2981,46214,1105,1496,1398,863,712,685,589,309,124,7281,99103,62327,74265,74570,60544,52078,41477,21057,6708,492134
507,..,1346,1573,478,436,480,364,125,38,4838,..,788,2188,1751,2205,3996,4893,3943,2148,21915,496,731,531,342,284,382,298,160,75,3298,40665,24774,28814,30966,28504,24805,19285,10268,3863,211944,..,546,17370,35278,33681,29206,22916,11189,2357,152543,..,4006,14905,8500,5893,3835,1704,461,72,39377,..,410,2535,4883,5530,3072,1279,807,568,19081,82546,..,..,..,..,..,..,..,..,82546,..,21855,..,..,..,..,..,..,..,21855,..,14178,7147,2119,1378,729,184,3,0,25739,..,2197,1575,577,629,1141,1165,723,446,8459,..,1175,1293,535,332,244,117,30,10,3732,..,2629,3768,1269,1047,1043,782,273,63,10863,..,1511,4876,4460,5149,7254,7649,5613,2963,39464,983,1327,1105,774,596,665,507,269,114,6339,83521,49828,54575,58398,54239,47181,36306,19355,6594,409995
509,..,196,214,72,138,230,146,73,8,1083,..,251,423,342,761,1514,1761,1492,748,7292,188,222,179,129,187,331,271,140,46,1690,10549,5153,5975,6932,8044,9238,7785,4162,1348,59192,..,240,3932,7329,8749,10627,9851,4789,954,46473,..,1323,3119,2200,2106,1866,936,247,28,11823,..,128,664,1188,1296,680,340,249,164,4707,21243,..,..,..,..,..,..,..,..,21243,..,3485,..,..,..,..,..,..,..,3485,..,3380,1368,593,435,235,49,0,0,6062,..,516,255,127,183,327,394,232,148,2169,..,296,270,127,117,101,58,17,7,998,..,424,534,243,310,480,332,148,11,2489,..,643,1084,959,1901,3302,3553,2414,1091,14948,396,479,394,326,436,604,565,260,80,3544,21643,10910,11621,13088,15546,18227,16074,8354,2484,117953
510,..,157,340,107,108,73,44,9,3,835,..,226,562,347,409,532,295,106,12,2482,218,171,236,150,129,121,62,11,3,1092,8697,3823,6358,5852,4223,2949,1201,339,61,33510,..,243,3393,5779,4178,2880,1070,240,13,17806,..,1140,3993,2618,1654,950,256,48,0,10662,..,186,674,910,707,364,193,67,26,3122,17492,..,..,..,..,..,..,..,..,17492,..,1784,..,..,..,..,..,..,..,1784,..,2156,660,286,109,36,5,0,0,3249,..,882,437,289,297,341,208,85,33,2571,..,207,279,108,82,62,20,4,0,763,..,292,692,284,251,214,119,19,0,1874,..,445,1264,1004,1146,1272,664,218,23,6042,426,334,438,323,287,264,102,19,9,2200,17919,7681,11826,11603,8710,6378,2633,704,111,67575
511,..,254,303,105,113,167,95,33,0,1072,..,325,532,342,702,1064,1140,819,381,5306,207,240,189,131,189,238,193,78,25,1483,9889,5315,6494,6494,6714,6418,4615,2328,690,48948,..,218,3785,6515,6915,7062,5280,2441,442,32649,..,1619,3796,2320,2022,1528,629,163,28,12113,..,187,760,1185,1116,625,313,218,98,4519,19897,..,..,..,..,..,..,..,..,19897,..,2951,..,..,..,..,..,..,..,2951,..,3157,1009,440,371,156,26,0,0,5152,..,725,344,216,249,343,313,191,75,2455,..,333,273,114,84,76,48,23,4,956,..,558,743,301,290,350,206,81,16,2550,..,668,1330,1120,1839,2567,2381,1400,565,11866,408,471,409,299,385,435,395,151,41,2993,20309,10897,12442,12505,13277,13151,9593,4662,1267,98095
