SA4_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
501,9,51,7,61,31,0,155,3,85,17,27,12,0,144,45,703,74,203,67,12,1106,161,431,227,322,116,13,1267,285,180,68,441,91,4,1061,774,238,53,749,144,7,1964,2155,146,36,1426,164,13,3938,3036,44,25,1249,120,14,4488,963,3,0,283,27,6,1281,202,0,0,91,8,0,303,54,0,0,21,15,0,89,11,6,0,10,4,0,31,5,0,0,9,0,0,15,15,0,0,6,6,0,31,116,120,31,241,130,33,678,7838,1999,542,5145,925,107,16558
502,12,22,6,21,4,0,62,0,35,5,9,7,0,57,20,235,72,98,21,9,451,156,209,134,158,40,4,700,182,82,50,237,33,8,590,792,79,48,520,59,7,1504,2029,25,32,882,74,11,3052,1853,15,37,586,72,9,2584,486,3,5,129,18,3,639,115,0,0,36,4,3,149,34,0,0,3,0,0,38,9,0,0,0,3,0,24,3,0,0,0,0,0,5,8,0,0,8,0,0,15,78,52,33,132,22,29,349,5779,766,415,2812,359,76,10209
503,20,94,9,20,3,3,140,0,139,24,21,0,0,180,44,853,50,146,15,6,1118,184,241,191,232,33,4,886,484,55,41,278,22,4,888,1727,101,64,571,174,6,2634,2870,58,38,951,145,13,4071,5272,38,30,1373,119,13,6847,3739,12,14,928,58,8,4766,1901,6,3,439,25,4,2378,1039,0,6,247,16,4,1311,669,4,0,146,15,0,834,438,5,0,79,6,4,531,858,0,0,179,8,0,1051,238,79,25,221,72,40,676,19490,1673,487,5824,721,111,28312
504,15,78,17,43,9,3,163,3,136,17,22,0,0,183,55,964,63,180,28,9,1299,176,467,127,262,34,6,1067,323,181,30,352,41,4,932,1163,258,63,738,118,9,2349,3640,209,57,1782,170,11,5872,5176,80,47,1943,215,24,7487,1921,16,12,538,48,6,2538,434,0,0,123,16,0,575,115,0,0,31,4,3,155,47,3,0,12,6,0,76,14,0,0,6,0,0,22,26,0,0,9,4,0,42,186,177,50,310,76,61,863,13309,2569,490,6364,755,141,23627
505,25,161,17,59,8,6,270,4,309,25,34,4,0,383,76,1803,113,334,64,16,2406,249,787,289,504,76,21,1930,372,336,98,551,74,9,1439,1710,473,128,1097,184,7,3606,7125,353,96,3357,409,44,11391,11539,150,59,4470,410,55,16683,5226,22,7,1509,110,9,6884,1939,3,4,493,30,8,2477,890,9,3,209,8,0,1123,439,5,4,103,5,0,561,206,0,0,46,13,0,269,249,0,0,45,15,6,317,452,265,60,560,126,115,1574,30509,4676,908,13370,1536,297,51303
506,24,194,26,66,10,10,326,13,294,47,62,11,3,441,169,1792,178,482,74,18,2712,354,847,396,638,124,21,2379,731,359,89,716,96,19,2009,2533,481,150,1442,199,23,4830,8285,370,97,3582,456,49,12847,12499,176,85,3839,484,38,17121,4804,33,21,1235,119,11,6224,1392,0,6,324,20,3,1755,512,7,0,116,11,0,652,226,0,0,55,13,0,295,94,4,0,29,3,0,129,135,0,0,68,13,0,215,495,292,71,679,146,152,1831,32260,4851,1177,13337,1781,355,53763
507,35,150,13,45,9,0,253,14,229,28,29,14,0,310,72,1571,142,251,44,8,2088,283,804,258,423,58,16,1833,550,285,75,510,66,10,1493,1538,392,101,1029,381,12,3441,5213,279,66,2329,256,12,8148,9525,98,21,2933,237,29,12840,3985,11,6,1023,77,6,5115,1469,10,0,354,14,3,1843,576,6,3,146,6,0,733,280,0,0,76,4,0,366,178,0,0,30,0,0,215,230,3,0,43,10,0,289,330,240,58,452,90,87,1265,24278,4080,757,9687,1260,181,40244
509,7,52,16,81,105,4,261,3,92,21,42,81,3,247,56,542,177,369,190,18,1353,194,371,248,490,189,10,1508,223,180,38,514,116,6,1080,534,260,96,656,151,14,1720,1073,183,40,820,165,5,2299,980,43,15,503,74,11,1623,202,7,4,100,15,4,329,41,0,0,25,0,0,69,7,0,0,9,0,0,15,3,0,0,4,0,0,8,0,0,0,0,0,0,3,3,0,0,9,0,0,13,63,108,33,246,272,26,747,3402,1845,707,3865,1351,104,11273
510,66,470,402,14,1900,10,2854,9,332,271,4,232,8,856,19,685,237,28,1130,10,2107,41,517,93,51,421,7,1122,55,317,31,56,300,3,757,99,446,56,78,342,5,1024,291,385,76,141,278,3,1172,647,129,37,225,177,5,1224,711,35,3,166,113,3,1029,524,10,3,84,58,0,677,333,6,0,78,46,0,467,210,5,0,50,29,0,300,161,5,0,30,28,0,219,218,0,0,32,62,0,315,187,268,91,89,662,27,1329,3574,3610,1301,1120,5766,84,15459
511,5,212,82,35,116,6,462,12,156,51,39,63,5,320,102,551,137,236,173,10,1210,385,350,129,375,202,26,1460,397,179,38,440,156,8,1215,816,305,48,622,237,15,2048,1482,176,40,741,180,9,2626,1295,40,13,531,82,5,1970,421,10,5,123,24,0,587,175,9,0,37,9,0,224,47,0,0,13,0,0,62,19,3,0,3,4,0,27,0,0,0,6,0,0,8,12,0,0,12,10,0,34,95,138,37,209,299,34,817,5272,2133,581,3430,1550,114,13071
