SA4_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
501,474,571,1048,238,254,494,254,681,933,283,1429,1717,1007,3643,4653,1097,2188,3289,3481,1486,4969,2818,1697,4517,3397,1710,5107,3667,1251,4920,2610,1027,3628,2872,807,3678,6049,1262,7311,4612,142,4755,3679,327,4015,2129,66,2191,4822,399,5218,5864,382,6244,565,713,1274,49914,20046,69965
502,369,443,817,145,149,296,159,444,603,204,964,1168,626,2558,3187,818,1678,2497,2605,899,3510,2069,935,3007,2124,886,3012,2125,567,2693,1324,554,1874,1440,410,1849,2993,764,3762,2211,63,2273,1916,183,2102,1116,27,1148,2940,237,3178,3710,182,3892,402,490,884,29308,12429,41734
503,454,902,1354,164,301,472,172,703,878,146,1385,1534,412,2365,2775,466,2062,2527,1023,1516,2543,1194,1835,3025,1662,2298,3963,2005,2112,4118,1558,1996,3556,1873,1637,3514,4087,3405,7487,3364,403,3765,3339,1097,4444,2506,215,2726,16899,2232,19135,3446,774,4219,255,478,736,45033,27722,72762
504,607,965,1569,258,315,574,291,836,1127,344,1669,2013,1010,3981,4986,1259,2345,3602,3597,1613,5211,3221,2159,5376,4138,2584,6726,4852,2211,7062,3842,1805,5650,4180,1472,5652,9627,2405,12039,7602,288,7890,6235,561,6794,4046,110,4162,9760,644,10402,7360,634,7996,704,737,1437,72943,27331,100273
505,1399,1819,3214,548,655,1206,670,1692,2358,757,3285,4042,2222,7981,10205,2535,5196,7732,6935,3513,10441,6797,4254,11051,8284,4900,13180,9576,4239,13813,7720,3688,11411,8106,2915,11021,18679,4976,23657,15241,593,15833,13593,1284,14875,9099,268,9367,27402,1674,29078,14799,1279,16080,1418,1401,2822,155787,55604,211386
506,1375,1903,3280,510,652,1156,604,1657,2260,743,3317,4057,1990,7308,9303,2371,4916,7289,6503,3203,9703,6089,4223,10309,7780,5056,12833,9219,4171,13393,7508,3616,11126,7963,2658,10621,17771,4640,22414,13596,708,14304,11470,1219,12692,7165,306,7462,19532,1603,21138,12576,1585,14159,1218,1336,2553,135972,54080,190049
507,1046,1403,2444,466,542,1003,524,1387,1915,586,2754,3346,1702,6487,8187,2066,4160,6226,5526,2681,8202,5137,3334,8470,6040,3852,9893,6844,3286,10126,5785,2960,8745,6132,2319,8449,14106,3984,18091,11315,487,11800,10375,1011,11381,6838,167,7002,20417,1385,21804,12055,1084,13147,1009,1173,2181,117964,44447,162413
509,383,501,884,192,214,409,188,614,804,208,1132,1346,771,3174,3945,796,1813,2610,2735,1084,3820,2148,1449,3599,2454,1448,3893,2761,941,3702,1844,825,2666,2074,572,2646,4088,925,5017,2992,67,3063,2212,198,2416,1235,28,1265,2936,274,3210,4133,197,4327,578,680,1260,34723,16139,50866
510,89,167,254,57,59,112,111,232,344,138,336,478,325,321,646,284,201,485,495,221,715,477,289,764,601,447,1053,585,538,1126,504,614,1120,654,602,1255,1714,1272,2992,1559,112,1672,1849,385,2236,1286,67,1353,4299,543,4837,2179,202,2383,341,284,626,17542,6891,24437
511,279,414,694,118,148,260,168,471,632,166,874,1040,525,1919,2446,539,1101,1637,1570,751,2327,1311,964,2275,1373,1092,2464,1621,872,2492,1293,836,2125,1418,699,2117,3355,1278,4632,2637,102,2737,2353,334,2681,1429,56,1492,3663,373,4029,3454,271,3721,490,541,1034,27754,13087,40843
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
