SA4_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
501,1143,2516,5041,5834,5312,4285,4032,1599,357,30121,435,585,1357,1621,1692,1301,835,337,67,8221,546,670,2111,2674,3768,4967,4210,1723,297,20961,113,75,255,313,417,718,934,666,188,3686,31,34,85,98,136,227,590,723,377,2303,4,11,54,31,40,51,38,39,28,300,294,274,853,968,1143,947,859,563,282,6177,2562,4166,9752,11537,12501,12506,11498,5650,1597,71769,1250,2705,6754,8115,6934,5534,3783,1567,428,37071,255,295,1115,1401,1711,1964,1235,397,105,8481,341,451,1434,2005,3293,4380,4500,2003,575,18988,94,62,174,189,243,504,776,603,286,2934,14,21,51,65,98,186,441,712,496,2092,4,3,30,24,21,25,31,38,37,215,277,243,649,687,731,768,812,679,456,5303,2240,3777,10217,12483,13033,13371,11590,5995,2379,75081,2396,5219,11797,13948,12245,9829,7811,3166,783,67196,689,882,2471,3026,3407,3267,2073,729,171,16704,887,1123,3540,4682,7059,9345,8713,3730,874,39952,210,144,424,508,664,1224,1706,1267,478,6617
502,721,1662,2666,2705,2527,2307,2449,1363,309,16712,192,270,759,839,882,752,562,299,56,4617,291,394,1088,1286,1965,2649,2654,1328,246,11917,95,73,144,192,266,407,622,508,198,2496,20,16,38,62,82,153,376,534,251,1529,6,4,17,15,20,18,32,20,5,141,152,199,457,550,573,471,470,439,235,3538,1471,2621,5170,5655,6310,6760,7165,4499,1299,40945,761,1902,3558,3728,3376,2798,2306,1224,335,19975,138,226,677,785,939,1245,784,324,65,5182,255,339,1017,1207,1850,2643,3208,1549,408,12487,79,40,109,133,204,336,617,579,227,2327,25,6,23,46,78,130,330,489,315,1441,0,4,11,12,14,21,19,24,13,123,144,164,323,340,371,380,467,553,436,3182,1402,2688,5711,6246,6832,7568,7731,4737,1794,44711,1478,3566,6222,6434,5903,5104,4757,2591,642,36688,332,495,1437,1622,1822,1999,1348,630,114,9794,546,735,2107,2496,3818,5293,5868,2877,660,24406,173,118,250,325,466,745,1232,1089,429,4816
503,1779,5543,12996,11150,9303,7546,5787,2738,817,57654,81,203,615,526,551,571,336,216,60,3163,88,141,516,520,891,1196,986,649,225,5219,32,35,79,79,90,113,171,174,99,863,5,11,29,37,40,72,143,205,194,736,0,15,40,25,28,38,32,28,28,239,140,384,1274,872,664,593,551,425,223,5131,2124,6330,15546,13218,11566,10122,8014,4438,1644,73010,1981,6175,13825,11520,9936,7798,5400,2511,1010,60159,74,188,395,338,527,620,550,292,112,3095,77,132,385,422,732,1210,1503,1074,589,6123,22,17,47,50,58,101,167,243,179,887,5,5,21,38,61,87,193,306,360,1073,0,11,40,31,20,54,32,60,92,350,157,390,949,578,443,432,547,447,414,4361,2321,6921,15666,12977,11772,10313,8393,4923,2764,76047,3759,11717,26821,22680,19237,15341,11188,5252,1827,117815,160,390,1008,863,1078,1198,891,504,164,6256,164,269,899,949,1621,2403,2498,1724,819,11339,49,49,132,128,150,210,335,421,278,1754
504,2309,6340,13330,13257,9487,6833,4832,2029,419,58839,412,683,1972,1924,2001,1633,781,337,59,9799,491,938,3047,3186,4256,5103,3551,1444,362,22372,140,98,336,420,515,702,723,578,183,3691,49,38,172,226,269,405,670,775,367,2967,12,25,110,152,189,180,123,87,51,927,304,433,1370,1317,1193,996,664,516,289,7081,3711,8559,20333,20483,17907,15848,11339,5768,1725,105684,2347,6405,15716,14960,10907,7634,4609,1853,553,64981,286,537,1583,1531,1967,2043,927,349,94,9308,328,571,2132,2163,3717,4672,4196,1966,614,20364,101,63,212,311,431,589,792,611,285,3393,28,27,133,246,342,468,783,898,608,3527,5,12,92,160,215,205,182,159,110,1141,280,366,1003,853,781,655,688,632,496,5749,3375,7975,20875,20225,18353,16265,12173,6464,2764,108469,4656,12745,29048,28221,20393,14461,9442,3881,978,123826,697,1214,3554,3456,3971,3676,1705,685,155,19109,824,1513,5175,5351,7973,9777,7749,3410,966,42738,239,163,550,733,939,1282,1515,1190,469,7091
505,5087,13971,27429,28771,23671,16895,12001,5064,1222,134112,752,1163,3355,3689,3635,3122,1792,737,172,18414,940,1326,4255,4901,7101,8234,6744,3139,842,37489,261,170,498,648,756,1012,1241,1046,455,6079,41,49,239,368,450,571,1028,1355,756,4856,10,30,191,277,339,311,244,195,118,1721,551,837,2422,2414,2140,1624,1147,1021,590,12752,7646,17545,38395,41068,38086,31772,24200,12558,4159,215426,5186,14237,32701,33839,26525,18405,11256,4713,1447,148310,464,826,2524,2739,3708,4081,2446,952,298,18039,621,975,3067,3570,6298,8196,8934,4595,1625,37886,194,128,345,494,597,917,1452,1320,789,6241,48,49,259,404,518,732,1356,1820,1239,6431,17,18,178,344,392,432,355,292,231,2273,487,660,1889,1616,1319,1196,1348,1371,1113,11006,7031,16900,40967,42997,39355,33960,27150,15070,6748,230181,10273,28210,60132,62612,50194,35303,23256,9780,2665,282420,1220,1983,5877,6429,7339,7205,4234,1687,469,36450,1558,2306,7327,8465,13394,16434,15680,7731,2468,75372,457,297,850,1138,1354,1930,2697,2368,1243,12329
506,4447,14315,28378,27758,18955,12903,9546,4198,1046,121540,748,1320,3187,3219,3225,2676,1470,617,137,16591,917,1471,4657,5196,6908,8162,6361,2746,711,37126,279,215,577,781,973,1154,1375,906,318,6583,84,103,308,445,486,685,1112,1201,582,5009,20,40,290,344,354,306,229,177,74,1828,625,1079,2808,2528,2153,1709,1185,940,669,13692,7112,18539,40195,40270,33050,27597,21287,10782,3533,202380,4751,14273,31467,30389,20244,14276,9252,3912,1196,129756,449,899,2474,2564,3315,3393,1966,786,214,16055,717,1110,3485,3891,5849,7524,7688,3651,1233,35136,183,154,405,577,693,1006,1369,1105,599,6088,67,60,263,446,557,741,1241,1319,928,5619,13,41,248,342,362,396,345,232,178,2161,577,827,2196,1827,1413,1283,1274,1415,1271,12077,6750,17364,40538,40046,32426,28614,23132,12420,5616,206895,9193,28589,59841,58143,39195,27181,18798,8113,2242,251295,1193,2222,5656,5787,6540,6070,3436,1399,351,32653,1629,2575,8144,9090,12753,15680,14051,6395,1946,72266,459,370,976,1356,1664,2159,2743,2013,919,12671
507,3859,10249,19519,20712,16466,11810,8723,3817,1011,96162,640,1020,2941,3012,3253,2588,1270,550,123,15390,856,1262,4238,4405,6231,7437,5383,2498,684,32994,218,154,459,533,660,993,1109,915,329,5365,64,55,122,173,257,480,864,1185,602,3792,8,29,75,95,137,112,137,121,80,786,508,803,2148,2142,1808,1427,1087,929,588,11444,6158,13563,29501,31060,28799,24841,18585,10014,3416,165935,4022,10934,23553,24586,19036,13627,8490,3557,1154,108961,411,707,2254,2430,3138,3237,1669,738,195,14780,649,943,3025,3478,5663,6912,6769,3311,1323,32066,170,125,310,410,549,901,1286,1040,516,5300,41,38,98,172,284,481,1115,1338,922,4481,7,12,51,105,109,134,163,169,163,918,463,631,1501,1294,1136,1048,1154,1163,1057,9452,5759,13390,30782,32477,29913,26337,20643,11324,5335,175960,7879,21178,43073,45299,35501,25438,17213,7372,2168,205121,1051,1725,5196,5440,6390,5826,2942,1289,312,30174,1508,2212,7258,7880,11887,14349,12145,5810,2010,65061,385,284,761,942,1201,1894,2398,1954,842,10663
509,793,1769,3531,3668,3713,3534,3122,1278,276,21679,316,375,767,843,1050,1059,743,300,69,5519,458,514,1525,1762,2621,4002,3386,1369,292,15917,88,55,172,249,369,622,857,557,183,3153,32,25,96,90,145,263,600,732,359,2342,5,11,33,45,53,52,37,35,30,290,331,347,905,932,1078,1165,997,634,220,6614,2020,3092,7039,7585,9025,10699,9749,4891,1415,55514,743,1751,4410,4785,4574,4239,2959,1261,380,25093,157,236,636,784,1160,1497,890,359,70,5779,235,312,974,1218,2208,3275,3300,1401,444,13372,71,48,90,144,209,402,602,525,222,2304,11,16,54,62,89,169,359,541,360,1656,4,8,24,32,44,36,45,26,23,246,269,232,588,670,824,897,850,723,387,5445,1498,2608,6776,7692,9104,10512,9011,4832,1888,53909,1538,3519,7940,8451,8284,7772,6081,2539,653,46778,472,614,1401,1629,2206,2553,1639,657,141,11298,693,824,2498,2975,4828,7278,6691,2772,734,29289,158,106,267,390,571,1023,1464,1079,401,5462
510,421,1318,3999,3780,2378,1407,509,101,8,13928,233,303,988,1046,878,585,138,23,0,4192,268,424,1503,1690,1744,1570,520,96,10,7831,100,88,244,249,251,277,147,41,4,1402,56,33,107,115,175,201,187,93,26,991,16,4,28,46,62,46,39,47,9,304,405,557,1835,1744,1440,1106,372,107,22,7593,1500,2729,8703,8671,6938,5188,1920,508,91,36243,486,1412,4953,4110,2349,1342,436,82,13,15187,158,273,776,765,670,498,115,20,0,3275,220,307,1008,1035,1123,1031,391,78,13,5209,87,58,149,169,203,163,99,40,3,969,52,30,64,90,117,140,156,83,15,747,9,8,20,23,33,35,48,38,19,230,303,443,1399,1091,874,626,271,97,43,5154,1324,2528,8361,7275,5377,3837,1520,448,113,30774,907,2728,8954,7891,4730,2747,947,185,22,29109,395,575,1770,1810,1551,1072,253,39,0,7467,493,738,2511,2727,2866,2601,913,180,32,13048,190,152,391,418,454,440,247,80,11,2372
511,616,1819,3898,3528,2952,2261,1476,546,133,17224,324,467,1050,980,1116,928,458,167,24,5520,428,536,1637,1781,2531,3224,2167,741,151,13194,127,77,185,262,388,529,578,369,88,2606,26,26,62,92,153,301,495,488,182,1826,4,3,23,44,40,38,42,40,21,258,389,577,1419,1280,1317,1168,780,463,138,7524,1919,3510,8274,7971,8497,8446,5990,2811,734,48145,657,1922,4741,4288,3545,2520,1406,580,151,19797,198,282,816,812,1079,1237,611,182,34,5252,287,440,1019,1290,1913,2342,1925,767,239,10228,86,68,129,174,225,325,423,340,133,1904,24,21,50,72,117,200,324,405,215,1416,0,14,16,25,35,35,44,41,29,229,359,418,901,948,842,813,639,404,214,5543,1609,3161,7677,7599,7757,7476,5368,2732,1015,44386,1265,3739,8639,7817,6493,4778,2878,1126,280,37022,523,749,1865,1795,2197,2166,1069,355,57,10773,715,981,2657,3069,4444,5566,4094,1510,389,23417,216,143,311,435,610,854,1002,708,223,4506
