SA4_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
501,274,328,299,242,644,1409,634,2481,80,6390,213,342,316,308,849,1354,440,1033,30,4902,809,581,561,495,1986,3331,1305,3803,203,13081,139,369,274,177,253,420,133,264,23,2045,71,138,114,71,286,321,121,263,11,1393,75,642,261,179,369,364,129,240,26,2279,638,404,360,234,829,1282,699,2683,132,7260,366,1230,665,510,1111,1238,479,1160,147,6898,52,78,48,32,92,162,45,178,224,916,2641,4101,2900,2252,6413,9883,3982,12105,882,45161,230,449,496,416,721,850,331,758,60,4315,616,1310,1354,1093,1343,1408,475,781,48,8427,154,521,454,304,519,350,105,214,36,2650,462,2116,1857,1203,1151,609,143,342,121,7996,401,1499,1430,839,1688,1074,206,323,58,7504,259,1769,1091,527,660,361,84,145,56,4950,116,117,137,53,111,135,51,277,25,1027,246,1725,970,506,595,391,125,228,92,4873,48,83,50,38,65,57,12,23,160,543,2534,9580,7838,4975,6854,5233,1527,3098,645,42292
502,84,111,125,67,342,578,228,867,26,2426,105,177,146,108,425,552,174,441,21,2147,408,269,311,280,1267,1474,614,2093,120,6837,72,247,171,89,149,240,80,154,19,1216,42,80,43,40,162,169,65,136,3,740,38,375,167,94,171,155,39,127,24,1191,433,226,215,129,628,435,392,1658,95,4207,166,635,312,168,406,453,168,566,57,2932,32,34,22,14,55,69,26,98,143,505,1372,2145,1518,983,3603,4127,1792,6147,507,22193,80,157,187,147,409,366,144,292,16,1800,265,520,559,442,723,691,208,369,27,3807,84,270,244,156,280,189,52,119,24,1408,244,1316,1104,626,720,311,74,208,68,4674,177,648,700,413,897,510,107,203,34,3699,136,1132,613,260,381,173,50,52,39,2838,93,76,79,45,113,54,23,235,19,732,91,709,362,185,134,115,25,143,30,1792,17,30,31,8,30,31,6,24,87,257,1191,4862,3871,2269,3696,2441,684,1642,347,21005
503,202,480,452,386,1207,2676,1172,3628,60,10265,475,1422,1122,1035,3180,6410,2015,4595,102,20352,187,417,417,268,979,1360,482,1202,64,5370,157,1134,578,303,361,465,157,307,43,3504,77,327,212,124,755,786,204,407,14,2905,84,769,386,178,345,406,136,362,23,2678,124,323,238,117,314,311,113,521,37,2090,138,1142,571,205,354,349,95,358,52,3268,26,80,55,43,94,138,46,126,186,797,1468,6092,4027,2669,7595,12897,4417,11494,577,51236,206,483,620,515,1069,1401,553,1189,49,6092,1028,2700,2910,2007,3509,4245,1297,2354,119,20166,79,293,276,168,405,306,76,146,22,1771,257,2419,1469,666,780,508,112,249,81,6547,246,1536,1285,645,1653,1292,257,344,58,7320,141,1599,731,255,370,256,63,143,34,3580,28,68,43,22,17,27,9,67,9,279,75,679,484,163,185,110,19,134,32,1876,29,101,58,36,91,60,12,39,147,587,2093,9874,7881,4475,8076,8203,2396,4673,548,48215
504,202,263,328,276,1466,2546,1103,2892,66,9144,313,723,600,586,2665,3679,1137,2072,77,11848,729,863,931,771,3620,4854,1717,4632,275,18385,215,830,585,340,746,1016,324,610,93,4764,130,271,250,177,1394,1246,401,622,26,4525,90,1050,566,275,745,735,233,451,55,4198,538,651,630,466,1839,1920,867,3081,213,10203,326,1733,975,553,1344,1325,429,1142,150,7976,70,122,53,47,224,231,73,230,389,1428,2605,6511,4922,3490,14034,17552,6286,15732,1344,72472,259,390,563,472,1551,1514,547,940,25,6258,944,1866,2120,1624,3266,3038,868,1422,109,15261,185,657,613,401,917,601,153,317,36,3886,606,3057,2880,1667,2238,1144,280,588,180,12639,596,1972,2279,1368,3943,2539,526,689,102,14008,294,2659,1590,673,1039,586,135,164,92,7230,126,195,186,119,276,199,68,309,14,1502,200,1761,1022,510,666,360,80,273,87,4964,59,114,90,54,191,126,28,59,284,1017,3264,12672,11345,6893,14088,10101,2689,4763,945,66763
505,427,661,732,679,3473,6465,2805,7180,157,22591,778,1772,1404,1366,6344,9748,2824,5573,172,29973,1463,1692,1846,1779,7055,10707,3322,8541,576,36986,460,2043,1321,723,1279,2209,781,1199,156,10168,284,663,536,357,2463,2494,705,1214,58,8769,194,2525,1264,549,1433,1680,523,1051,94,9312,902,1236,1167,795,2476,2590,1134,4411,313,15018,681,3900,2081,1144,2562,2667,757,2217,286,16287,112,206,136,131,391,529,157,428,695,2782,5303,14701,10483,7528,27473,39084,13002,31814,2504,151897,570,909,1348,1216,3124,3296,1106,1974,96,13629,2293,4967,5988,4429,7947,7461,2207,3293,213,38785,347,1369,1315,776,1630,1097,247,472,96,7351,1244,7097,6043,3284,4110,2128,494,1046,345,25781,1292,4841,5337,3329,7860,4904,1026,1230,228,30052,599,6221,3388,1315,1942,1147,274,332,162,15372,165,358,270,158,330,226,81,433,38,2063,346,3378,1903,904,1092,685,132,433,141,9025,119,241,193,135,328,260,43,111,565,1997,6974,29377,25794,15545,28364,21208,5607,9320,1883,144065
506,330,617,635,545,2702,4838,1965,5156,126,16922,620,1603,1327,1206,6120,8878,2242,4264,216,26474,1203,1627,1768,1397,6553,8725,3106,7788,558,32722,353,1741,1253,751,1303,1672,555,912,131,8676,239,576,562,377,2431,2488,726,1148,75,8617,189,2098,1094,471,1318,1271,403,769,79,7691,868,1454,1530,1022,3635,3836,1660,5221,425,19648,550,3463,2173,1061,2584,2405,796,2012,300,15345,86,222,162,104,428,477,150,426,795,2855,4438,13404,10506,6936,27074,34597,11612,27682,2704,138946,388,763,970,779,2438,2528,838,1529,76,10309,1627,3747,4263,3359,7000,6397,1671,2560,203,30826,307,1167,1174,677,1646,1057,280,505,89,6914,1106,5986,5145,3137,3744,1811,483,976,326,22717,1049,3607,3940,2404,6798,4522,956,1044,190,24517,566,4800,2761,1098,1749,938,233,289,142,12569,196,443,369,205,584,399,140,530,49,2910,373,3143,2149,1055,1284,774,176,486,169,9611,84,251,179,95,319,247,40,78,537,1831,5694,23913,20953,12806,25564,18675,4808,7998,1785,122205
507,380,521,526,452,2286,4551,1886,5361,108,16082,651,1416,1187,1021,4516,6987,2006,4099,162,22048,1249,1171,1187,1135,5146,7826,2794,7485,394,28393,331,1435,881,479,957,1565,535,978,104,7274,198,407,345,228,1612,1732,573,966,33,6089,162,1823,803,393,931,1024,309,649,71,6168,860,896,755,525,2157,2371,1153,4133,253,13095,609,2699,1306,793,1650,1847,664,2012,239,11816,91,160,86,78,300,430,123,388,492,2132,4530,10529,7068,5104,19549,28331,10052,26074,1854,113099,462,724,941,840,2303,2426,836,1449,60,10044,1752,3961,4536,3317,5533,5643,1677,2690,161,29273,299,1103,929,632,1210,893,215,433,60,5783,967,5322,4367,2570,3032,1608,337,829,258,19293,907,3390,3671,2170,5334,3655,695,920,138,20884,480,4704,2294,980,1473,749,171,274,112,11232,146,297,252,143,336,217,108,417,28,1937,306,2543,1442,683,802,498,134,425,114,6946,83,177,149,94,214,181,38,84,381,1406,5402,22217,18592,11444,20235,15871,4211,7520,1305,106804
509,310,395,345,286,498,1468,693,4235,129,8354,129,210,175,177,513,716,247,525,18,2712,374,396,399,351,1173,1855,760,1881,136,7326,101,194,147,116,187,408,117,177,27,1467,33,107,60,49,162,188,71,143,14,816,52,295,153,82,217,297,113,206,18,1439,394,315,266,173,508,809,440,1863,101,4871,239,865,548,338,739,1003,431,860,147,5162,62,52,33,24,54,92,40,109,167,627,1697,2827,2121,1599,4051,6834,2903,9988,754,32776,224,509,543,379,521,798,301,1025,70,4378,363,814,778,619,853,925,294,562,27,5245,88,315,268,191,303,214,55,123,23,1577,288,1195,1102,708,727,486,130,262,79,4988,303,1120,936,582,1131,802,160,276,53,5363,146,891,556,277,426,260,88,96,41,2785,70,121,121,44,55,95,45,224,13,786,164,1159,609,279,352,311,121,229,56,3296,51,48,42,16,40,41,15,27,151,434,1696,6170,4964,3110,4407,3941,1206,2837,514,28844
510,91,52,56,32,268,478,271,1191,39,2472,138,109,75,98,470,649,256,713,39,2546,488,274,218,136,641,1204,794,3684,153,7590,107,105,78,73,235,355,115,301,24,1382,38,36,31,27,167,166,125,258,5,857,21,177,46,41,111,105,36,108,8,652,340,188,124,71,258,390,358,2506,88,4324,131,309,157,116,257,348,185,993,68,2568,46,31,17,17,47,84,43,201,158,641,1394,1282,787,610,2458,3782,2181,9957,587,23035,90,94,104,106,384,418,188,563,20,1966,320,321,359,358,842,889,336,634,46,4091,107,110,108,87,159,192,111,326,18,1213,186,540,418,365,656,462,124,284,56,3092,194,324,394,276,938,723,216,400,38,3503,66,363,223,143,267,184,67,111,27,1458,133,57,53,33,69,84,97,505,22,1053,74,334,232,155,191,210,71,386,44,1689,31,30,14,12,40,36,15,55,139,367,1201,2167,1907,1541,3557,3194,1226,3249,399,18436
511,142,153,129,118,352,837,426,2181,52,4380,157,162,152,115,449,730,326,820,35,2933,385,315,291,245,944,1759,871,3405,155,8370,82,140,105,86,177,403,128,266,24,1418,26,50,46,44,192,203,83,213,3,864,40,308,130,93,196,221,99,161,29,1277,467,307,250,143,429,720,576,3031,127,6045,199,595,329,252,463,564,207,928,122,3648,42,43,16,18,66,92,38,142,181,649,1533,2061,1458,1107,3277,5532,2750,11142,728,29577,120,213,251,197,433,597,201,707,38,2757,323,516,541,473,962,1008,361,669,39,4897,92,216,193,123,254,217,78,229,14,1418,245,869,863,616,818,528,152,296,88,4473,256,789,723,516,1226,907,221,358,41,5037,123,872,527,264,449,234,54,123,34,2687,94,113,96,36,83,126,100,437,21,1092,107,789,543,285,264,233,56,262,49,2599,23,53,38,12,52,33,10,46,134,392,1379,4429,3771,2530,4537,3887,1228,3124,467,25355
