SA4_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
501,45,22,3,2830,324,71,26,349,47,144,30,57,28,132,2196,3400,19,0,7,20,4,11,4,5,5,11,66,157,3673,917,242,6590,694,2961,450,833,327,1056,2295,20035
502,35,29,6,1790,120,24,21,148,20,90,15,28,21,83,1559,2126,3,0,6,3,4,0,0,0,4,3,51,81,1819,408,117,2815,378,1717,206,515,250,817,1626,10656
503,50,161,15,10527,183,38,7,249,20,110,9,51,7,61,943,1685,7,0,5,17,5,3,0,3,0,0,32,84,4427,943,111,6512,731,3532,218,807,136,873,1010,19293
504,73,86,9,6221,363,61,41,338,55,217,40,86,46,198,2870,4313,29,4,21,24,6,15,3,0,5,13,124,248,7274,1383,298,10327,1355,5842,505,1598,476,2110,3077,34242
505,131,209,24,18923,831,170,83,889,135,388,69,200,88,332,5628,8821,48,6,67,59,14,27,7,8,20,39,260,537,16010,3232,704,24990,2967,11710,1034,3311,912,4390,6035,75306
506,94,218,25,12641,575,101,68,599,92,391,58,168,80,310,4904,7347,38,9,41,30,16,13,7,7,18,23,192,385,13735,2735,548,18717,2287,12870,885,3395,887,4361,5258,65678
507,139,188,9,13755,613,94,61,568,90,341,59,122,62,242,4909,7159,30,5,18,38,11,15,6,3,18,22,152,313,11651,2081,463,17413,2223,9483,845,2317,812,3106,5158,55548
509,21,24,0,1515,397,49,16,392,32,108,27,42,18,91,1162,2333,9,0,6,16,3,8,4,0,8,12,47,116,2648,574,157,4107,475,1956,202,545,203,770,1246,12872
510,49,7,11,2579,152,17,11,77,23,58,7,18,14,74,709,1170,9,3,6,9,4,0,3,0,4,21,67,128,2301,244,139,2110,435,1304,166,245,181,831,820,8781
511,22,15,5,2055,242,31,19,200,35,81,11,25,16,74,1163,1884,12,5,7,6,3,4,0,3,7,9,53,114,2593,384,139,3233,426,1758,215,400,196,680,1239,11267
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
