SA4_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
501,20444,19306,6798,476,47026,13802,1643,62464,962,319,438,27,1745,2935,129,4809,224,118,71,4,411,305,41,767,1182,436,509,30,2159,3241,173,5577,125,49,42,7,219,435,22,670,10,8,13,5,35,65,5,104,18,0,0,0,18,13,0,30,20,4,0,0,17,12,0,32,12,11,0,0,24,23,0,51,185,72,55,6,312,545,32,891,105,19,17,4,149,242,8,398,97,18,4,0,119,191,13,324,14,9,3,0,23,29,0,54,13,16,6,0,36,20,3,57,231,60,26,7,322,479,30,831,48,37,9,0,92,99,10,200,22090,19909,7400,521,49914,18165,1882,69965
502,11668,10239,4462,296,26674,7948,817,35441,1002,163,251,27,1444,2223,70,3736,324,87,114,8,536,518,37,1085,1323,243,374,36,1973,2737,105,4824,73,17,29,5,122,290,14,431,90,22,18,0,125,62,5,189,82,14,17,0,121,77,3,197,86,16,7,4,114,46,0,155,10,3,4,5,21,20,0,39,340,77,71,15,506,487,31,1017,49,6,12,0,72,156,3,230,44,5,5,0,48,105,0,156,5,4,0,0,9,11,0,16,0,0,0,0,0,9,0,8,102,12,14,3,132,273,4,415,14,0,7,0,21,24,0,45,13452,10582,4930,349,29308,11472,957,41734
503,9829,14946,2721,313,27810,5850,1336,34991,1064,807,361,61,2294,1929,241,4461,1944,1234,618,108,3896,2334,541,6767,3008,2042,979,162,6191,4261,779,11231,1063,434,249,67,1806,2420,339,4566,1777,524,293,77,2677,3869,524,7067,2422,681,378,93,3566,4423,638,8624,1968,605,247,87,2907,2662,500,6071,8,13,0,0,22,16,3,37,7243,2256,1157,313,10973,13387,2002,26364,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,7,0,38,25,15,79,19,13,7,0,38,28,15,77,14,11,11,0,29,62,0,95,20113,19262,4869,794,45033,23592,4130,72762
504,22856,31968,10129,1031,65980,16100,2446,84526,1618,1188,1020,111,3930,4201,339,8471,695,418,331,48,1491,1348,225,3066,2308,1608,1343,157,5422,5547,564,11539,387,135,138,34,694,1109,95,1897,183,57,71,15,331,561,60,949,102,40,29,8,179,342,23,548,83,25,13,3,124,182,24,325,28,18,5,0,49,55,0,109,782,276,259,57,1377,2249,202,3826,22,4,0,0,33,39,0,74,32,3,3,0,42,103,0,146,0,3,0,0,3,4,0,7,9,7,3,3,19,14,0,41,70,16,14,3,98,163,6,269,23,25,13,3,64,51,6,117,26043,33900,11754,1247,72943,24102,3232,100273
505,44440,68091,18942,1705,133170,28669,4034,165877,6753,4507,3191,360,14812,13375,1337,29523,2158,1533,828,93,4609,2647,499,7752,8906,6045,4019,451,19422,16017,1835,37275,1023,343,299,59,1721,2793,208,4725,325,92,94,22,529,766,87,1384,379,86,91,18,575,631,79,1284,62,19,7,0,87,60,17,159,46,36,15,5,102,88,0,194,1833,574,501,100,3014,4338,393,7746,47,5,9,0,67,175,0,243,9,0,0,0,11,20,0,35,16,4,0,0,19,15,0,37,16,8,0,0,24,11,10,39,93,21,14,3,127,222,15,360,28,20,6,5,57,63,5,128,55295,74748,23478,2259,155787,49311,6281,211386
506,38791,59514,17029,2100,117426,28861,5363,151648,3930,3091,1885,342,9246,8545,1098,18880,2117,1235,570,200,4121,2767,685,7577,6040,4325,2454,549,13362,11315,1783,26458,818,579,284,66,1738,2012,226,3975,559,192,101,59,909,1345,176,2426,684,171,88,43,989,1181,149,2326,717,180,88,36,1022,849,128,2009,50,40,18,7,112,94,8,213,2836,1164,576,206,4781,5479,692,10952,48,7,11,0,64,180,9,255,100,6,14,0,124,202,4,323,0,11,5,0,10,12,0,18,50,32,14,3,99,50,10,155,196,50,37,3,289,439,25,753,46,37,26,3,112,115,10,239,47909,65086,20120,2854,135972,46211,7864,190049
507,35661,51807,15883,1330,104675,24507,3778,132967,3057,1863,1554,164,6634,7117,529,14277,1235,824,501,66,2629,1858,241,4727,4290,2685,2056,225,9256,8979,766,19004,558,167,239,45,1008,2157,135,3302,471,156,183,25,836,1387,120,2344,1052,228,148,21,1456,1564,124,3143,195,30,38,4,262,300,17,584,61,41,25,4,126,76,7,213,2328,619,640,104,3689,5493,403,9581,46,0,8,0,56,89,3,155,119,5,20,3,146,256,12,414,0,4,0,0,4,3,0,9,33,3,0,4,43,41,3,98,199,16,28,8,252,395,13,666,47,35,11,0,93,97,6,195,42519,55159,18611,1669,117964,39468,4982,162413
509,16278,12524,4376,373,33556,12861,1112,47530,373,149,164,16,701,1389,51,2147,42,12,7,0,58,85,3,144,413,165,174,16,761,1479,54,2297,21,12,9,0,48,109,0,154,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3,9,3,0,0,13,11,0,34,40,13,15,0,66,121,8,192,63,10,12,0,84,175,4,263,55,4,5,0,64,143,4,211,17,6,4,0,27,35,5,59,24,7,9,0,35,28,0,66,162,28,23,0,213,378,12,602,72,45,11,6,132,113,5,248,16956,12772,4600,401,34723,14949,1194,50866
510,4423,7774,2365,311,14871,3538,597,19013,489,440,272,47,1251,1028,92,2374,180,138,53,0,373,276,47,689,679,572,323,55,1617,1305,139,3064,145,71,55,5,273,359,44,677,55,11,7,4,76,95,6,173,32,17,4,0,53,58,6,114,32,10,5,0,40,85,6,137,0,0,0,0,3,4,0,9,264,108,68,12,448,601,63,1107,237,45,23,0,314,320,28,655,15,0,0,0,21,33,0,52,12,11,0,3,29,35,3,66,42,21,8,6,73,24,10,109,311,82,37,13,434,405,37,883,100,48,17,5,169,191,18,374,5771,8585,2806,386,17542,6039,850,24437
511,10480,10486,3849,370,25181,8417,982,34576,598,363,338,54,1343,2020,139,3509,206,120,54,8,392,261,32,685,807,478,392,61,1742,2283,171,4191,102,43,33,5,184,439,22,647,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,7,10,5,19,102,44,40,5,192,465,23,681,229,43,26,5,301,337,19,654,48,9,7,4,75,125,5,203,19,7,7,0,32,29,0,59,22,20,5,0,51,35,6,89,324,81,37,9,455,522,29,1009,97,67,28,7,189,178,13,382,11805,11151,4342,446,27754,11867,1220,40843
