SA4_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
501,320,253,575,4691,4496,9188,240,230,470,5256,4976,10232,332,295,628,5724,5270,10998,316,284,600,6368,5851,12219,313,321,638,6142,5729,11867,359,368,728,6817,6421,13235,285,303,587,5026,4793,9824,276,274,553,5592,5373,10963,237,212,446,3687,3348,7033,245,223,465,4170,3777,7948,191,181,373,3996,4188,8181,368,293,665,4562,4659,9216,159,144,297,4669,5132,9801,364,284,645,5193,5556,10748,127,149,275,5075,5836,10913,425,315,742,5630,6307,11934,132,146,276,5329,5729,11059,455,307,763,5920,6184,12102,128,152,282,5539,5939,11481,506,303,814,6177,6395,12567,118,136,252,5705,6162,11864,517,348,860,6333,6646,12977,116,124,238,5660,6091,11746,421,328,748,6191,6543,12730,91,82,166,5840,6418,12252,394,337,723,6318,6831,13149,132,161,295,17506,18657,36159,1117,1152,2268,18757,19972,38723,2672,2647,5324,84594,87780,172380,5997,5045,11042,93269,95483,188747
502,186,192,376,2537,2509,5049,145,101,243,2866,2800,5672,201,186,387,2833,2824,5661,120,159,282,3153,3174,6329,199,218,411,3077,2992,6073,173,175,347,3449,3387,6830,174,173,349,2704,2653,5359,137,138,273,3015,2971,5986,115,132,246,2326,2410,4739,179,145,321,2623,2686,5306,98,87,187,2220,2469,4691,174,131,309,2493,2692,5188,97,110,206,2358,2764,5119,228,143,372,2677,3020,5700,83,84,169,2595,2983,5586,256,163,420,2935,3228,6170,60,75,132,2412,2809,5223,243,142,381,2715,3019,5736,51,61,114,2772,3065,5837,268,180,452,3089,3308,6404,60,78,139,2912,3308,6213,250,140,393,3225,3521,6745,58,68,126,3134,3465,6601,237,160,395,3428,3690,7124,47,40,90,3104,3684,6785,175,147,329,3332,3875,7206,75,93,166,12293,13581,25878,603,600,1208,12973,14273,27246,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
503,44,48,87,4064,3769,7830,127,118,244,4233,3930,8158,44,37,82,4551,4276,8830,110,127,239,4706,4439,9149,45,75,124,4956,4777,9733,127,111,239,5128,4970,10096,66,96,164,4817,4891,9705,145,158,302,5030,5143,10172,94,103,191,5910,6462,12372,343,367,703,6339,6927,13265,67,85,152,7068,7292,14358,590,467,1056,7721,7841,15567,52,55,108,7212,7376,14588,570,387,962,7834,7825,15654,44,35,79,6677,6662,13342,413,306,720,7139,7001,14136,45,34,80,5679,5729,11411,366,217,578,6093,5978,12071,48,40,93,5379,5651,11033,286,180,466,5720,5868,11587,32,43,74,5514,5659,11173,314,209,517,5857,5910,11760,38,35,70,4995,5109,10099,286,191,481,5320,5333,10649,13,17,26,4568,4794,9368,228,170,399,4808,4986,9792,46,42,83,13315,15297,28616,734,754,1489,14096,16096,30190,679,732,1411,84701,87752,172445,4645,3756,8401,90025,92241,182267
504,472,412,883,8661,8064,16729,278,261,539,9414,8738,18158,510,385,898,8508,8006,16512,352,312,665,9371,8710,18079,456,470,923,8211,7520,15732,339,285,628,9005,8276,17285,392,374,768,7579,6917,14492,285,276,553,8253,7566,15820,409,328,735,7812,7373,15187,354,294,647,8574,7993,16571,411,356,766,8513,8829,17341,521,415,934,9450,9597,19045,375,307,682,9924,10566,20490,611,417,1027,10908,11294,22203,304,228,531,10213,10220,20434,582,402,983,11093,10850,21946,219,178,397,8656,8903,17562,520,312,834,9403,9395,18798,212,209,417,8208,8705,16919,510,347,864,8928,9271,18197,170,175,342,8328,8628,16954,494,302,793,8991,9101,18094,152,145,299,7856,8132,15991,456,262,715,8463,8536,17004,114,125,247,6930,7362,14296,347,252,603,7399,7741,15138,128,193,322,17876,20313,38186,840,908,1744,18847,21413,40254,4342,3874,8212,127270,129549,256824,6491,5049,11539,138101,138478,276573
505,489,458,950,17326,16514,33837,525,484,1012,18341,17456,35798,495,441,935,18480,17434,35920,617,591,1207,19591,18469,38056,435,417,858,18410,17375,35788,551,507,1060,19396,18307,37704,413,354,760,16847,15857,32702,513,458,971,17773,16665,34435,317,324,640,16540,16041,32583,723,562,1284,17578,16927,34506,285,333,616,16774,17636,34411,953,801,1754,18015,18760,36779,266,297,563,19007,21137,40142,1131,785,1924,20408,22219,42622,223,255,477,20475,21747,42226,1151,808,1958,21854,22810,44661,164,208,373,18084,19429,37512,992,583,1574,19235,20224,39464,177,202,374,18175,19170,37344,968,581,1547,19315,19950,39264,141,201,340,17759,18710,36466,903,524,1430,18802,19436,38237,141,172,309,15915,17055,32969,771,493,1261,16828,17719,34542,118,133,250,14246,15672,29922,617,452,1073,14976,16261,31239,160,202,363,39322,47007,86330,1472,1815,3286,40950,49028,89980,3800,4003,7802,267375,280785,548156,11887,9447,21336,283068,294235,577297
506,693,655,1340,16106,15357,31460,578,548,1126,17366,16559,33926,679,690,1364,16862,15916,32774,660,646,1308,18206,17241,35446,694,650,1343,16152,15080,31231,628,586,1223,17477,16319,33797,613,581,1199,14448,13742,28186,540,522,1062,15601,14847,30444,578,530,1113,17095,16168,33267,914,714,1623,18590,17408,35999,523,533,1054,18119,17647,35769,1097,937,2026,19738,19115,38852,481,422,905,18839,20130,38973,1184,919,2095,20505,21471,41977,352,362,713,19996,20493,40487,1128,888,2017,21474,21740,43219,301,300,606,17524,17395,34914,1003,643,1646,18828,18331,37162,292,288,575,15696,15710,31408,916,595,1513,16904,16595,33501,257,308,563,15003,14972,29967,914,583,1500,16175,15856,32031,208,247,456,13623,14003,27626,765,529,1295,14599,14783,29384,155,176,329,12259,13237,25497,622,445,1075,13034,13861,26897,260,344,600,34024,39284,73310,1357,1571,2928,35639,41198,76835,6076,6083,12162,245757,249115,494871,12305,10127,22430,264141,265325,529466
507,558,506,1063,13441,12475,25917,474,432,905,14476,13415,27888,568,505,1072,13788,13504,27286,515,481,998,14871,14494,29357,571,516,1089,14082,13319,27400,527,495,1023,15180,14331,29512,458,434,893,12527,12140,24665,483,418,899,13464,12995,26454,485,400,888,12381,12462,24843,710,540,1248,13576,13401,26979,458,379,834,12814,13238,26045,873,659,1535,14142,14274,28418,385,329,715,13983,15533,29512,1003,659,1665,15373,16525,31895,303,282,586,14875,16194,31074,1010,627,1642,16192,17106,33300,254,220,473,13729,14681,28412,890,482,1377,14875,15383,30261,236,206,439,13447,14331,27778,815,525,1336,14500,15057,29564,179,194,374,13336,14204,27539,797,473,1265,14318,14865,29180,151,170,323,12257,13297,25553,689,446,1136,13098,13913,27014,103,137,243,11095,11933,23028,554,375,931,11757,12446,24199,181,212,389,30463,35600,66058,1400,1521,2925,32045,37333,69375,4892,4497,9392,202226,212902,415127,10753,8142,18893,217864,225539,443407
509,283,265,555,3088,2926,6010,264,257,521,3633,3442,7079,327,301,624,3563,3391,6948,345,347,692,4228,4044,8265,326,373,704,3654,3464,7118,390,347,735,4371,4180,8560,333,287,616,3210,2902,6108,319,271,596,3866,3451,7320,228,175,402,2585,2218,4802,283,214,503,3099,2607,5712,211,170,375,2866,2752,5622,330,245,574,3402,3164,6566,162,162,321,3119,3139,6260,356,314,670,3640,3613,7257,170,130,299,3255,3447,6702,371,296,666,3802,3865,7664,139,153,292,3241,3357,6594,406,318,732,3787,3826,7612,158,148,308,3640,3780,7417,431,385,813,4230,4310,8542,122,190,314,4172,4228,8406,506,378,883,4798,4797,9597,177,181,352,4587,4619,9210,534,422,959,5296,5223,10518,150,142,287,4788,4816,9600,474,336,811,5408,5293,10700,215,261,479,14553,14238,28792,1286,1232,2517,16054,15733,31791,3003,2925,5931,60317,59274,119586,6298,5361,11662,69616,67561,137175
510,1177,1063,2236,2152,2015,4170,411,327,737,3738,3408,7142,1231,1114,2341,2150,2043,4191,503,489,991,3880,3639,7522,1124,1154,2277,1681,1607,3286,399,405,796,3203,3162,6364,1037,997,2033,1149,1040,2189,340,270,608,2526,2308,4829,910,891,1797,1342,1260,2605,481,387,867,2731,2534,5265,854,881,1734,2278,2351,4625,774,565,1345,3907,3796,7702,950,888,1843,2960,2993,5954,900,682,1583,4810,4572,9378,811,820,1634,3025,2813,5840,879,553,1429,4716,4185,8902,718,703,1420,2531,1973,4506,719,420,1140,3966,3099,7066,610,611,1220,2298,1789,4088,697,396,1095,3602,2797,6404,562,594,1155,2138,1596,3734,634,391,1021,3337,2578,5914,415,492,904,1953,1329,3281,587,323,907,2952,2140,5096,353,380,732,1461,1085,2544,426,238,659,2234,1693,3936,472,625,1095,1642,1159,2803,397,297,700,2521,2076,4597,11229,11205,22433,28758,25059,53818,8139,5742,13883,48124,41999,90128
511,603,523,1122,2805,2741,5545,368,362,732,3775,3628,7403,594,553,1148,3048,2846,5896,465,445,916,4109,3847,7960,636,599,1234,2911,2778,5689,451,404,859,3998,3782,7781,549,536,1082,2546,2261,4808,343,318,665,3438,3120,6553,445,448,894,2553,2337,4894,513,373,884,3514,3161,6674,433,405,838,3090,2886,5977,675,418,1087,4197,3710,7904,357,332,691,3114,3229,6341,608,406,1015,4081,3969,8049,319,340,656,3243,3131,6371,609,478,1090,4169,3950,8117,304,313,615,2949,2946,5899,557,397,954,3810,3659,7464,317,316,633,3221,3105,6317,568,351,918,4106,3764,7875,291,347,640,3478,3253,6740,621,390,1013,4396,3992,8387,266,285,549,3474,3206,6676,542,367,909,4283,3856,8135,217,260,473,3441,3026,6472,509,335,842,4174,3624,7791,365,470,833,8164,7775,15944,1012,870,1880,9541,9118,18656,5692,5735,11421,48036,45527,93565,7853,5915,13770,61579,57177,118758
