SA4_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
501,3233,1864,2105,2372,2608,2308,1832,1029,454,17794,35689,18914,19963,24032,25548,25879,23091,11650,3986,188747
502,1684,1107,1054,1211,1343,1194,1024,779,480,9868,18829,11296,10886,11904,13147,14327,14903,9248,3095,107641
503,1446,1712,2709,1863,1670,1454,1182,711,460,13209,27405,23439,31226,26204,23348,20445,16415,9364,4406,182267
504,3826,2732,3848,3642,3260,2515,1524,878,489,22716,53519,32391,41245,40744,36289,32139,23530,12238,4488,276573
505,7256,4840,5995,5984,5660,4390,2950,1762,913,39755,111561,68940,79404,84122,77506,65784,51388,27668,10928,577297
506,7250,5161,6922,6337,5339,4202,2684,1815,1279,40993,103171,66450,80825,80385,65525,56276,44457,23222,9154,529466
507,6085,4379,5357,5223,4795,3670,2461,1603,1062,34634,86762,53437,60317,63557,58745,51211,39261,21356,8752,443407
509,2747,1612,1923,2020,2305,2422,1931,1086,392,16444,23900,13030,13823,15284,18137,21212,18757,9724,3308,137175
510,3659,2013,3573,3227,2584,1880,652,179,57,17824,21036,10097,17080,15963,12321,9031,3443,949,204,90128
511,3424,2226,2772,2648,2585,2259,1444,757,247,18370,23139,13225,15956,15584,16262,15931,11367,5542,1749,118758
597,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
599,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
