SA4_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
501,65,305,198,124,138,147,31,80,256,1345,2534,9580,7838,4975,6854,5233,1527,3098,645,42292,251,616,489,367,539,943,304,1483,102,5092,917,201,217,88,380,1055,635,3368,119,6986,365,517,458,360,1454,2030,841,1202,58,7278,68,82,76,58,368,395,159,269,18,1485,397,640,572,481,1098,2146,770,2697,128,8926,59,161,119,79,234,327,135,299,17,1421,403,2210,1482,868,1346,970,366,572,73,8294,336,2466,1163,614,799,719,203,579,97,6985,175,344,355,179,324,484,206,839,34,2956,16,90,37,33,98,73,35,43,0,415,45,112,130,90,194,222,56,128,7,993,47,148,115,78,245,203,66,194,3,1104,128,476,376,299,458,606,164,463,19,2991,141,744,494,253,378,338,112,257,39,2756,286,349,390,273,1088,986,241,335,17,3965,402,1250,1250,849,1094,1066,445,778,46,7181,782,1862,2186,1681,2055,1332,331,649,91,10967,48,315,135,89,152,113,38,75,11,988
502,36,155,105,50,88,80,17,39,144,713,1191,4862,3871,2269,3696,2441,684,1642,347,21005,29,69,71,46,48,105,18,109,13,503,606,120,149,50,404,394,352,2655,119,4848,206,211,209,128,983,690,386,592,28,3439,28,30,18,19,108,142,79,174,5,607,193,315,277,281,555,1014,380,1265,62,4345,22,70,46,31,113,156,63,148,4,648,209,1382,863,420,780,441,127,234,58,4515,115,1252,564,231,299,230,71,272,35,3069,113,151,178,105,198,275,118,308,27,1475,6,38,22,6,46,31,6,25,4,181,38,62,50,40,116,114,24,45,3,495,14,102,77,51,143,107,45,105,9,660,62,219,173,119,290,355,73,250,12,1552,71,411,224,108,186,159,52,211,15,1435,143,182,173,122,610,486,120,187,16,2050,164,624,562,388,655,626,221,344,20,3606,351,975,1186,826,1155,582,142,329,56,5603,19,218,102,46,89,52,16,46,9,602
503,41,317,224,127,205,266,51,109,252,1582,2093,9874,7881,4475,8076,8203,2396,4673,548,48215,30,103,59,51,62,93,23,115,8,544,377,256,285,223,706,1995,876,2605,39,7368,85,375,294,148,444,643,227,508,15,2744,33,38,60,55,306,261,88,149,4,999,132,388,381,256,560,1512,475,1371,39,5112,46,168,166,96,295,463,159,327,12,1725,218,2214,1202,536,932,787,254,592,48,6779,207,2514,1423,646,905,800,290,696,77,7550,134,302,283,142,354,564,152,349,22,2307,33,150,120,90,225,271,89,181,7,1174,113,276,306,222,718,1035,298,687,16,3670,48,312,231,120,263,488,161,468,12,2095,425,1380,1264,870,2295,4212,1218,2966,62,14697,75,566,555,206,452,486,138,305,29,2815,295,357,405,293,1580,1371,412,668,25,5399,331,2210,1225,756,1358,1492,641,1172,33,9215,712,2506,2540,1820,2899,3027,845,1936,82,16369,85,734,328,175,296,339,85,229,9,2299
504,103,443,352,187,434,382,60,132,420,2508,3264,12672,11345,6893,14088,10101,2689,4763,945,66763,26,187,154,101,147,236,66,162,23,1109,901,303,282,170,739,1506,890,4369,169,9329,194,620,544,358,2054,2077,720,1383,48,7995,65,62,82,66,427,355,137,262,15,1469,353,830,781,688,1873,3540,1092,2870,148,12173,109,255,297,219,982,1174,401,817,27,4272,466,3520,2358,1112,2467,1707,505,875,119,13132,273,3038,1571,699,1023,838,325,775,90,8618,342,639,715,473,1414,1937,696,1578,103,7900,40,145,120,73,308,305,71,123,9,1196,120,172,275,190,828,828,189,326,9,2931,58,189,202,102,416,399,155,347,14,1895,267,769,760,610,1909,2460,725,1201,42,8746,178,912,730,321,769,702,188,434,63,4299,535,574,724,520,2952,2369,650,795,55,9177,443,1974,1653,1155,2158,1762,721,1177,69,11107,1008,2582,3280,2458,4645,2430,600,1179,156,18343,98,679,344,223,448,345,93,176,19,2433
505,177,977,755,406,770,676,115,250,853,4977,6974,29377,25794,15545,28364,21208,5607,9320,1883,144065,65,253,238,182,338,443,135,336,39,2031,1601,484,606,399,1444,3248,1779,8063,244,17870,326,1082,954,643,3218,3271,1176,1963,90,12725,129,118,185,168,974,908,285,520,24,3308,953,2006,2153,1792,4522,9446,2832,7249,400,31355,218,489,494,376,1555,1987,537,1155,40,6855,870,8210,5011,2247,4459,3301,1117,1839,211,27273,525,6816,3260,1362,2065,1744,543,1573,205,18103,526,1048,1145,754,1733,2630,892,1772,140,10639,94,361,256,192,667,698,174,326,23,2789,343,578,807,613,2222,2376,583,1084,36,8646,99,442,487,313,839,956,335,733,37,4254,735,2152,2139,1508,4553,6814,1794,3347,98,23149,358,2166,1630,826,1648,1651,436,928,84,9722,1058,1211,1329,1051,5243,4553,1262,1560,97,17363,1148,4665,4108,2624,5021,4720,1670,2952,149,27053,2243,6567,7833,5777,9812,5665,1420,2423,319,42059,203,1636,706,425,800,739,215,378,46,5147
506,158,837,666,373,754,714,120,212,861,4710,5694,23913,20953,12806,25564,18675,4808,7998,1785,122205,59,290,242,165,292,359,117,352,22,1891,1277,476,528,315,1528,3013,1637,7155,226,16161,360,1052,1008,696,3706,4012,1494,2460,90,14884,107,115,134,122,848,772,250,436,19,2797,626,1439,1472,1118,3180,6402,1992,4925,264,21420,208,559,520,387,1993,2176,684,1381,44,7955,851,6214,4245,1982,4290,3114,939,1422,221,23280,496,6340,3382,1344,2190,1713,589,1370,227,17654,631,1382,1717,1035,2841,3863,1431,3055,238,16199,65,300,229,129,536,559,108,173,17,2115,240,372,549,377,1466,1557,347,600,39,5557,96,384,379,219,787,827,254,645,23,3613,549,1745,1627,1148,4224,5691,1336,2470,93,18887,308,1884,1639,698,1581,1338,326,787,95,8658,817,1056,1172,860,4757,3606,993,1223,109,14602,810,3925,3082,2236,4430,3412,1177,2108,126,21304,1796,5264,6297,4851,8631,5257,1174,2090,297,35660,197,1316,674,421,835,630,168,297,25,4560
507,141,709,539,318,589,595,97,198,557,3749,5402,22217,18592,11444,20235,15871,4211,7520,1305,106804,63,205,156,160,228,282,91,233,16,1438,1377,414,477,272,1184,2477,1402,6761,196,14556,438,891,807,599,3153,3990,1550,2601,95,14117,100,107,107,129,724,660,225,485,22,2561,608,1142,1152,1030,2681,5437,1837,5427,205,19522,170,385,389,258,1244,1548,527,945,37,5494,764,5743,3488,1636,3144,2346,728,1239,168,19255,436,5484,2303,1048,1360,1169,381,1003,150,13338,562,797,814,535,1477,2243,836,1910,106,9289,54,256,168,90,355,379,85,171,9,1557,228,298,471,311,1100,1284,300,597,17,4611,98,398,285,233,634,742,236,544,20,3183,515,1652,1471,1057,2876,4529,1160,2321,58,15637,245,1383,976,511,1104,981,259,675,62,6190,815,1003,1077,781,4066,4126,1094,1738,103,14797,897,3784,3194,2163,3886,3342,1330,2295,126,21023,1825,4968,5843,4193,6863,4412,1015,1921,232,31281,107,1183,501,305,527,496,128,318,30,3600
509,68,220,128,61,89,92,25,73,214,977,1696,6170,4964,3110,4407,3941,1206,2837,514,28844,509,1156,1018,656,737,2146,916,4593,210,11930,419,99,97,35,124,202,201,1688,58,2930,110,300,211,156,579,661,384,558,43,3017,32,51,25,27,179,167,90,112,10,699,233,387,297,295,609,1121,392,1152,79,4569,64,127,118,75,179,590,229,425,19,1832,219,1259,825,443,822,648,225,453,48,4940,133,1151,580,263,348,342,119,411,55,3408,138,336,327,143,208,433,184,711,41,2528,14,36,27,18,42,54,18,41,0,249,34,71,92,64,152,158,38,80,0,695,19,61,67,34,115,91,37,90,4,520,77,312,228,201,275,299,87,239,17,1740,72,416,238,118,176,129,58,126,23,1352,269,358,296,204,1034,1076,247,360,27,3879,279,900,842,595,785,852,359,572,41,5222,452,1141,1214,1041,1394,895,214,471,85,6899,32,135,106,44,81,63,12,52,6,535
510,37,86,63,37,94,78,30,81,166,672,1201,2167,1907,1541,3557,3194,1226,3249,399,18436,32,60,33,52,83,105,53,458,14,887,933,322,247,89,483,1046,1092,5094,181,9488,44,51,35,21,90,176,96,345,8,867,28,22,27,23,97,126,66,235,6,634,144,145,130,106,246,541,300,1665,57,3344,31,36,31,19,91,98,75,285,6,665,105,559,320,193,404,387,163,315,28,2467,86,380,217,193,417,361,177,612,50,2492,124,148,122,114,323,458,183,935,39,2449,12,12,27,10,42,52,10,19,0,180,11,18,24,8,42,47,11,20,5,183,21,38,40,18,112,141,56,187,6,627,40,82,77,37,140,177,57,243,14,871,69,209,158,113,238,235,104,411,18,1558,223,152,138,118,649,785,234,451,29,2775,209,399,391,402,812,757,325,565,43,3900,311,381,422,457,1230,906,174,453,45,4392,27,96,72,31,89,73,19,67,7,478
511,37,172,105,61,111,116,32,67,166,861,1379,4429,3771,2530,4537,3887,1228,3124,467,25355,196,448,290,220,251,692,313,1571,103,4073,639,325,243,104,321,754,811,4884,153,8235,61,123,79,62,210,320,263,517,14,1649,24,26,18,16,128,143,65,131,12,556,186,262,236,211,457,973,358,1391,49,4122,59,77,73,43,171,349,183,380,12,1338,166,1146,751,445,826,609,197,397,51,4601,144,1011,613,349,493,407,170,530,80,3790,181,268,276,166,332,646,267,1055,61,3257,7,46,22,13,33,40,14,28,5,205,28,50,48,34,99,108,26,54,3,441,25,64,67,38,129,108,44,201,7,678,60,189,155,116,339,372,114,374,22,1753,74,292,220,146,203,199,55,223,20,1442,228,235,187,155,886,940,240,433,37,3342,230,627,626,508,914,889,309,588,42,4729,366,679,869,725,1399,1007,245,484,60,5841,35,134,92,41,43,58,23,42,7,477
