SA4_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
501,48829,49785,98613,8691,9301,17987,455,498,950,448,462,908,475,525,1002,183,164,351,18468,20613,39086,131,155,288,262,256,517,26,29,52,7,3,14,20459,22704,43160,2101,2305,4404,611,563,1173,31856,34874,66730,7328,5845,13168,88013,90505,178514
502,26103,27682,53784,3624,4073,7698,450,440,892,331,406,736,439,517,952,117,142,257,12438,14170,26609,107,128,236,124,137,262,27,40,68,0,12,18,14044,15983,30032,1110,1330,2443,443,500,943,19230,21887,41115,3786,3286,7071,49114,52861,101970
503,38919,40985,79904,5395,5450,10842,1244,1230,2471,1091,1228,2317,832,767,1599,251,303,553,22758,23274,46033,94,116,208,197,171,375,150,131,289,10,6,9,26629,27227,53853,9023,9767,18787,618,523,1139,41652,42966,84620,5218,4365,9576,85786,88313,174104
504,73484,74788,148279,5945,6426,12374,726,805,1529,684,703,1387,646,679,1328,248,230,472,32117,33743,65853,94,113,210,231,205,434,79,73,151,13,12,24,34845,36556,71399,4242,4960,9198,1011,819,1835,46037,48766,94801,9161,6179,15340,128685,129738,258424
505,154001,160642,314642,13216,14071,27288,1753,1952,3702,1574,1830,3409,1433,1516,2947,376,397,770,63657,68377,132034,211,227,437,407,430,838,180,190,369,29,33,61,69608,74960,144566,12480,14036,26514,1930,1710,3632,97229,104764,201997,13488,11375,24861,264719,276777,541499
506,134555,137224,271779,13023,13367,26385,1552,1520,3070,1386,1353,2740,1285,1269,2551,596,636,1234,60438,61627,122061,212,256,464,455,445,900,163,185,343,49,59,109,66139,67342,133483,15288,16424,31713,2026,1700,3726,96473,98833,195305,15745,12706,28456,246772,248767,495539
507,112533,117181,229704,11235,12253,23491,1912,1993,3908,1662,1797,3461,1477,1539,3016,510,483,992,50537,55654,106186,250,277,529,462,470,931,209,199,411,15,12,26,57036,62423,119462,7705,8997,16702,1654,1622,3280,77644,85289,162931,13222,9661,22881,203393,212126,415523
509,37491,36217,73704,6019,6281,12306,236,266,506,240,270,512,287,256,544,141,139,282,12123,12873,24992,60,62,124,113,102,214,15,16,34,0,9,9,13216,13995,27216,1219,1297,2514,365,331,700,20824,21906,42725,7661,6002,13665,65978,64117,130098
510,15487,13327,28822,6020,6009,12024,622,559,1181,593,545,1138,1122,935,2061,247,213,461,8870,8318,17191,87,86,168,389,370,758,31,25,53,5,5,14,11965,11066,23031,1426,1675,3099,411,351,765,19819,19097,38916,9078,6165,15247,44387,38593,82979
511,28635,26803,55435,5370,5524,10898,434,406,839,463,456,917,645,566,1207,264,250,518,10708,10766,21475,113,106,221,177,165,344,27,22,48,13,10,20,12840,12752,25590,1596,1647,3244,507,391,900,20312,20310,40630,8857,6434,15292,57807,53550,111355
