SA4_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
501,417,84,1244,577,360,349,305,468,42,3832,6,6,6,18,0,20,13,22,0,95,107,145,139,102,68,39,138,94,27,853,205,124,363,169,131,139,228,273,236,1867,7091,12548,12512,7323,5517,3035,3803,4889,882,57604
502,222,52,617,346,182,243,165,218,16,2053,3,0,7,8,5,10,0,11,0,45,33,63,79,58,32,9,61,29,16,381,78,51,157,104,67,63,132,118,128,897,2963,5502,6252,4224,2666,1574,2160,1931,447,27731
503,352,83,958,452,221,156,66,186,30,2507,4,3,7,15,7,6,6,22,7,79,190,337,78,131,130,51,36,61,39,1062,158,244,135,116,115,62,52,97,203,1181,14079,38721,5790,6416,7563,3355,1357,2846,1037,81173
504,603,175,1817,1026,747,536,491,518,55,5953,5,7,20,15,17,16,12,28,0,119,175,255,254,247,178,101,169,123,38,1537,239,199,448,305,245,158,278,256,475,2605,11382,25075,17096,12649,11324,4964,5387,5226,1484,94587
505,1208,406,3579,2022,1557,1083,645,963,112,11574,20,15,27,40,28,42,20,55,6,243,362,526,373,433,388,205,232,233,82,2841,479,481,931,587,551,332,382,559,954,5259,28061,64276,34368,25714,24608,10805,8427,10969,3088,210324
506,962,298,3548,1721,1229,826,918,1106,101,10712,15,15,28,34,20,23,38,50,7,239,281,460,402,391,309,152,380,247,84,2707,409,400,830,485,483,280,530,544,940,4898,20821,53764,30632,23143,21290,9254,10938,11250,2953,184038
507,912,259,2648,1493,946,746,526,664,89,8283,12,21,18,31,15,21,24,36,4,172,302,430,412,328,253,123,230,182,74,2340,325,349,745,459,343,253,376,426,638,3902,20377,48266,26988,19088,17294,7481,7002,7904,2279,156679
509,272,44,582,309,231,184,166,251,26,2077,0,5,11,13,3,9,5,18,0,51,80,53,78,80,37,16,57,54,6,471,264,70,215,154,90,95,158,265,159,1482,6787,7392,6420,4571,3580,1705,2340,3327,529,36655
510,185,53,397,216,205,96,183,171,26,1526,5,5,3,4,3,3,3,8,3,30,58,66,123,53,53,15,92,48,21,533,89,116,243,135,94,67,157,171,201,1272,3350,6076,7248,2923,2775,908,2489,1952,612,28326
511,231,47,611,334,246,168,233,250,23,2148,0,3,0,8,7,7,7,12,0,46,62,46,85,73,33,11,60,51,15,439,129,87,250,132,94,64,200,194,178,1323,4423,7168,7443,3915,3363,1473,2909,2514,586,33793
597,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
599,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
