SA4_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
501,..,18165,18165,24804,1487,26287,9490,265,9752,9760,88,9847,4155,17,4172,1713,29,1742,49914,20046,69965
502,..,11472,11472,15313,802,16118,5536,114,5655,5209,25,5231,2202,11,2217,1042,0,1047,29308,12429,41734
503,..,23592,23592,22412,2739,25151,8867,953,9817,9475,344,9822,3486,65,3554,798,24,822,45033,27722,72762
504,..,24102,24102,30360,2462,32816,16706,539,17246,16169,146,16313,6345,61,6409,3363,29,3391,72943,27331,100273
505,..,49311,49311,64298,4577,68875,34680,1199,35877,37304,363,37660,13783,96,13877,5726,51,5781,155787,55604,211386
506,..,46211,46211,55001,5155,60154,30192,1687,31881,31183,642,31827,12820,253,13074,6776,126,6904,135972,54080,190049
507,..,39468,39468,49663,3629,53286,26228,937,27162,27222,294,27518,10510,89,10603,4340,31,4378,117964,44447,162413
509,..,14949,14949,18619,997,19610,6090,145,6238,5724,42,5764,2849,10,2858,1444,10,1451,34723,16139,50866
510,..,6039,6039,6421,623,7039,3630,159,3795,4021,43,4066,2055,15,2068,1416,17,1431,17542,6891,24437
511,..,11867,11867,13326,981,14312,5475,172,5646,5240,34,5278,2423,17,2440,1284,9,1295,27754,13087,40843
597,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
599,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
