SA4_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
501,62464,156029,4809,7561,767,1435,5577,8999,670,1023,104,160,30,50,32,56,51,108,891,1400,398,619,324,521,54,94,57,126,831,1359,200,378,69965,168161,14706,..,84666,168161
502,35441,87222,3736,5693,1085,1836,4824,7532,431,616,189,361,197,365,155,297,39,72,1017,1710,230,319,156,218,16,52,8,13,415,597,45,79,41734,97135,8308,..,50047,97135
503,34991,97048,4461,8761,6767,13877,11231,22643,4566,7589,7067,11322,8624,14078,6071,10564,37,74,26364,43631,4,3,0,0,0,0,79,144,77,154,95,158,72762,163627,10455,..,83216,163627
504,84526,228943,8471,15642,3066,5746,11539,21392,1897,2947,949,1464,548,797,325,512,109,201,3826,5925,74,113,146,193,7,23,41,80,269,403,117,266,100273,256931,8344,..,108617,256931
505,165877,457603,29523,55744,7752,16257,37275,72003,4725,7320,1384,2170,1284,2107,159,291,194,405,7746,12289,243,343,35,47,37,60,39,101,360,557,128,250,211386,542697,15129,..,226515,542697
506,151648,420587,18880,37246,7577,15382,26458,52634,3975,7230,2426,3896,2326,3758,2009,3449,213,457,10952,18778,255,351,323,465,18,54,155,369,753,1236,239,468,190049,493700,16229,..,206285,493700
507,132967,359930,14277,25527,4727,9413,19004,34936,3302,4782,2344,3590,3143,5092,584,919,213,447,9581,14832,155,224,414,596,9,22,98,167,666,1009,195,374,162413,411082,14233,..,176647,411082
509,47530,112136,2147,3389,144,242,2297,3627,154,227,5,12,0,0,3,5,34,58,192,304,263,388,211,313,59,109,66,120,602,931,248,467,50866,117469,14084,..,64944,117469
510,19013,58033,2374,4984,689,1446,3064,6424,677,1199,173,270,114,195,137,198,9,12,1107,1878,655,1269,52,96,66,156,109,300,883,1816,374,728,24437,68880,7194,..,31633,68880
511,34576,87389,3509,6007,685,1368,4191,7371,647,940,15,17,0,3,0,0,19,32,681,996,654,1207,203,320,59,120,89,197,1009,1839,382,800,40843,98400,9425,..,50263,98400
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,3,15,0,..,3,15
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
