SA4_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
501,1728,588,3986,28939,42205,20508,16681,33098,11626,153058
502,1394,503,3095,15535,22564,11003,9693,23669,6346,88811
503,2012,532,4406,38668,46489,17233,10460,32710,9305,154860
504,2146,607,4488,45987,60368,24639,19198,58180,14677,223065
505,5413,1176,10928,102618,129912,53395,37688,118505,23606,465735
506,4274,1491,9154,87807,111644,45895,36428,117243,27286,426298
507,3998,1277,8752,75875,99637,41500,31312,86640,21681,356647
509,1396,506,3308,20718,29386,14552,12605,24182,11830,113275
510,97,49,204,13220,16459,5945,4589,15590,13287,69087
511,771,295,1749,17079,23879,10362,8459,22529,13313,95614
597,0,0,0,33,21,10,15,214,222,516
599,10,23,30,870,963,339,278,1476,3362,7285
