SA4_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
501,..,90,2269,5397,6157,6589,6552,3472,742,31262,..,712,2355,1708,1430,1226,684,186,26,8317,..,18,98,400,543,244,134,75,48,1558,17129,..,..,..,..,..,..,..,..,17129,..,3101,..,..,..,..,..,..,..,3101,..,3342,1135,498,337,164,33,0,0,5505,..,375,264,127,106,170,149,60,30,1281,..,255,309,144,106,77,42,16,0,947,..,368,652,280,292,334,222,71,19,2245,..,334,883,1015,1378,1692,1760,898,365,8324,290,323,303,264,236,275,256,94,30,2083,17418,8919,8264,9825,10595,10770,9830,4867,1263,81760,..,167,3417,6685,6912,7002,6065,2522,344,33112,..,1092,2737,1842,1613,1195,488,135,4,9111,..,176,959,1813,1674,679,327,246,154,6035,16032,..,..,..,..,..,..,..,..,16032,..,3321,..,..,..,..,..,..,..,3321,..,2127,616,225,167,133,38,4,0,3306,..,285,139,56,102,271,285,203,112,1453,..,276,221,91,54,42,25,12,0,732
502,..,46,1163,2384,3010,3577,4148,2860,647,17832,..,426,1213,863,711,610,414,165,30,4433,..,15,78,224,285,204,92,50,35,984,8889,..,..,..,..,..,..,..,..,8889,..,1900,..,..,..,..,..,..,..,1900,..,1944,802,394,243,101,24,0,0,3502,..,272,154,88,77,86,85,40,29,829,..,134,146,65,61,44,17,3,3,481,..,155,268,118,151,156,151,59,15,1072,..,149,491,498,700,960,1195,760,330,5088,130,165,142,111,121,119,118,73,13,993,9020,5206,4456,4751,5360,5852,6249,4016,1094,46003,..,102,1841,3143,3499,3996,4142,2182,318,19220,..,660,1516,976,766,613,350,118,19,5018,..,151,795,1059,1056,508,240,160,106,4084,8778,..,..,..,..,..,..,..,..,8778,..,2155,..,..,..,..,..,..,..,2155,..,1309,436,139,99,88,27,0,0,2113,..,234,87,52,88,193,206,140,87,1091,..,155,92,46,33,27,16,7,0,369
503,..,60,2744,6609,6782,5685,4660,2626,772,29946,..,557,3517,1800,1092,921,483,171,33,8583,..,5,33,158,356,286,110,48,28,1031,13316,..,..,..,..,..,..,..,..,13316,..,4850,..,..,..,..,..,..,..,4850,..,1537,1127,290,223,106,29,0,0,3307,..,362,370,101,52,84,80,40,35,1129,..,172,370,83,30,23,17,5,0,703,..,1322,2488,519,220,210,145,66,18,4990,..,601,2357,2066,1546,1651,1507,803,353,10874,150,222,314,182,152,102,87,48,12,1257,13466,9691,13329,11821,10457,9067,7112,3801,1254,79990,..,132,3890,7389,7051,5563,4212,1959,367,30561,..,861,3797,1527,1045,732,329,76,9,8379,..,24,213,868,1388,757,268,179,172,3881,12594,..,..,..,..,..,..,..,..,12594,..,4743,..,..,..,..,..,..,..,4743,..,1139,810,183,125,127,24,0,0,2401,..,450,319,73,66,168,214,154,118,1566,..,199,298,75,20,21,8,0,0,622
504,..,148,5283,10431,9520,8940,7009,3667,814,45810,..,913,4311,2762,1907,1313,594,172,21,12003,..,25,164,491,761,462,232,111,72,2324,26390,..,..,..,..,..,..,..,..,26390,..,6391,..,..,..,..,..,..,..,6391,..,5507,3066,1020,601,259,50,0,0,10508,..,832,820,323,271,338,229,161,68,3047,..,415,594,250,179,109,75,26,3,1644,..,731,1429,638,486,460,293,95,28,4151,..,396,1804,1843,1896,2195,1846,998,363,11338,324,377,370,307,204,172,137,43,16,1953,26715,15731,17848,18057,15821,14262,10466,5274,1383,125552,..,336,7920,11580,10018,8821,6206,2615,391,47889,..,1492,4932,2812,1950,1177,449,132,14,12956,..,232,1484,2433,2740,1528,681,430,280,9815,24473,..,..,..,..,..,..,..,..,24473,..,6412,..,..,..,..,..,..,..,6412,..,3752,1820,486,300,214,56,3,0,6640,..,712,477,161,270,580,720,460,267,3653,..,380,361,118,98,71,37,12,3,1086
505,..,246,9744,22870,22877,19920,16461,8538,2070,102720,..,1519,8762,5484,3468,2219,979,288,59,22781,..,32,266,967,1647,1040,459,195,106,4713,54886,..,..,..,..,..,..,..,..,54886,..,15270,..,..,..,..,..,..,..,15270,..,11217,6437,2079,1206,520,81,0,0,21542,..,1504,1372,525,472,487,412,230,126,5118,..,723,1104,431,273,192,80,34,3,2841,..,1578,3180,1120,751,617,438,169,39,7893,..,811,3254,3528,3708,3820,3321,1929,866,21239,566,665,758,539,403,293,241,115,35,3618,55455,33567,34873,37527,34807,29103,22478,11508,3308,262622,..,644,14631,25970,23988,19765,14832,6295,986,107109,..,2546,10229,5459,3435,1955,772,193,28,24623,..,372,2512,4885,5695,3178,1386,856,522,19408,51978,..,..,..,..,..,..,..,..,51978,..,15834,..,..,..,..,..,..,..,15834,..,7937,3899,895,593,383,84,4,0,13798,..,1273,861,333,397,1001,1229,788,487,6368,..,677,694,206,134,126,43,17,11,1901
506,..,353,10635,22696,18650,15855,13619,6882,1617,90307,..,1798,7292,4217,2991,1977,980,262,44,19561,..,53,316,850,1241,882,404,195,115,4064,50395,..,..,..,..,..,..,..,..,50395,..,12737,..,..,..,..,..,..,..,12737,..,9115,5815,1886,1118,460,68,0,0,18452,..,2034,1801,650,482,566,496,245,122,6407,..,1098,1667,667,406,209,110,46,6,4207,..,3002,4422,1448,1032,882,512,179,27,11504,..,1030,3593,3570,3456,3924,3332,1916,781,21598,553,668,714,531,372,294,226,123,37,3514,50951,31891,36243,36510,29742,25053,19740,9842,2752,242728,..,854,16001,24733,18868,15756,12123,4846,761,93934,..,2815,8118,4273,2953,1802,734,171,15,20883,..,469,2502,4350,4363,2575,1227,753,473,16720,47612,..,..,..,..,..,..,..,..,47612,..,13027,..,..,..,..,..,..,..,13027,..,6351,3482,849,527,367,84,3,0,11665,..,1812,1220,385,510,1159,1359,777,396,7615,..,914,999,273,163,126,50,16,6,2540
507,..,173,6917,16308,16295,14561,11853,6499,1601,74211,..,1536,6931,4171,2888,1990,970,287,46,18812,..,51,288,831,1206,758,347,175,115,3760,42378,..,..,..,..,..,..,..,..,42378,..,10689,..,..,..,..,..,..,..,10689,..,8316,4437,1455,935,415,89,0,0,15654,..,1129,972,377,312,389,306,186,87,3760,..,565,770,362,229,157,78,25,4,2180,..,1285,2193,792,615,559,415,146,25,6024,..,723,2690,2708,2944,3256,2757,1670,807,17555,482,598,572,430,318,285,211,108,36,3041,42855,25052,25765,27435,25732,22372,17018,9095,2733,198058,..,373,10451,18969,17386,14635,11063,4690,754,78325,..,2470,7975,4338,3001,1847,739,174,28,20566,..,360,2250,4047,4326,2312,935,633,453,15326,40168,..,..,..,..,..,..,..,..,40168,..,11164,..,..,..,..,..,..,..,11164,..,5866,2708,664,442,316,92,0,0,10087,..,1069,599,207,317,747,859,539,361,4702,..,613,526,169,104,90,40,6,3,1550
509,..,77,1639,3311,4105,5144,5116,2778,654,22826,..,549,1467,1042,1030,936,564,144,17,5749,..,17,73,208,328,240,107,62,44,1084,10886,..,..,..,..,..,..,..,..,10886,..,1676,..,..,..,..,..,..,..,1676,..,2144,924,442,295,148,24,0,0,3971,..,287,176,78,88,140,168,74,44,1061,..,132,166,90,84,69,43,9,0,593,..,231,322,171,173,247,185,78,4,1412,..,389,665,613,1140,1793,1793,922,344,7653,209,261,213,199,252,269,296,118,33,1854,11092,5757,5646,6159,7498,8988,8290,4192,1137,58765,..,164,2293,4017,4644,5487,4731,2007,300,23646,..,775,1649,1154,1078,929,377,100,11,6076,..,110,591,979,969,436,237,188,120,3626,10364,..,..,..,..,..,..,..,..,10364,..,1810,..,..,..,..,..,..,..,1810,..,1241,445,148,137,87,27,0,0,2091,..,224,77,44,93,189,222,150,103,1105,..,160,100,35,37,36,13,7,4,407
510,..,103,1397,2781,2137,1561,643,154,14,8788,..,458,1867,1328,843,537,152,33,0,5211,..,18,83,202,208,119,58,16,12,716,9012,..,..,..,..,..,..,..,..,9012,..,897,..,..,..,..,..,..,..,897,..,1261,448,183,59,16,0,0,0,1976,..,492,262,180,149,124,65,35,11,1328,..,107,150,69,48,36,11,3,0,420,..,137,348,175,149,147,79,8,0,1045,..,216,702,661,737,743,377,115,16,3557,212,165,207,169,156,141,44,10,3,1103,9219,3859,5464,5751,4483,3426,1427,367,56,34061,..,141,1996,3002,2038,1318,425,95,6,9017,..,687,2129,1298,810,412,100,18,7,5451,..,166,589,706,500,245,136,52,15,2403,8480,..,..,..,..,..,..,..,..,8480,..,885,..,..,..,..,..,..,..,885,..,896,213,98,48,20,3,0,0,1275,..,389,176,107,145,217,147,53,24,1248,..,104,134,37,37,25,5,0,0,343
511,..,73,1535,2989,3322,3532,2795,1415,296,15955,..,614,1816,1131,964,824,356,99,20,5819,..,23,88,230,318,195,100,56,27,1041,10215,..,..,..,..,..,..,..,..,10215,..,1473,..,..,..,..,..,..,..,1473,..,1948,661,302,266,89,15,0,0,3278,..,399,224,138,115,152,117,55,30,1230,..,172,166,76,66,51,36,15,0,580,..,308,442,198,177,182,115,46,9,1477,..,342,792,777,1132,1505,1245,581,182,6563,205,231,221,173,196,200,202,74,11,1518,10418,5583,5945,6020,6559,6734,4980,2334,573,49150,..,143,2252,3525,3592,3536,2487,1026,142,16695,..,1004,1979,1187,1057,707,274,65,10,6287,..,165,677,963,802,430,218,159,75,3479,9681,..,..,..,..,..,..,..,..,9681,..,1478,..,..,..,..,..,..,..,1478,..,1213,347,131,108,69,9,0,0,1874,..,327,115,71,137,192,191,134,50,1228,..,161,105,37,17,19,16,14,0,374
