SA4_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
501,136,607,394,264,559,579,237,458,35,3275,181,496,295,204,410,524,174,506,606,3404,5178,13686,10737,7223,13269,15119,5508,15203,1530,87452
502,57,325,253,128,283,321,98,220,18,1706,94,252,180,105,235,286,81,277,345,1859,2561,7007,5388,3252,7297,6562,2474,7793,852,43190
503,80,550,386,206,497,428,142,311,35,2627,109,583,390,232,516,822,237,529,538,3956,3557,15968,11908,7144,15670,21100,6815,16172,1119,99451
504,178,947,793,455,1246,1233,414,794,72,6143,214,778,602,385,1316,1446,325,850,1052,6970,5878,19181,16264,10376,28122,27653,8975,20492,2288,139231
505,381,2145,1717,1035,2389,2388,765,1387,115,12321,394,1639,1216,787,2325,2761,656,1543,2005,13314,12275,44081,36275,23077,55832,60295,18614,41130,4391,295961
506,296,1685,1342,868,2150,2089,667,1243,126,10463,349,1509,1216,772,2373,2872,715,1482,2193,13485,10131,37322,31451,19745,52639,53266,16421,35684,4487,261148
507,256,1439,1143,681,1491,1531,501,989,98,8124,368,1209,852,552,1694,2235,572,1435,1399,10331,9931,32747,25659,16546,39791,44203,14262,33599,3157,219901
509,107,328,243,161,375,509,161,346,29,2249,166,372,224,132,248,334,122,344,477,2419,3392,8997,7085,4708,8460,10770,4110,12820,1272,61621
510,47,180,114,78,217,234,114,386,20,1386,97,151,87,60,211,263,110,448,410,1833,2592,3448,2694,2144,6012,6979,3406,13201,986,41467
511,94,243,198,131,338,466,156,545,24,2197,112,255,179,110,254,342,113,421,433,2220,2917,6496,5229,3638,7812,9415,3975,14265,1193,54931
597,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,29,0,35,13,14,5,3,5,5,11,220,5,277
599,6,12,6,4,9,4,0,10,0,52,9,13,0,3,5,20,0,24,12,78,181,208,163,110,217,250,70,370,33,1614
