SA4_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
501,15357,3318,976,165,57,9,145,20035
502,7500,2311,600,89,27,3,119,10656
503,17169,1741,290,57,9,4,26,19293
504,27581,4694,1318,370,70,25,185,34242
505,62564,9312,2519,519,94,24,269,75306
506,54541,7789,2192,648,135,41,332,65678
507,44616,7945,2169,430,85,27,268,55548
509,10169,1790,597,126,36,13,147,12872
510,6808,1136,460,188,48,17,122,8781
511,8622,1740,571,155,29,15,124,11267
597,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0
