SA4_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
501,0,0,0,8,6,4,0,0,0,27,0,16,18,123,58,38,62,23,13,352,0,0,4,82,17,33,128,119,81,472,0,11,7,17,7,0,3,0,0,47,0,8,15,75,10,0,0,0,0,101,0,0,0,3,3,7,7,0,0,25,0,8,9,62,24,21,15,9,0,148,0,0,0,0,0,9,8,0,0,22,0,0,0,13,8,11,5,3,3,42,0,3,3,11,3,11,9,0,0,43,0,3,4,35,0,0,0,0,0,42,0,3,7,39,33,53,133,64,13,355,13,122,168,691,496,550,405,111,14,2578,0,0,0,0,0,4,0,4,3,18,0,24,7,41,8,6,4,3,0,82,0,0,0,27,20,10,4,0,0,61,9,109,126,321,139,33,14,0,0,748,0,0,0,15,10,14,19,11,7,71,0,0,0,5,0,0,0,0,0,6,0,3,19,81,84,142,144,75,17,571
502,0,0,3,0,0,4,0,0,0,8,0,20,30,90,18,24,45,25,8,260,0,0,3,13,9,14,65,44,10,154,0,3,0,0,0,0,3,0,0,14,0,3,3,21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,9,10,22,24,19,15,3,4,102,0,0,0,0,0,5,8,4,0,18,0,0,4,13,7,4,5,5,0,42,0,0,0,0,3,12,7,3,3,24,0,0,4,21,0,0,0,0,0,26,0,3,4,12,11,18,95,74,21,245,7,113,160,486,321,351,309,104,16,1869,0,0,0,0,0,0,0,5,0,3,0,4,0,12,0,0,0,0,4,30,0,0,10,3,14,5,0,0,0,34,6,72,104,149,73,28,3,0,0,436,0,0,0,3,7,3,14,8,0,40,0,0,0,4,6,0,0,4,0,9,4,29,39,70,84,128,129,100,27,618
503,0,0,5,23,12,15,0,0,0,59,3,30,32,561,94,122,88,36,20,987,0,19,38,277,68,76,171,161,112,911,29,65,38,199,64,22,11,6,4,436,0,26,32,235,29,7,4,5,0,343,0,0,0,15,10,9,5,0,0,43,5,51,144,508,188,140,186,95,37,1356,0,0,0,3,4,5,11,9,0,21,0,4,21,72,16,12,15,4,6,153,0,0,0,27,18,41,24,10,5,128,0,10,49,225,6,0,0,0,0,285,5,20,38,60,60,43,60,28,16,333,9,42,102,559,313,346,200,75,14,1661,0,0,0,15,5,15,20,16,6,81,6,17,33,129,14,4,0,0,5,214,0,0,3,6,24,17,5,0,0,52,4,20,58,214,55,15,7,0,4,382,0,7,7,87,28,33,51,11,8,240,0,0,0,0,6,0,0,0,0,3,0,33,64,260,200,195,124,82,20,983
504,7,22,37,183,82,63,15,4,0,413,0,26,24,536,111,87,81,59,18,944,0,14,19,151,75,157,381,301,145,1247,3,9,13,28,22,13,5,0,0,95,0,5,5,121,14,4,4,0,0,155,0,0,3,31,11,9,7,5,0,65,0,48,65,388,174,168,161,91,15,1111,0,0,0,4,4,20,36,30,3,106,0,10,47,205,80,83,55,20,7,502,0,4,35,241,124,124,121,52,11,721,0,9,31,186,20,0,0,0,0,256,0,13,11,48,49,51,116,112,37,426,33,241,402,1525,785,831,478,121,19,4429,0,0,13,55,47,38,38,26,4,219,7,32,88,263,33,20,6,0,0,448,0,3,8,18,35,16,6,0,0,87,4,271,469,828,473,167,55,5,0,2268,0,3,5,78,50,54,94,29,14,333,0,0,0,18,4,6,3,0,0,33,0,16,49,219,184,261,230,115,37,1119
505,3,55,80,277,162,108,31,12,0,726,5,201,240,1903,408,311,287,145,41,3543,0,46,61,470,209,334,737,649,338,2840,5,46,45,75,70,20,18,13,3,295,4,24,37,188,41,28,11,0,5,331,0,9,13,43,30,30,26,9,0,147,12,133,205,774,325,301,352,161,29,2288,0,0,3,8,3,14,42,25,4,105,0,8,47,221,54,120,100,50,18,618,4,34,111,472,248,228,171,84,31,1381,0,11,47,210,19,4,5,0,0,297,3,28,38,102,94,85,226,191,60,826,50,458,656,2956,1487,1252,859,230,32,7979,0,16,22,276,208,238,312,120,50,1243,11,53,181,567,67,35,23,12,3,949,0,0,9,32,57,23,12,0,0,135,7,198,419,719,439,158,57,20,8,2020,0,17,25,198,104,150,243,63,28,832,0,0,0,18,13,8,4,0,0,45,7,185,406,921,738,800,589,340,82,4069
506,0,40,65,204,121,78,33,9,4,547,5,90,55,625,171,141,174,132,41,1434,0,7,28,220,92,169,428,345,185,1469,11,28,31,95,43,9,13,12,0,248,8,67,92,741,194,98,29,11,0,1246,0,16,17,57,75,39,45,21,6,271,24,305,880,2553,865,780,805,326,57,6593,0,0,0,4,5,17,21,23,8,78,3,30,97,436,104,71,60,16,13,830,6,33,121,580,281,290,233,96,45,1685,8,17,205,808,62,14,0,0,0,1119,0,10,17,103,92,98,282,259,67,943,61,529,730,2468,1360,1399,744,214,47,7541,0,0,0,8,6,6,14,3,0,44,46,251,451,1374,198,73,47,13,0,2448,0,23,51,67,70,24,8,0,0,244,26,501,971,1663,907,332,79,20,0,4485,0,12,8,118,49,78,95,32,21,411,0,4,9,37,30,11,16,5,0,112,6,27,82,348,322,442,408,296,81,1999
507,0,10,12,46,28,10,7,3,0,112,3,86,84,615,190,155,132,79,37,1379,0,27,22,273,131,241,480,445,269,1891,4,21,23,53,33,20,19,5,0,172,8,42,62,303,86,57,20,12,0,588,0,0,3,12,23,18,21,8,0,81,5,122,260,885,385,318,411,208,50,2646,0,0,0,9,5,8,29,16,4,64,0,4,31,123,36,45,28,13,3,290,0,3,4,44,40,40,41,28,9,202,0,4,25,127,13,0,0,0,0,177,0,11,24,99,89,79,213,121,56,701,65,566,763,2644,1323,1224,635,209,24,7457,0,0,0,12,6,8,13,9,0,45,3,42,40,200,38,22,13,3,0,367,0,4,11,40,43,20,0,0,0,119,13,443,718,1103,762,208,45,8,0,3309,0,8,7,100,53,54,105,16,13,353,0,4,10,33,10,11,4,5,0,76,3,120,206,541,467,592,487,297,83,2793
509,0,0,0,16,3,0,0,0,0,22,0,4,10,71,13,19,21,18,4,169,4,0,0,24,14,27,69,49,31,217,0,0,0,3,5,4,6,0,0,20,0,0,8,12,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,11,0,0,12,44,18,26,16,6,0,129,0,0,0,0,0,5,6,7,0,25,0,0,0,5,0,10,4,0,0,18,0,3,12,58,29,15,14,5,5,140,0,0,0,15,0,0,0,0,0,20,0,0,7,19,25,38,118,102,17,323,7,40,90,394,363,430,290,95,5,1718,0,0,0,0,0,5,3,0,0,8,0,3,7,20,0,5,0,0,0,32,0,0,0,0,10,11,3,0,0,20,8,95,123,303,131,21,0,3,0,691,0,0,0,3,6,3,7,12,6,40,0,0,0,10,3,0,0,0,0,19,0,3,8,32,36,94,98,75,15,359
510,0,0,0,10,0,0,0,0,0,10,3,0,6,150,22,16,8,4,0,209,0,0,4,45,3,3,7,9,0,70,0,0,0,5,0,0,0,3,0,6,0,0,3,19,4,0,0,0,0,28,0,0,0,3,0,4,0,0,0,11,0,0,6,43,15,8,9,5,0,82,0,0,0,0,0,5,0,0,0,3,0,0,3,23,7,0,0,0,0,39,0,0,0,13,9,3,0,0,0,25,0,0,5,32,0,0,0,0,0,43,0,0,3,18,9,9,14,6,0,62,19,65,114,737,395,406,112,16,0,1862,0,0,0,7,0,6,3,0,0,23,0,0,4,41,6,0,0,0,0,50,0,3,7,18,21,5,3,0,0,61,0,73,106,324,179,73,9,0,0,760,0,0,0,5,0,3,0,0,0,15,0,0,0,4,5,0,0,0,0,12,0,8,9,59,41,55,15,0,3,187
511,0,3,0,4,5,0,0,0,0,8,0,4,8,85,20,12,13,10,0,151,0,0,3,28,8,16,29,34,13,124,0,0,3,3,0,0,0,0,0,10,0,4,6,23,0,0,0,0,0,32,0,0,0,0,6,0,0,0,0,3,0,0,9,49,19,13,9,7,0,107,0,0,0,0,0,0,9,7,0,17,0,0,4,6,5,7,0,0,0,16,0,0,0,8,6,5,3,0,0,16,0,6,0,21,0,0,0,0,0,34,0,3,3,13,10,23,51,24,4,131,10,126,190,701,437,489,276,64,7,2311,0,0,0,3,0,0,4,3,0,15,0,3,5,44,0,9,0,0,0,63,3,8,21,33,23,11,0,0,0,102,5,71,100,279,120,57,11,3,0,647,0,0,0,3,4,8,4,4,8,34,0,0,0,12,5,5,4,0,0,17,0,0,4,46,44,73,47,34,7,261
597,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,5,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13
599,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,7,0,16,0,0,3,11,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,5,0,0,12,5,5,10,50,27,32,16,9,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,4,0,0,16
