SA4_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
501,2473,22327,27744,10474,5842,68856,1107,69965
502,1947,15863,15176,5248,2852,41079,662,41734
503,6868,31627,24248,6307,3010,72055,708,72762
504,4494,32652,39572,13924,8405,99040,1234,100273
505,8484,70356,87186,28003,14957,208988,2397,211386
506,9039,63873,74431,25575,14674,187592,2457,190049
507,7327,55329,65996,20968,10866,160486,1924,162413
509,1847,15139,18559,8264,6045,49862,1006,50866
510,2459,7442,8740,3335,1708,23686,753,24437
511,2173,13253,15127,5799,3562,39914,923,40843
597,0,0,0,0,0,3,0,3
599,0,0,0,0,0,0,0,0
