SA4_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
501,22368,1141,148,440,46,24143,25524,720,86,52,39,26417,6284,1204,308,19,15,7838,1024,892,73,0,3,1999,136,313,92,0,3,542,4505,504,89,31,15,5145,597,88,20,200,20,925,75,26,5,0,0,107,12619,3032,590,256,64,16558,1101,494,46,44,24,1702,861,182,24,51,31,1143,62464,5577,891,831,200,69965
502,12325,1235,297,266,11,14138,14544,539,165,19,5,15271,4483,954,327,12,3,5779,320,405,37,0,5,766,178,165,70,0,9,415,2366,360,75,9,3,2812,190,103,8,51,5,359,46,26,6,0,0,76,7577,2012,522,81,24,10209,517,884,17,9,0,1434,475,151,20,37,6,689,35441,4824,1017,415,45,41734
503,15542,2903,3479,12,15,21950,12866,2870,4572,18,13,20341,3721,3077,12649,30,15,19490,109,547,1014,0,3,1673,25,112,341,0,7,487,1787,1088,2923,13,10,5824,245,116,346,0,4,721,18,25,62,0,0,111,5916,4968,17340,46,46,28312,437,383,692,0,4,1518,239,100,290,0,15,645,34991,11231,26364,77,95,72762
504,24105,2145,403,171,18,26843,43586,3048,747,15,36,47428,8495,3005,1778,3,19,13309,1037,1274,258,0,3,2569,199,246,42,4,0,490,4795,1113,420,14,16,6364,524,144,42,40,8,755,76,46,14,5,0,141,15129,5825,2559,64,51,23627,772,271,61,6,4,1116,942,243,57,15,16,1266,84526,11539,3826,269,117,100273
505,51158,8023,1129,229,21,60560,80998,11113,1413,19,24,93573,18485,8848,3148,9,25,30509,1602,2680,394,0,4,4676,262,515,122,0,0,908,8962,3556,816,24,12,13370,979,407,105,41,11,1536,162,113,19,0,0,297,30449,16122,4612,71,48,51303,1657,1426,421,17,5,3522,1614,594,168,26,26,2428,165877,37275,7746,360,128,211386
506,44072,4865,1457,434,45,50878,71471,5819,2060,43,52,79440,19143,8223,4808,35,49,32260,2357,2064,427,0,5,4851,316,623,236,0,0,1177,9500,2668,1117,32,21,13337,1121,364,150,134,10,1781,202,107,43,6,0,355,32641,14046,6783,204,90,53763,1697,1269,488,27,11,3502,1764,460,165,37,38,2467,151648,26458,10952,753,239,190049
507,40078,5002,1669,447,56,47261,63814,4733,1878,20,47,70500,16457,4181,3602,15,18,24278,1655,1745,673,0,4,4080,231,333,188,0,3,757,7174,1625,856,26,12,9687,892,138,109,117,6,1260,102,50,26,0,0,181,26501,8074,5459,168,45,40244,1173,864,421,18,10,2477,1405,325,152,14,33,1928,132967,19004,9581,666,195,162413
509,20197,358,19,336,85,21009,14997,185,19,43,52,15294,2942,399,44,17,3,3402,1313,504,13,3,11,1845,354,300,34,11,0,707,3641,166,20,23,17,3865,1133,104,12,77,32,1351,74,28,5,0,0,104,9444,1501,134,127,67,11273,2015,142,10,39,27,2244,868,100,3,54,19,1046,47530,2297,192,602,248,50866
510,1727,146,36,394,72,2370,3841,313,41,71,25,4292,2246,795,486,25,22,3574,2861,610,111,3,24,3610,1160,93,24,13,9,1301,839,160,52,41,34,1120,4630,675,257,139,67,5766,61,18,4,0,3,84,11799,2341,939,217,157,15459,1215,162,71,98,64,1602,432,99,19,106,62,715,19013,3064,1107,883,374,24437
511,10841,621,62,535,133,12186,12420,499,32,88,33,13082,3687,1332,228,16,13,5272,1404,615,100,5,13,2133,307,158,102,8,10,581,2889,405,48,51,31,3430,1082,218,27,189,35,1550,62,36,9,6,0,114,9429,2754,510,276,100,13071,1206,166,19,61,78,1533,685,147,51,46,42,969,34576,4191,681,1009,382,40843
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
