SA4_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
501,14141,12592,4610,935,6434,5412,1161,2583,14783,1288,11168,85224,6240,140508,560,472,185,28,254,204,45,122,447,58,356,3364,231,5402,2829,1146,874,234,1145,1106,185,628,1441,294,1499,6743,509,13981,404,145,168,51,189,207,26,99,231,52,273,1890,105,3140,300,68,91,58,209,176,42,53,110,38,167,830,91,1664,26,13,6,0,21,9,5,4,23,0,13,262,20,368,126,122,47,8,181,71,19,14,80,12,169,2820,90,3522,19,27,13,0,16,5,5,0,16,0,37,1014,37,1162,57,26,19,4,89,35,11,9,28,3,71,1190,49,1486,116,90,35,6,63,45,9,26,108,13,120,988,33,1455,282,269,116,28,154,131,19,39,270,32,301,2638,105,3902,4708,2371,1553,429,2322,1999,350,998,2753,511,3022,21743,1265,36073,346,156,120,50,157,153,35,79,192,49,135,1000,10289,12165,19198,15124,6282,1413,8911,7563,1545,3662,17734,1848,14326,107973,17794,188747,6018,7126,1935,34
502,8641,6906,2943,528,4049,3735,817,1936,8321,958,6563,41895,3212,73150,415,329,158,24,209,220,32,84,337,51,313,2386,183,3982,2671,1106,884,181,1199,1271,264,650,1298,276,1449,6511,544,13628,316,106,131,30,161,166,21,83,123,35,181,958,54,1807,156,55,51,17,114,92,21,45,57,24,96,420,41,862,27,10,3,0,18,12,0,4,20,3,13,173,10,246,110,96,49,6,139,55,24,12,80,9,143,1975,95,2603,20,9,5,0,13,15,3,0,15,4,26,375,9,451,59,40,21,9,69,39,6,15,23,11,48,717,21,957,96,60,24,5,40,36,8,16,77,9,78,470,25,786,184,136,79,7,126,109,12,29,173,23,190,1729,61,2512,4053,1948,1405,286,2085,2011,400,939,2197,441,2530,15719,1044,27830,262,112,95,25,147,123,38,61,115,48,104,461,5606,6660,12953,8965,4440,837,6281,5872,1253,2935,10636,1444,9198,58075,9868,107641,2762,3570,972,15
503,6755,8705,3304,811,2516,3453,557,1237,10796,742,8382,70754,3497,107511,265,289,131,16,106,130,22,44,298,22,237,2155,103,3380,1508,1015,706,208,481,752,112,290,1275,171,1274,9256,436,14999,338,274,158,48,121,167,23,71,276,34,333,3790,107,5214,679,198,240,160,399,392,72,101,367,83,469,3077,152,5103,121,77,39,20,83,55,15,14,105,17,132,1554,43,2047,447,496,211,77,448,291,74,69,464,58,708,7353,209,9952,113,134,106,22,160,104,21,17,152,22,298,6593,89,7584,174,169,63,29,250,148,34,43,154,29,257,5992,101,7021,179,272,99,18,86,101,16,36,355,24,305,4133,94,5332,288,316,175,28,110,156,28,44,431,31,361,3484,133,5050,4095,3235,1923,623,2243,2297,415,733,3879,490,4376,47385,1465,65679,121,52,50,32,56,77,14,20,78,12,91,479,8244,9074,10972,11989,5278,1474,4809,5830,987,1989,14756,1244,12853,118622,13209,182267,3746,7368,2042,18
504,11716,16420,4108,827,6430,5157,1178,2557,18754,1189,14124,109328,8419,173150,674,792,258,29,489,365,71,185,711,70,635,5621,415,8967,3310,1749,1171,325,1667,1506,287,834,2139,337,2198,10150,754,20277,552,286,211,78,285,321,53,131,369,75,432,2908,157,4849,1287,288,384,230,839,719,176,225,536,192,806,4040,261,7634,170,150,51,4,216,82,30,19,149,22,250,2445,181,3427,825,792,287,103,1283,420,139,115,529,144,1258,12703,570,17447,92,82,51,6,149,38,9,14,102,18,204,3392,107,4103,564,364,150,59,902,385,92,104,249,70,558,9646,319,12332,205,188,83,12,117,81,21,36,235,22,259,1792,97,2727,468,496,205,28,504,263,50,86,509,37,640,6310,255,8946,8153,5202,2854,883,6450,4177,934,1751,5525,983,7232,58997,3105,90707,257,118,77,40,153,130,35,67,152,50,131,847,11195,12721,20123,21734,7038,1755,13033,9461,2147,4374,24430,2215,21487,169170,22716,276573,7048,11815,2502,35
505,22372,29425,8286,1852,10628,10086,2113,4528,31747,2216,25917,217567,12498,331349,1289,1414,495,68,697,626,106,285,1254,115,1160,10520,588,16231,8947,5171,3181,841,3920,3888,665,1830,6381,859,6461,41866,2553,71728,1355,703,554,178,565,695,125,241,918,152,1131,9228,427,13940,2898,748,964,489,1966,1525,309,435,1337,399,1863,10968,656,19279,478,337,142,40,520,258,71,72,360,65,578,5987,306,8268,1417,1229,532,176,1988,860,219,213,944,211,2136,20512,864,28373,222,182,121,25,399,153,46,24,209,36,492,7296,156,8947,791,488,234,95,1147,533,112,122,412,98,858,14472,387,18135,466,443,218,37,277,186,35,66,592,44,612,5946,210,8255,1495,1574,690,120,1181,800,180,227,1668,177,1987,20989,756,29158,19373,12283,7132,2062,12662,9526,1867,3520,14061,2156,17292,147783,6893,222304,537,228,168,214,272,266,73,128,298,83,245,1766,20365,23642,42271,41940,15586,4125,23563,19884,4053,8181,46109,4449,43455,367125,39755,577297,14048,22863,5331,58
506,20729,26802,7358,1501,11568,9209,2141,4646,31029,2126,23742,188841,12557,295176,1200,1301,435,61,778,610,101,277,1158,141,1015,9908,661,15468,6964,3125,2356,640,3410,3346,630,1752,3894,791,4166,18437,1373,38364,1142,457,444,168,610,685,112,296,592,151,831,4786,252,8408,1167,293,381,179,806,682,135,185,533,162,725,4260,279,7629,368,305,120,34,457,206,64,48,364,43,543,5870,276,7879,1804,1981,739,190,3031,1205,314,226,1233,287,3167,34690,1083,46196,297,238,183,39,611,191,67,49,294,66,829,15951,303,18549,1126,1015,321,111,2461,862,172,178,736,139,1648,35745,952,43153,398,354,156,20,243,154,27,68,455,41,425,3738,145,5497,880,853,295,56,898,406,90,134,867,82,1156,12783,538,17483,15348,9933,5436,1503,13308,8342,1715,3215,10133,1902,14503,146159,5868,208626,476,246,154,137,310,274,80,146,315,92,272,1668,22568,25670,36557,36984,12943,3136,25180,17827,3936,8005,41476,4119,38523,336670,40993,529466,11956,19440,4271,66
507,19739,24978,7077,1386,9524,8431,1917,4047,29721,1876,22824,177722,11823,278175,1108,1313,408,47,736,533,110,262,1152,135,999,10101,595,15396,6833,3430,2315,586,3111,3101,592,1595,4494,686,4637,24283,1652,45630,886,466,372,110,420,510,80,248,543,103,710,5330,217,8375,1988,499,641,331,1297,1003,236,290,918,271,1256,6531,424,11996,173,121,60,29,175,113,28,18,150,22,212,2266,87,3121,1001,948,406,91,1359,582,143,113,684,121,1606,17552,552,23385,168,135,102,27,269,124,34,28,189,33,502,6699,140,8124,465,274,146,43,760,340,71,63,267,42,520,7643,238,9978,442,377,184,27,242,184,40,63,487,40,496,4057,137,5977,732,700,330,56,560,329,61,111,792,52,898,8785,347,12515,13806,8258,4974,1351,8924,6826,1395,2797,9683,1495,11834,93261,4391,144499,426,186,127,108,247,202,57,111,237,65,208,1203,18414,20732,33968,33422,12168,2852,18697,15457,3373,6955,39642,3435,34864,272181,34634,443407,11181,17493,4046,49
509,10971,9534,3621,711,5438,4685,914,2231,10303,1088,7978,59170,4335,100151,396,310,154,17,186,178,38,101,271,33,265,2170,236,3672,2148,807,666,182,978,911,164,480,1071,237,1174,4224,331,9716,362,124,110,44,186,193,35,82,170,45,204,1135,65,2159,180,38,55,22,111,110,18,35,70,30,98,508,44,975,5,6,10,0,10,9,0,0,11,0,13,90,89,219,110,90,25,7,146,60,18,16,71,8,149,2354,171,3047,13,10,9,0,0,6,0,0,8,0,22,386,30,466,45,29,14,8,67,34,3,7,24,11,43,577,102,840,99,51,32,8,47,47,6,14,79,11,81,448,29,800,182,130,65,10,109,87,15,29,166,16,145,1324,87,2077,3536,1602,1138,299,1838,1637,291,769,1936,400,2187,13216,1182,23971,403,188,127,85,198,201,39,93,201,53,167,1120,10932,13060,14908,11328,4886,1095,7472,6521,1246,3091,12442,1538,10335,73504,16444,137175,4994,5564,1648,31
510,2010,3966,753,146,2386,1253,459,496,3361,235,3009,43783,3547,60535,172,246,76,6,134,88,11,45,153,14,135,2750,136,3719,177,169,58,9,113,77,17,43,187,21,145,1748,77,2578,47,40,18,0,30,18,3,13,40,9,40,861,31,1083,24,13,11,5,17,12,8,6,14,3,22,459,20,566,5,5,0,0,5,4,0,0,8,0,11,188,9,225,61,72,26,0,123,32,23,6,35,9,104,2408,90,2877,7,16,3,0,11,0,5,0,14,0,16,514,16,588,11,21,3,0,52,11,0,4,8,4,30,984,17,1116,21,25,11,0,14,9,0,5,35,7,40,516,15,660,48,55,24,6,45,22,5,0,68,0,83,1182,48,1523,574,663,222,26,551,280,75,118,564,65,622,11619,457,14932,44,66,17,8,71,45,23,14,50,14,37,594,13822,14660,2623,4691,998,176,3009,1575,561,622,3974,312,3668,55999,17824,90128,1681,2945,590,21
511,6881,7496,2426,558,4647,3373,986,1653,7383,692,5854,52884,4200,84169,343,381,134,17,260,185,39,99,294,48,246,3163,198,4767,824,373,269,93,424,390,83,215,463,87,498,2413,191,4752,167,68,57,19,87,76,8,44,81,18,93,851,43,1335,132,29,32,24,100,82,20,30,49,16,65,474,27,808,12,3,0,0,5,5,0,0,9,0,11,217,9,264,93,104,27,0,139,31,18,14,50,13,151,2397,112,2993,12,4,9,0,9,5,0,4,10,4,12,484,19,543,27,29,9,0,73,25,6,3,17,0,43,896,25,1103,44,42,19,4,37,20,6,11,55,4,65,567,20,794,108,114,58,8,113,53,8,13,163,12,155,1798,66,2474,1763,1157,612,163,1245,867,203,426,1183,200,1339,13268,705,19826,215,101,66,27,124,104,21,68,108,31,101,739,13466,14764,8857,8750,3105,745,6018,4346,1216,2157,8678,923,7289,66893,18370,118758,3289,4529,1113,25
