SA4_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
501,9,24,0,0,0,31,36,35,100,2216,2177,283,4678,158,161,317,4991,2531,63,7592
502,7,20,0,0,0,18,16,34,69,1298,1261,169,2717,157,175,334,3054,1948,57,5062
503,6,9,0,0,0,9,4,12,30,1945,1236,124,3311,91,90,183,3490,1383,35,4905
504,28,53,0,0,0,56,41,57,155,4210,2830,419,7454,279,291,576,8031,3987,118,12137
505,34,90,7,4,9,97,66,106,269,8425,6117,726,15270,518,577,1098,16364,7551,203,24122
506,24,48,7,12,14,67,103,134,303,6757,4701,614,12070,553,583,1136,13210,7340,235,20778
507,30,69,5,5,6,69,79,118,267,6316,4705,628,11658,419,484,904,12558,6338,188,19086
509,4,19,0,4,3,20,43,54,117,1236,1200,164,2602,108,112,222,2818,1790,101,4707
510,8,15,0,0,4,17,57,68,141,1027,425,128,1576,57,72,131,1706,1320,97,3120
511,14,22,4,0,4,23,35,73,130,1471,916,154,2541,109,112,224,2768,1649,108,4518
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
