SA4_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
501,10706,13330,15727,10045,8902,7226,8283,11780,1458,87452
502,4220,5961,8240,5890,4434,4029,4937,4721,759,43190
503,16353,40518,7141,10053,10223,6258,2376,5147,1379,99451
504,15403,27107,22271,17397,18537,11430,11700,12937,2449,139231
505,36219,68763,44341,35946,38821,24687,17081,25320,4782,295961
506,27228,57300,39636,31393,33138,20262,22556,24953,4683,261148
507,26124,51324,34174,26572,26970,17400,15035,18759,3543,219901
509,12740,7952,8898,6452,6175,4225,5653,8458,1060,61621
510,4436,6639,8804,4474,4363,2110,5375,4257,1006,41467
511,7135,7827,9786,5890,5900,3967,7145,6243,1039,54931
597,9,33,83,9,10,0,31,98,6,277
599,107,257,272,223,150,77,213,292,33,1614
