SA4_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
501,2482,1249,1279,2521,1214,1267,2482,1286,1368,2651,1221,1371,2591,6191,6543,12730,1298,1460,2760,1224,1330,2553,1302,1364,2665,1205,1425,2628,1292,1249,2544,6318,6831,13149,1291,1325,2615,1171,1313,2486,1214,1173,2389,1116,1222,2346,1133,1105,2244,5928,6145,12073,1150,1159,2310,1093,1138,2230,1140,1065,2206,1060,977,2042,1131,1103,2232,5577,5445,11021,817,840,1660,768,798,1567,734,730,1460,602,615,1213,595,630,1222,3510,3616,7127,2139,2381,4526,1057,1439,2497,432,734,1166,101,186,288,10,24,35,93269,95483,188747
502,1340,653,693,1348,709,814,1521,733,710,1448,682,792,1471,3428,3690,7124,684,802,1483,698,773,1467,637,755,1388,674,788,1458,640,761,1402,3332,3875,7206,704,823,1528,686,798,1485,688,750,1439,692,781,1478,721,797,1518,3500,3940,7443,726,709,1437,707,779,1489,685,717,1399,720,756,1480,831,830,1661,3666,3793,7461,586,602,1189,572,609,1182,537,564,1100,498,524,1020,480,498,979,2665,2793,5461,1836,1951,3783,900,1142,2047,325,490,814,73,147,218,7,20,25,51979,55660,107641
503,2153,1069,1068,2135,1102,1098,2198,1098,1079,2175,1002,984,1991,5320,5333,10649,991,1016,2010,1026,994,2023,874,1002,1877,959,978,1942,958,993,1951,4808,4986,9792,1036,920,1958,778,896,1675,804,907,1711,828,892,1719,806,849,1655,4249,4465,8713,846,824,1674,761,794,1552,743,772,1517,694,756,1450,718,794,1510,3763,3939,7705,634,648,1285,554,556,1113,539,584,1130,468,508,978,492,520,1008,2689,2823,5513,1751,2098,3852,1014,1488,2501,482,897,1377,133,323,463,8,60,71,90025,92241,182267
504,3353,1632,1675,3316,1765,1789,3552,1667,1717,3386,1702,1693,3399,8463,8536,17004,1609,1719,3323,1531,1648,3177,1551,1557,3109,1378,1459,2833,1333,1354,2685,7399,7741,15138,1341,1417,2763,1294,1386,2685,1185,1348,2529,1162,1195,2357,1167,1206,2370,6155,6554,12707,1157,1172,2326,1026,1112,2135,957,1102,2063,994,1077,2071,1058,1163,2227,5193,5627,10821,836,899,1737,768,812,1579,704,730,1434,593,673,1270,588,670,1255,3494,3786,7274,2277,2689,4967,1150,1627,2777,463,867,1331,103,237,337,10,39,44,138101,138478,276573
505,6966,3344,3563,6902,3338,3575,6910,3434,3528,6964,3324,3467,6797,16828,17719,34542,3289,3411,6697,3008,3366,6376,3000,3273,6271,2875,3087,5961,2808,3121,5933,14976,16261,31239,2734,3060,5796,2664,3068,5736,2540,2912,5450,2502,2801,5303,2373,2663,5034,12817,14501,27317,2334,2599,4932,2334,2617,4959,2209,2571,4777,2206,2382,4590,2324,2489,4815,11405,12669,24073,1714,1939,3655,1625,1890,3514,1612,1793,3402,1356,1520,2879,1327,1574,2902,7642,8714,16350,4931,6382,11314,2733,4021,6749,1130,2042,3170,277,618,898,23,86,112,283068,294235,577297
506,5866,2975,2980,5957,2894,2911,5802,2938,3042,5980,2873,2900,5778,14599,14783,29384,2801,2879,5682,2652,2883,5534,2550,2743,5296,2561,2734,5297,2464,2620,5085,13034,13861,26897,2440,2654,5092,2314,2572,4888,2205,2492,4695,2153,2417,4570,2159,2343,4500,11264,12478,23749,2127,2276,4399,2009,2176,4188,1958,2113,4074,1948,2030,3976,1993,2079,4076,10040,10674,20707,1530,1581,3108,1419,1468,2894,1293,1492,2781,1147,1314,2463,1156,1232,2388,6544,7097,13641,4249,5334,9583,2294,3293,5583,1005,1723,2730,223,519,746,19,86,104,264141,265325,529466
507,5376,2537,2791,5328,2722,2764,5491,2666,2808,5473,2568,2778,5344,13098,13913,27014,2553,2577,5134,2508,2566,5074,2364,2540,4904,2229,2393,4621,2097,2364,4466,11757,12446,24199,2220,2363,4577,2009,2298,4305,1958,2229,4181,1964,2212,4182,1864,2098,3960,10011,11196,21202,1741,1978,3716,1782,1864,3652,1670,1915,3587,1711,1825,3531,1688,1884,3567,8589,9472,18058,1373,1428,2802,1307,1404,2715,1285,1338,2621,1043,1205,2243,1086,1144,2227,6092,6523,12613,3935,4814,8744,2210,3100,5316,972,1686,2664,207,481,688,26,66,85,217864,225539,443407
509,2040,1013,1041,2052,1057,994,2050,1085,1057,2144,1090,1150,2241,5296,5223,10518,1110,1118,2231,1052,1054,2105,1110,1137,2243,1052,999,2049,1079,983,2070,5408,5293,10700,1106,1032,2137,1048,950,1993,1014,943,1964,1015,969,1984,977,971,1944,5153,4867,10019,1009,903,1904,926,844,1770,897,776,1674,860,811,1672,895,815,1708,4591,4143,8732,700,654,1350,649,588,1236,609,576,1181,514,520,1032,529,523,1049,2996,2861,5854,1894,1974,3867,955,1163,2115,387,542,927,74,161,231,7,27,32,69616,67561,137175
510,1059,570,439,1007,612,427,1037,580,418,995,566,435,1005,2952,2140,5096,536,399,937,505,360,868,417,343,764,396,279,674,371,314,685,2234,1693,3936,320,263,585,297,209,512,235,184,422,229,162,394,188,149,338,1272,970,2242,174,160,330,143,110,254,126,101,226,100,93,192,110,91,199,649,548,1195,82,77,161,81,54,138,64,59,121,54,52,103,46,51,98,326,291,619,179,153,332,60,60,126,23,34,58,4,10,14,0,4,7,48124,41999,90128
511,1594,849,721,1565,874,833,1709,906,789,1700,844,728,1568,4283,3856,8135,915,735,1654,887,750,1635,794,729,1523,792,724,1510,790,685,1470,4174,3624,7791,750,691,1436,681,593,1279,629,576,1201,600,561,1160,575,580,1156,3234,2998,6236,600,497,1098,567,448,1018,532,503,1041,538,461,996,522,448,970,2759,2369,5131,374,364,741,384,349,732,362,359,722,290,305,595,351,297,652,1765,1672,3442,1050,1056,2106,523,664,1182,174,267,435,38,72,113,3,11,12,61579,57177,118758
