SA4_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
501,1118,1178,819,523,656,88,43,4421,726,810,510,337,405,37,11,2838,877,1012,561,336,394,47,16,3234,5331,6133,3748,2544,2840,273,87,20955,31,58,31,22,13,0,0,158,8081,9196,5664,3751,4300,442,153,31599,74,120,99,81,114,21,3,510,139,254,182,125,137,12,6,858,102,189,139,111,149,11,0,699,1036,1582,1171,905,959,75,21,5749,38,59,29,31,16,0,0,177,1393,2200,1623,1245,1378,123,27,7986,9471,11398,7291,5002,5672,565,186,39587
502,712,866,632,427,614,201,113,3569,430,399,230,165,199,65,21,1493,552,504,265,201,214,53,15,1799,2497,2558,1627,1040,1125,267,104,9217,23,32,25,10,8,0,0,91,4205,4359,2778,1839,2155,589,249,16175,59,134,115,80,136,41,20,583,135,195,133,59,72,22,11,637,98,147,85,71,72,23,7,500,758,1104,710,507,514,99,43,3728,32,29,25,16,7,0,0,106,1083,1615,1060,735,795,180,83,5552,5289,5968,3838,2571,2950,767,334,21725
503,2215,2396,1424,895,1122,679,379,9106,913,1031,647,421,556,355,157,4075,984,1140,640,424,538,289,144,4162,3118,3224,2192,1411,1974,1193,482,13599,25,15,16,10,6,0,0,60,7250,7806,4924,3158,4192,2515,1161,31006,97,256,231,175,223,145,119,1245,85,153,125,108,156,95,38,768,52,129,94,84,119,80,33,590,170,369,313,266,397,191,134,1840,16,21,6,4,0,0,0,60,424,933,773,639,892,512,322,4495,7674,8732,5702,3799,5083,3028,1484,35500
504,5319,5237,2691,1684,2277,1201,691,19097,1603,1482,799,554,656,254,118,5466,1729,1450,772,489,586,215,115,5358,6407,5710,3361,2242,2648,808,353,21524,73,66,51,27,16,8,0,237,15124,13952,7679,4986,6184,2485,1282,51689,417,636,469,340,461,232,137,2686,280,452,277,216,235,72,35,1563,179,279,196,165,185,60,36,1111,1230,1777,1143,849,992,251,124,6366,60,83,48,21,18,4,0,241,2168,3237,2137,1585,1884,622,339,11969,17288,17184,9812,6569,8067,3112,1619,63656
505,11456,11926,7064,4746,6470,3352,1993,47010,3928,3589,1953,1217,1615,651,337,13285,3810,3655,1899,1206,1450,559,279,12854,11286,11091,6513,4206,5082,1887,961,41032,131,148,73,41,24,7,3,424,30605,30411,17501,11413,14642,6459,3574,114609,882,1533,1132,877,1295,647,472,6828,522,858,583,457,567,184,108,3274,439,715,484,356,445,149,104,2698,1665,2747,1913,1343,1614,521,282,10078,144,157,76,52,32,12,8,479,3645,6012,4186,3085,3949,1508,972,23356,34256,36417,21689,14502,18593,7968,4549,137971
506,13710,14254,7454,4439,5725,3293,1986,50861,2473,2286,1359,963,1156,419,205,8865,2702,2548,1319,879,1016,375,212,9061,9573,9127,5434,3584,4142,1362,625,33847,141,123,69,49,19,11,4,411,28598,28336,15643,9912,12067,5455,3036,103047,743,1261,905,669,1010,554,405,5545,478,676,458,315,356,124,91,2503,320,490,362,254,317,114,78,1940,2024,2799,1903,1430,1510,360,211,10226,133,151,108,45,47,13,12,507,3692,5368,3726,2719,3244,1169,785,20715,32294,33708,19371,12633,15312,6625,3824,123762
507,6675,7412,4208,2747,3623,1826,1034,27525,2807,2630,1416,888,1135,440,226,9542,3146,2835,1501,934,1069,435,226,10152,10504,9920,6074,4006,4706,1649,811,37675,73,99,50,31,10,5,4,264,23208,22895,13253,8610,10540,4358,2296,85157,417,792,660,506,692,296,210,3570,552,709,530,354,418,149,73,2773,282,538,356,288,341,109,69,1978,1940,2875,1966,1484,1624,411,231,10532,114,113,70,30,23,9,5,378,3312,5026,3577,2666,3096,977,580,19241,26517,27924,16832,11274,13636,5331,2881,104396
509,528,612,392,287,362,60,28,2263,367,417,244,166,201,27,9,1423,603,549,322,212,198,27,7,1921,3912,4360,2584,1484,1491,155,27,14012,33,33,21,26,11,0,0,129,5436,5969,3563,2175,2266,261,67,19748,39,63,53,27,59,8,9,252,64,121,76,59,69,4,3,390,53,103,91,65,75,6,0,387,717,1104,765,547,590,36,16,3775,47,60,28,29,10,0,0,172,920,1446,1000,727,801,65,20,4980,6358,7413,4562,2902,3068,327,92,24730
510,767,702,368,197,245,19,5,2301,388,298,136,67,66,4,0,952,521,486,225,105,84,4,0,1429,3376,3454,1846,1034,827,49,9,10592,35,34,13,17,4,0,0,109,5083,4974,2585,1423,1229,76,16,15385,26,39,25,23,38,0,0,170,27,44,33,23,26,0,0,153,30,51,27,24,21,0,0,150,769,1050,660,431,336,24,0,3267,43,59,35,20,3,0,0,160,889,1245,784,518,429,36,3,3894,5970,6222,3368,1936,1654,108,18,19280
511,756,845,467,297,327,38,24,2755,362,393,211,126,128,13,0,1228,549,503,229,144,153,9,4,1586,3621,3621,2074,1351,1367,105,23,12162,32,33,11,9,0,0,0,85,5328,5398,2994,1922,1974,160,56,17827,56,87,73,42,71,7,0,330,85,128,79,51,56,8,4,420,54,81,59,47,53,9,0,299,826,1122,788,519,505,38,12,3811,38,63,26,30,11,0,0,174,1064,1483,1026,686,701,54,15,5019,6387,6880,4019,2606,2672,213,71,22851
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
