SA4_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
501,44,56,143,160,238,415,1029,1436,870,4390,4,14,86,50,64,83,73,75,61,511,576,512,1502,1655,1872,1715,1673,1242,737,11479,4802,7945,19963,24025,25539,25875,23085,11643,3981,146853
502,47,24,59,108,162,287,705,1020,571,2974,9,12,27,29,36,44,51,37,15,262,296,361,781,889,946,850,942,988,668,6718,2872,5306,10882,11898,13143,14328,14893,9240,3099,85660
503,12,22,49,71,105,159,336,512,555,1814,4,21,77,60,50,96,69,84,121,583,300,783,2227,1453,1107,1031,1092,870,639,9497,4447,13245,31208,26197,23341,20436,16407,9361,4406,149057
504,71,63,301,472,611,878,1451,1675,975,6494,19,32,200,313,405,383,308,250,167,2074,585,800,2376,2174,1971,1648,1350,1151,780,12829,7094,16533,41214,40708,36264,32110,23510,12233,4489,214153
505,93,100,495,770,965,1303,2387,3173,1998,11285,26,46,369,619,731,747,607,494,353,3994,1040,1501,4314,4029,3460,2816,2492,2400,1708,23761,14667,34441,79357,84064,77443,65734,51354,27634,10904,445602
506,153,157,571,893,1043,1428,2354,2519,1508,10625,33,85,535,688,714,699,573,410,253,3989,1200,1907,5004,4359,3562,2987,2458,2353,1936,25775,13869,35905,80730,80312,65475,56210,44411,23208,9148,409271
507,97,91,219,347,535,959,1976,2521,1523,8278,15,38,127,199,245,246,301,295,247,1704,974,1429,3650,3437,2944,2473,2249,2095,1644,20900,11913,26954,60286,63533,58710,51185,39230,21339,8748,341898
509,42,41,152,154,230,432,962,1264,713,4002,10,22,56,77,99,88,78,59,58,538,607,579,1499,1601,1910,2064,1846,1351,606,12062,3519,5701,13818,15282,18127,21207,18753,9720,3303,109426
510,114,64,164,197,297,337,345,179,39,1734,22,14,48,68,98,85,87,85,34,534,708,995,3234,2838,2321,1728,647,207,64,12746,2819,5260,17061,15945,12311,9026,3435,949,204,67018
511,54,45,105,166,271,497,817,892,398,3242,5,13,43,64,75,79,77,78,52,488,751,994,2323,2225,2162,1987,1414,873,347,13073,3530,6663,15949,15565,16254,15919,11352,5539,1749,92526
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
599,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
