SA4_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
501,29,117,229,228,207,227,83,6,1132,150,205,222,121,90,51,13,0,856,903,2385,2868,2984,2939,2396,1028,208,15707,355,983,949,842,928,734,306,88,5180,158,286,436,468,402,297,141,37,2213,68,229,374,386,373,264,119,33,1840,54,152,279,367,437,456,169,30,1939,278,522,703,836,750,628,264,46,4024,208,295,339,345,326,312,128,31,1985,113,138,144,114,106,88,36,7,738,142,348,453,396,289,180,58,10,1869,32,21,3,4,10,4,4,0,82,47,83,135,167,132,95,35,5,706,752,1047,1199,1369,1074,992,629,300,7360,3272,6804,8347,8620,8067,6725,3011,796,45639,38,186,281,274,171,97,20,8,1076,11,47,75,51,51,43,9,0,290,85,193,219,144,115,66,32,17,872,28,95,101,93,53,17,6,0,400,137,197,304,231,160,61,16,0,1107,487,1200,1476,1318,1544,1168,525,145,7859,307,847,1441,1579,1381,1050,369,88,7056,674,1666
502,31,37,82,56,82,93,29,5,409,104,140,122,81,65,39,19,0,561,517,1321,1467,1562,1827,1751,906,220,9565,189,458,407,482,481,450,297,68,2830,59,82,122,131,109,91,62,16,676,47,94,124,196,208,145,74,18,910,24,92,114,156,199,231,105,26,941,154,228,326,403,424,430,264,41,2280,143,183,189,181,175,205,81,16,1172,86,58,38,41,34,44,29,11,345,75,157,195,186,170,105,62,10,965,21,8,0,6,6,5,0,0,40,20,38,61,87,82,56,38,11,397,426,537,659,674,557,551,491,259,4165,1909,3442,3906,4235,4412,4197,2452,709,25253,35,84,104,82,66,44,17,3,442,10,31,49,30,32,18,8,0,181,55,85,93,77,56,46,32,16,467,10,27,31,20,21,16,10,0,130,28,55,93,74,54,21,0,0,321,289,637,624,632,737,614,306,89,3936,197,491,669,748,658,516,212,56,3545,351,754
503,410,887,701,606,640,505,261,62,4059,189,628,720,412,252,87,22,0,2311,597,2847,2529,1971,1758,1339,653,224,11915,158,685,588,509,501,416,183,79,3114,59,202,171,177,155,101,82,27,976,167,1234,1013,957,838,570,354,109,5252,33,258,280,231,313,358,180,53,1708,847,2458,2686,2599,1943,1236,575,146,12491,447,1403,1219,1129,912,837,369,87,6400,363,734,490,254,207,163,61,8,2270,160,451,329,204,146,94,41,11,1440,17,14,9,9,0,5,4,6,70,56,137,148,129,95,63,39,12,675,603,1446,1010,779,667,548,392,234,5687,4110,13390,11892,9960,8417,6333,3223,1058,58376,502,865,626,532,387,241,96,41,3288,47,193,213,153,123,37,8,0,771,160,693,545,303,164,63,39,21,1982,71,394,240,218,141,67,19,0,1169,59,159,148,96,55,26,12,3,564,638,2799,2036,1896,1767,1209,674,300,11312,192,763,843,1101,1272,1342,634,229,6374,929,3036
504,147,420,479,438,329,233,107,15,2168,252,708,963,517,252,86,14,0,2797,1281,4636,4516,4032,3841,2783,1203,247,22539,461,1386,1160,965,834,645,327,82,5851,87,271,264,280,205,150,73,10,1344,161,662,604,462,379,223,93,29,2608,80,377,372,405,435,358,182,42,2252,737,1833,2450,1725,1310,775,303,55,9198,519,1047,999,861,619,487,168,19,4715,386,609,521,296,191,153,44,8,2200,259,696,760,486,366,180,72,10,2830,49,22,14,8,9,8,5,3,115,64,201,302,246,192,120,59,14,1205,1023,1744,1696,1477,1182,749,579,303,8743,5513,14610,15096,12188,10150,6960,3226,833,68568,236,603,584,419,226,130,29,10,2236,46,271,265,156,88,39,12,0,870,131,466,435,278,180,116,60,37,1702,51,226,190,120,65,21,12,3,678,91,251,221,180,116,49,8,3,914,875,2683,2234,1714,1494,974,419,128,10518,406,1666,1739,1808,1467,964,388,85,8529,1089,3464
505,391,975,1074,1078,834,586,272,44,5271,580,1359,2160,1396,694,272,46,0,6507,2232,8400,8848,8161,7696,5960,2678,712,44696,1030,3658,3556,3011,2468,1667,783,229,16402,141,431,648,520,438,256,109,30,2570,522,1624,1562,1398,992,590,275,67,7030,210,811,900,926,993,844,416,121,5224,1748,4096,5694,5029,3553,2503,1084,225,23940,1143,2127,2066,1887,1446,1028,384,79,10156,863,1102,954,585,367,221,88,23,4207,489,1082,1196,974,697,368,182,39,5019,103,33,21,17,22,19,8,3,224,145,394,480,470,337,206,113,35,2172,1842,3156,3191,2752,2014,1329,1083,618,15980,11438,29252,32348,28209,22559,15841,7520,2224,149392,524,1252,1371,965,576,289,78,22,5070,105,462,568,442,257,84,15,0,1936,219,915,889,597,406,279,128,100,3545,133,549,454,306,177,66,12,9,1702,131,399,443,235,138,48,7,9,1409,1921,6311,5473,4559,3823,2302,1037,325,25761,972,3566,4232,4339,3562,2460,975,229,20332,2123,7157
506,416,1047,1041,973,740,561,245,51,5069,725,1772,2470,1096,514,202,31,3,6808,2609,8936,9759,8008,6815,5172,2318,580,44187,823,2388,1997,1535,1417,1228,609,193,10182,189,446,499,470,389,272,132,37,2426,519,1556,1477,1062,755,477,225,63,6135,176,629,632,684,733,700,334,82,3974,1870,4535,5503,3935,2704,1814,684,135,21176,1052,1858,1844,1434,1140,878,390,72,8661,698,993,731,417,231,185,74,24,3351,658,1637,1534,805,593,311,129,31,5700,80,50,27,18,21,13,10,4,223,153,489,497,413,297,185,120,32,2185,2210,3581,3221,2706,2048,1359,1046,698,16879,12171,29912,31228,23547,18394,13364,6348,1999,136969,580,1480,1532,928,536,278,73,15,5422,139,873,996,350,213,64,13,5,2649,314,1366,1302,654,390,209,105,62,4401,141,485,368,183,124,63,13,6,1390,173,404,459,277,175,75,19,7,1593,1959,5849,4784,3271,2759,1992,903,247,21773,928,2698,3142,2874,2567,1856,805,194,15055,2378,7364
507,277,697,821,801,700,583,229,51,4160,467,950,1436,839,413,155,37,4,4306,2138,7040,7884,7253,6500,4617,2163,566,38153,748,2108,1882,1720,1496,1072,605,199,9821,140,364,527,492,387,262,122,32,2333,330,1326,1324,1192,851,542,237,63,5863,163,604,639,654,800,682,318,65,3922,1125,2655,3702,3400,2555,1735,669,157,15996,858,1576,1453,1393,1056,755,341,87,7508,601,749,674,417,277,231,59,12,3011,369,792,917,747,459,258,142,29,3705,62,26,14,10,13,13,5,0,146,140,329,407,397,287,178,88,25,1850,1643,2649,2725,2269,1739,1231,970,602,13833,9046,21868,24408,21583,17533,12304,5976,1895,114624,407,949,1007,773,530,246,90,18,4024,85,294,463,255,188,72,18,0,1385,274,790,831,489,304,184,97,52,3018,88,350,364,215,127,61,10,3,1213,142,379,406,288,162,74,19,7,1475,1520,4757,4344,3419,2969,1811,817,272,19915,873,2638,3150,3219,2627,1836,729,212,15285,1663,4898
509,32,69,103,113,102,119,55,7,609,77,105,90,78,69,45,11,0,460,546,1531,1477,1639,1897,1603,643,133,9475,202,523,439,450,503,445,209,56,2828,252,363,531,557,555,421,175,45,2897,42,159,156,198,260,161,84,12,1075,15,102,143,232,258,316,106,19,1190,210,293,385,428,470,387,159,30,2359,106,178,218,239,298,271,76,16,1405,51,77,84,78,70,86,36,7,482,82,191,174,195,192,114,66,10,1022,24,9,7,0,3,3,0,0,42,26,50,66,68,83,75,42,4,420,851,1012,1057,1217,1314,1121,678,263,7513,2511,4674,4936,5488,6068,5165,2334,608,31780,37,102,178,136,112,61,19,0,648,11,25,38,43,35,16,5,0,174,31,117,76,86,85,57,35,18,505,7,43,49,41,30,21,0,0,201,146,251,324,278,208,81,16,5,1308,313,816,808,859,1127,859,411,132,5319,182,595,853,942,1005,812,323,75,4782,407,902
510,22,92,93,64,34,15,3,0,322,31,65,69,23,16,5,0,0,212,520,2294,2373,1667,1078,326,59,3,8319,104,585,551,362,262,101,30,5,1987,46,134,171,139,91,30,7,0,624,25,178,174,147,121,44,3,0,687,27,149,179,173,118,57,8,0,716,85,328,469,352,220,83,7,0,1539,78,231,223,169,144,55,11,0,902,22,82,66,35,12,21,4,0,244,57,154,191,159,84,21,5,0,674,9,0,5,8,3,3,0,0,30,28,85,106,93,60,18,3,0,400,1113,2020,1944,1581,1189,413,124,19,8401,2161,6403,6624,4941,3442,1179,273,33,25052,35,119,121,69,22,7,0,0,374,7,41,42,20,4,3,0,0,124,68,258,175,73,29,8,0,0,611,5,37,36,25,13,0,0,0,123,40,98,93,67,27,0,0,0,340,181,812,636,412,349,131,29,0,2556,143,688,656,464,326,106,21,3,2411,289,1084
511,51,164,137,108,76,44,13,4,593,54,96,89,55,26,18,0,0,346,736,2266,2065,2008,1800,1122,378,96,10469,197,552,448,393,451,332,124,19,2514,96,165,220,263,220,157,61,13,1201,44,164,172,211,180,107,23,6,912,22,114,166,188,208,127,43,8,879,140,283,417,418,340,183,64,15,1868,94,209,226,180,155,98,36,7,997,48,69,62,39,33,27,8,0,293,94,217,193,196,145,63,28,4,943,10,7,0,3,3,0,5,4,33,27,58,83,77,73,49,22,7,392,1112,1565,1415,1453,1277,863,511,149,8338,2725,5928,5696,5598,4984,3189,1325,330,29778,46,193,180,82,44,21,4,0,563,7,26,42,33,22,12,4,0,152,68,155,114,98,50,27,16,10,534,6,29,35,28,21,8,0,0,138,79,165,166,113,79,32,6,0,643,333,831,698,703,616,407,197,55,3838,170,652,744,840,653,350,132,24,3564,457,967
