SA4_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
501,4,49,4974,5032,82,663,2823,3568,2269,2355,3340,7965,5397,1708,2463,9560,6157,1430,2764,10352,6589,1226,2682,10493,6552,684,2338,9570,3472,186,1110,4770,742,26,464,1227,31262,8317,22966,62544,9,118,4699,4824,162,971,2085,3217,3417,2737,2931,9080,6685,1842,2915,11442,6912,1613,3328,11851,7002,1195,3429,11627,6065,488,3292,9844,2522,135,2488,5143,344,4,1303,1647,33112,9111,26462,68683,10,166,9682,9860,241,1634,4911,6780,5687,5089,6274,17047,12079,3549,5380,21005,13072,3046,6088,22207,13591,2423,6108,22123,12615,1172,5632,19415,5995,325,3594,9913,1081,29,1767,2879,64376,17433,49426,131232
502,0,38,2753,2793,45,392,1818,2250,1163,1213,1944,4317,2384,863,1390,4633,3010,711,1518,5237,3577,610,1546,5733,4148,414,1561,6127,2860,165,914,3941,647,30,412,1087,17832,4433,13855,36118,0,62,2663,2723,101,597,1662,2359,1841,1516,1863,5223,3143,976,1669,5786,3499,766,1991,6260,3996,613,2147,6758,4142,350,2266,6749,2182,118,1863,4164,318,19,971,1301,19220,5018,17084,41317,0,103,5414,5519,145,984,3480,4609,3000,2730,3806,9537,5525,1834,3053,10416,6511,1478,3508,11498,7565,1225,3695,12491,8284,764,3827,12877,5043,280,2776,8099,964,47,1383,2388,37044,9449,30941,77442
503,5,24,4325,4351,59,537,4524,5114,2744,3517,6756,13019,6609,1800,3222,11635,6782,1092,2429,10309,5685,921,2353,8964,4660,483,1885,7024,2626,171,957,3761,772,33,435,1244,29946,8583,26890,65417,0,51,4164,4217,132,813,4704,5644,3890,3797,6062,13744,7389,1527,3047,11962,7051,1045,2888,10987,5563,732,3055,9347,4212,329,2875,7414,1959,76,2196,4230,367,9,1450,1829,30561,8379,30441,69379,4,69,8492,8571,187,1350,9222,10758,6636,7314,12811,26765,14004,3329,6273,23597,13837,2133,5318,21290,11252,1658,5416,18320,8870,808,4760,14444,4592,250,3151,7987,1138,43,1890,3072,60513,16956,57331,134796
504,4,61,7685,7747,145,849,6609,7609,5283,4311,7878,17477,10431,2762,4556,17756,9520,1907,4190,15620,8940,1313,3826,14086,7009,594,2727,10323,3667,172,1391,5226,814,21,539,1372,45810,12003,39405,97211,9,87,7016,7115,329,1403,5533,7266,7920,4932,6398,19257,11580,2812,4630,19023,10018,1950,5245,17210,8821,1177,5182,15181,6206,449,4610,11258,2615,132,3036,5789,391,14,1567,1969,47889,12956,43218,104060,7,154,14705,14860,475,2257,12143,14872,13205,9244,14281,36740,22011,5574,9189,36778,19532,3862,9432,32827,17766,2493,9011,29264,13214,1042,7332,21584,6281,301,4428,11011,1200,36,2100,3335,93699,24960,82621,201273
505,8,85,16804,16896,240,1440,14333,16015,9744,8762,15609,34114,22870,5484,8638,36992,22877,3468,8056,34404,19920,2219,6674,28812,16461,979,4800,22233,8538,288,2562,11391,2070,59,1139,3269,102720,22781,78619,204118,13,169,15621,15798,629,2382,12582,15590,14631,10229,13127,37993,25970,5459,9426,40851,23988,3435,10078,37502,19765,1955,10128,31851,14832,772,9492,25096,6295,193,7082,13573,986,28,3727,4748,107109,24623,91260,222989,20,254,32422,32689,874,3823,26913,31605,24374,18990,28739,72107,48836,10936,18064,77838,46863,6905,18139,71904,39681,4180,16802,60665,31289,1746,14293,47330,14833,484,9641,24962,3059,88,4868,8014,209833,47406,169872,427112
506,0,113,14379,14493,353,1688,14691,16728,10635,7292,17609,35529,22696,4217,9069,35980,18650,2991,7733,29378,15855,1977,6922,24761,13619,980,4917,19516,6882,262,2576,9717,1617,44,1052,2715,90307,19561,78957,188826,15,202,13599,13820,835,2615,12337,15791,16001,8118,13216,37336,24733,4273,8726,37729,18868,2953,8631,30451,15756,1802,9076,26634,12123,734,8513,21369,4846,171,6010,11031,761,15,3095,3867,93934,20883,83203,198021,18,312,27980,28314,1187,4302,27024,32519,26628,15412,30820,72863,47426,8482,17799,73707,37525,5939,16362,59831,31610,3789,15998,51394,25745,1714,13430,40889,11728,430,8589,20749,2379,56,4154,6587,184240,40441,162163,386848
507,8,100,12523,12630,164,1435,10227,11827,6917,6931,11337,25190,16308,4171,6522,27000,16295,2888,6234,25419,14561,1990,5536,22088,11853,970,3987,16809,6499,287,2199,8982,1601,46,1044,2697,74211,18812,59614,152634,0,180,11857,12039,375,2290,9340,12000,10451,7975,9853,28274,18969,4338,7319,30625,17386,3001,7830,28224,14635,1847,7940,24425,11063,739,7191,18994,4690,174,5245,10107,754,28,3009,3784,78325,20566,69582,168479,8,283,24382,24669,539,3725,19564,23827,17370,14905,21194,53465,35278,8500,13842,57629,33681,5893,14060,53641,29206,3835,13478,46514,22916,1704,11175,35800,11189,461,7445,19089,2357,72,4053,6479,152543,39377,129195,321111
509,0,71,2964,3035,77,480,1908,2463,1639,1467,2325,5436,3311,1042,1605,5963,4105,1030,2113,7245,5144,936,2640,8718,5116,564,2314,7993,2778,144,1151,4074,654,17,437,1100,22826,5749,17452,46030,9,121,2664,2794,154,655,1332,2140,2293,1649,1843,5796,4017,1154,1626,6801,4644,1078,2141,7868,5487,929,2494,8907,4731,377,2409,7521,2007,100,1911,4021,300,11,992,1299,23646,6076,17418,47134,7,188,5627,5829,232,1128,3241,4604,3932,3119,4172,11231,7329,2200,3230,12760,8749,2106,4251,15111,10627,1866,5130,17627,9851,936,4723,15513,4789,247,3062,8094,954,28,1427,2401,46473,11823,34864,93167
510,11,51,1896,1958,93,407,1238,1741,1397,1867,1995,5259,2781,1328,1473,5580,2137,843,1352,4330,1561,537,1187,3283,643,152,592,1386,154,33,181,358,14,0,40,55,8788,5211,9943,23944,27,88,1721,1834,111,603,1105,1821,1996,2129,2005,6132,3002,1298,1404,5701,2038,810,1245,4098,1318,412,1100,2831,425,100,618,1147,95,18,218,325,6,7,54,58,9017,5451,9472,23935,41,134,3616,3788,206,1007,2346,3554,3393,3993,4002,11384,5779,2618,2874,11279,4178,1654,2591,8421,2880,950,2285,6116,1070,256,1215,2534,240,48,392,683,13,0,89,110,17806,10662,19416,47881
511,7,65,2795,2870,65,549,1869,2478,1535,1816,2374,5724,2989,1131,1724,5843,3322,964,2072,6361,3532,824,2180,6535,2795,356,1626,4776,1415,99,748,2260,296,20,246,562,15955,5819,15640,37415,15,135,2448,2593,130,879,1476,2482,2252,1979,2076,6305,3525,1187,1644,6358,3592,1057,1878,6530,3536,707,1945,6179,2487,274,1664,4419,1026,65,1156,2251,142,10,514,664,16695,6287,14808,37787,23,193,5247,5465,195,1424,3341,4959,3785,3796,4455,12036,6515,2320,3373,12204,6915,2022,3958,12891,7062,1528,4124,12717,5280,629,3293,9198,2441,163,1905,4514,442,28,762,1227,32649,12113,30442,75203
