SA4_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
501,346,2774,258,1048,413,192,78,204,25,5332,396,2438,78,1318,351,150,46,174,17,4956,947,799,208,575,2258,697,101,439,56,6077,415,914,153,1927,595,304,69,389,48,4818,127,273,96,152,162,151,14,98,7,1080,226,54,633,493,315,283,68,261,22,2359,4,0,5,13,0,7,0,8,3,43,35,84,30,65,54,29,19,33,8,351,68,65,54,135,113,82,22,110,95,744,2931,8054,2010,5940,4608,2079,529,2020,331,28494,269,611,271,98,111,41,61,141,14,1613,109,172,164,59,79,72,53,125,15,847,1224,1071,6352,224,345,247,1393,958,193,12018,508,215,2031,105,128,93,483,505,51,4112,641,364,432,130,135,117,234,407,38,2504,466,3618,357,1197,436,213,153,269,47,6749,603,3109,167,1407,374,186,149,222,31,6258,1754,1380,534,720,2511,957,363,692,113,9021,592,1246,262,2320,661,379,174,537,58,6233,194,408,195,205,175,187,56,178,17,1607
502,128,1176,170,591,182,107,31,62,14,2467,156,1164,20,684,162,74,25,47,14,2354,409,394,124,310,1148,378,84,169,26,3024,185,429,69,1241,296,144,62,144,25,2584,34,83,31,85,45,54,7,30,0,379,146,44,359,294,162,203,53,125,6,1385,0,0,0,8,0,3,0,3,0,24,9,29,12,33,28,3,6,16,0,136,40,25,16,78,53,47,17,59,48,385,1209,3570,1012,3430,2208,1087,344,735,146,13744,68,218,98,48,44,23,22,26,3,559,76,115,85,46,38,35,48,50,9,501,668,570,3358,128,189,133,798,426,99,6382,192,57,940,39,41,42,283,225,46,1864,86,72,165,31,48,41,91,131,4,668,208,1484,217,702,194,117,76,95,20,3118,231,1497,49,726,170,89,79,65,12,2924,797,647,286,390,1264,528,229,262,47,4445,256,567,124,1477,327,179,139,221,31,3313,52,119,69,112,55,71,28,57,6,576
503,448,6115,144,806,518,145,22,88,59,8338,361,2296,33,503,355,109,14,43,23,3749,2149,3053,195,749,2185,656,38,347,99,9467,897,3521,100,1023,1002,284,29,228,64,7148,336,1036,133,311,317,239,24,71,26,2500,173,53,377,325,186,102,15,88,20,1345,5,4,0,14,6,0,0,16,0,43,105,202,19,92,93,31,7,26,15,583,59,121,19,78,73,41,3,39,83,511,5264,19452,1468,4332,5314,1843,190,1137,437,39438,843,2907,318,324,350,167,69,133,54,5162,423,1426,217,89,157,65,51,89,21,2536,2281,4810,1772,291,462,242,343,426,97,10721,627,1183,769,130,220,124,66,158,30,3316,222,403,138,79,86,43,46,106,14,1139,712,9625,227,1075,578,183,58,148,91,12694,550,3004,79,591,384,135,40,81,28,4896,5431,6769,525,1128,3062,1315,294,743,255,19527,1742,6126,232,1505,1362,421,142,420,132,12083,538,1795,333,486,441,384,76,169,41,4260
504,405,4280,377,1739,636,263,84,159,53,8003,477,3181,75,1705,486,154,46,121,21,6265,1757,2204,302,1022,4060,1118,166,463,158,11244,720,2024,234,2859,1234,375,83,353,80,7959,254,737,138,302,390,245,26,99,23,2209,355,101,888,832,628,423,81,290,32,3637,3,3,0,9,11,11,0,15,0,59,69,130,55,139,114,63,16,36,10,641,65,107,44,205,181,99,33,84,188,1008,4629,14358,2875,9292,8394,3061,700,1914,631,45857,422,1512,488,269,322,153,110,148,34,3455,435,1224,390,191,247,155,187,152,35,3015,2120,2999,8556,513,845,484,1857,1115,211,18697,613,448,2411,119,218,130,463,497,67,4972,255,325,420,108,143,100,140,231,31,1746,616,5358,508,2172,705,312,194,262,70,10204,692,4154,167,1831,549,174,140,167,38,7924,3677,4069,801,1531,5055,1733,832,847,254,18809,1128,3030,456,3858,1535,515,352,623,128,11629,420,1317,361,449,521,395,171,250,38,3920
505,872,11944,767,3834,1402,518,98,346,104,19883,1057,8124,164,3529,1185,385,60,262,78,14850,4299,5890,590,2247,8960,2304,235,958,276,25765,1469,4620,423,5408,2713,888,134,695,185,16536,535,1456,278,578,784,509,59,198,37,4424,680,305,1863,1714,1372,871,162,553,81,7592,11,5,3,24,18,29,3,13,5,118,127,280,58,251,268,120,21,67,26,1211,150,248,105,383,417,201,44,163,383,2095,10378,36680,5644,18861,18520,6491,1036,3815,1287,102721,1069,3677,928,558,708,355,190,302,94,7874,1134,3092,823,346,567,326,322,369,70,7055,5108,7709,14685,1009,1622,928,2717,2228,435,36430,1900,1169,7369,414,652,392,953,1283,162,14297,447,625,736,164,238,164,240,437,39,3081,1524,15080,1096,4828,1577,651,310,545,168,25777,1597,10465,328,3834,1285,451,218,385,109,18678,9791,11541,1730,3238,11132,3830,1335,1918,502,45022,2530,6930,948,7398,3306,1258,595,1207,288,24451,888,2558,820,837,1002,802,283,484,65,7740
506,586,9436,694,3343,1131,459,150,348,112,16258,727,5291,148,2975,777,309,71,237,44,10576,3108,5001,616,2275,7601,1993,386,1141,259,22376,1109,3634,409,4966,2232,707,196,778,138,14169,380,1023,233,531,629,483,76,189,33,3581,497,181,1548,1340,997,635,156,596,52,6012,8,8,5,27,17,14,5,18,0,104,107,239,68,234,203,85,45,90,17,1091,154,191,113,324,342,161,48,167,366,1863,7739,29127,5370,17153,15363,5541,1464,4297,1137,87192,942,3498,1043,639,656,342,235,338,66,7761,915,3201,976,467,614,374,510,530,102,7690,4262,8397,14553,1054,1706,941,3516,2338,471,37236,990,918,4006,271,456,230,772,826,110,8586,441,580,679,198,274,141,275,406,31,3014,982,12491,940,4031,1279,559,383,533,152,21353,1093,6942,296,3227,864,368,249,345,74,13450,7074,9431,1837,3310,9785,3276,2011,2275,517,39523,1832,5381,874,6549,2779,1018,779,1294,230,20737,618,1753,623,765,821,716,350,437,59,6141
507,635,9171,641,2697,1049,406,111,252,102,15052,821,6018,130,2754,771,262,60,197,53,11065,2876,3827,425,1522,6429,1662,228,669,184,17824,1198,3853,323,4268,1951,640,140,529,123,13040,427,1179,252,488,561,382,52,139,31,3507,533,193,1422,1244,836,605,119,370,53,5376,6,12,6,18,12,14,0,16,0,91,137,227,55,190,167,78,22,46,26,943,117,174,78,314,266,148,34,150,260,1546,7672,27772,4515,14229,13094,4686,974,2794,904,76637,918,2871,706,426,471,228,138,208,55,6026,706,1950,600,231,341,208,222,264,34,4551,4097,6187,13651,816,1304,645,2427,1760,410,31291,1056,879,3880,264,389,224,680,838,112,8319,453,659,629,181,224,138,183,347,29,2845,1107,12129,874,3359,1186,491,263,385,145,19934,1221,7739,257,2993,855,321,189,284,76,13932,6614,7293,1267,2155,7919,2615,1063,1248,355,30529,1976,5601,651,5645,2363,887,487,928,197,18748,678,1907,649,716,681,587,197,329,55,5802
509,364,1667,153,757,299,95,31,140,27,3528,529,1603,57,702,275,66,38,105,22,3399,737,469,110,331,1404,357,71,245,26,3752,297,561,88,1070,386,149,53,209,31,2847,91,154,43,84,97,44,14,40,7,573,171,29,278,274,216,145,30,149,10,1308,0,0,3,9,3,3,0,10,0,30,30,30,14,48,32,11,10,11,6,191,92,38,39,112,80,58,17,98,65,593,2702,4948,1037,3555,3098,1080,346,1283,212,18264,222,309,90,58,74,30,20,73,8,887,64,67,80,32,44,30,42,69,9,431,1217,405,3189,179,164,173,908,734,101,7065,355,104,1044,62,61,48,218,231,34,2160,1273,380,385,131,185,143,284,528,27,3333,443,2128,190,869,320,101,63,183,32,4330,678,2053,92,753,284,77,78,146,28,4200,1359,766,227,426,1541,533,202,392,47,5500,430,768,149,1378,425,190,107,300,42,3793,131,235,88,110,106,71,36,89,12,885
510,152,1236,97,293,186,49,66,72,14,2156,231,1187,50,408,135,32,31,35,15,2132,520,354,168,297,1039,251,130,202,37,2995,222,460,52,566,280,90,68,137,20,1901,44,110,29,62,72,24,14,27,5,388,103,39,153,171,184,80,75,104,18,928,4,0,0,0,4,0,0,4,0,15,22,24,22,26,34,10,19,10,4,174,25,68,22,90,81,44,19,60,88,488,1470,3782,846,2044,2204,621,547,757,219,12490,90,211,127,56,64,11,31,32,0,624,41,39,55,29,27,24,23,29,0,271,671,932,4547,176,242,86,903,454,158,8168,231,78,806,64,59,18,327,225,41,1851,155,143,98,59,80,24,103,106,14,792,219,1550,137,381,205,57,119,92,15,2780,311,1532,110,448,149,40,93,58,28,2774,917,537,406,395,1183,322,264,298,65,4396,313,650,124,826,324,105,149,203,26,2714,71,166,72,79,85,33,36,52,3,592
511,215,1533,115,534,275,107,54,85,12,2921,303,1467,31,693,200,57,41,53,16,2861,540,441,89,294,1418,361,103,233,46,3521,214,496,64,845,329,127,58,133,32,2294,55,94,38,68,80,43,16,46,4,448,145,43,292,296,233,133,76,170,14,1394,0,3,6,3,7,7,0,4,0,23,18,18,8,30,26,11,8,18,5,136,47,42,32,86,75,40,26,84,65,503,1748,4539,879,3007,2855,986,471,956,214,15647,138,465,118,71,66,27,36,39,5,972,54,84,66,22,46,25,38,35,11,377,1025,816,4535,184,201,152,1148,696,119,8880,259,81,912,86,47,56,324,239,47,2048,417,207,182,64,103,81,171,206,26,1454,294,1966,149,614,294,114,120,107,23,3681,430,1847,80,736,216,63,99,73,26,3576,998,698,264,390,1554,476,296,340,74,5089,301,685,115,1111,365,157,130,202,36,3094,73,138,70,93,97,71,50,76,9,678
597,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6,0,23,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,25,39,0,6,0,10,24,6,110,0,0,5,0,0,0,5,10,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,6,0,3,7,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
599,5,54,6,25,4,4,0,10,3,103,0,7,0,18,7,3,0,8,0,48,17,11,11,15,33,10,3,21,3,124,5,20,0,34,11,3,0,12,3,96,8,12,0,5,5,0,0,7,0,39,0,0,7,7,3,3,0,13,0,41,0,0,0,0,0,0,0,3,0,6,0,0,0,5,0,0,0,0,0,3,0,0,5,5,0,0,0,0,4,9,39,129,29,126,71,28,15,88,10,532,3,13,5,7,0,0,0,12,0,37,5,6,3,0,0,0,0,0,0,14,12,43,105,6,9,3,34,30,0,245,6,3,34,0,4,3,12,17,4,77,0,3,6,4,0,0,0,9,0,26,3,59,9,32,4,4,3,16,3,125,0,14,5,18,7,4,0,9,0,64,31,28,13,19,38,17,8,30,3,190,11,30,7,45,16,8,5,24,3,144,10,19,3,13,10,0,0,8,0,63
