SA4_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
501,327,132,94,37,46,5,637,102,31,28,10,16,4,189,210,81,55,20,42,5,417,137,83,50,24,53,3,351,275,186,99,69,76,9,707,371,326,130,116,119,5,1055,528,594,175,139,125,19,1580,653,829,270,198,142,17,2107,635,1042,244,178,102,19,2223,747,1214,295,193,99,10,2559,449,851,211,91,51,9,1671,657,1222,378,129,88,12,2488,257,554,131,45,17,0,1008,143,318,63,33,7,6,576,393,675,217,49,40,0,1371,447,683,218,44,26,3,1424,185,210,120,16,13,3,539,129,158,53,11,11,5,363,398,398,170,86,52,17,1121,7038,9595,2987,1480,1129,138,22375
502,181,61,58,18,23,5,350,54,12,14,0,11,0,92,109,24,25,8,22,5,196,95,26,27,12,15,7,177,142,70,54,38,41,6,358,211,124,54,54,68,9,518,296,246,102,70,75,6,798,333,387,180,118,95,10,1119,383,475,140,114,72,16,1196,420,693,194,108,65,8,1489,300,501,126,72,59,7,1062,478,695,253,70,51,16,1559,164,308,91,35,18,5,631,104,195,80,18,14,0,418,240,340,166,24,21,0,801,310,341,182,33,23,0,893,133,106,72,21,18,0,352,85,83,55,4,4,0,232,255,226,135,54,45,8,728,4282,4928,2024,882,752,100,12966
503,277,212,141,22,48,11,711,34,19,25,0,3,0,88,76,39,32,6,25,4,184,55,34,35,8,11,3,146,105,61,38,9,20,0,228,140,99,64,23,26,10,366,187,172,93,17,35,6,510,231,166,65,30,35,5,533,220,179,81,38,38,3,559,251,201,86,38,34,0,614,161,183,43,24,31,5,444,406,486,167,69,63,9,1201,182,221,60,16,19,6,506,193,284,83,29,21,0,608,334,494,116,51,36,5,1038,670,1470,353,87,83,9,2668,380,1077,270,73,46,6,1842,535,1631,544,57,68,13,2846,225,358,177,38,63,13,876,4663,7394,2479,634,694,107,15979
504,400,295,257,75,107,19,1150,90,46,57,19,23,4,240,201,84,93,25,60,7,475,156,90,95,19,57,4,417,275,174,144,47,92,11,751,370,314,238,114,150,17,1201,584,597,316,153,191,28,1863,818,999,388,254,250,43,2762,1026,1463,428,229,227,48,3421,1192,1918,508,284,217,42,4155,943,1717,411,208,177,26,3485,1410,2655,724,269,232,52,5351,632,1330,297,120,83,21,2484,489,935,231,77,51,14,1793,853,1591,499,146,96,14,3196,926,1699,595,127,144,19,3516,356,550,226,40,35,4,1210,220,398,132,21,29,3,815,622,802,380,133,145,33,2115,11561,17660,6036,2362,2368,409,40393
505,948,638,568,124,209,49,2537,219,113,127,29,47,3,536,347,193,250,63,87,16,952,300,212,206,43,95,16,877,492,392,293,127,188,22,1510,723,613,452,184,253,27,2249,982,1138,603,233,371,37,3359,1394,1765,776,348,461,72,4817,1573,2305,758,462,436,53,5582,2088,3174,960,505,411,61,7190,1618,3038,775,348,266,70,6113,2519,4804,1636,569,438,72,10033,1074,2523,690,217,162,31,4702,820,2001,557,159,105,22,3666,1504,3792,1163,271,227,36,6989,1896,4606,1734,266,232,24,8763,767,1732,690,103,99,13,3393,555,1329,567,77,62,11,2594,1178,1732,971,217,310,45,4443,20977,36107,13772,4332,4458,665,80316
506,742,578,434,94,188,42,2075,167,95,89,20,38,6,409,309,200,182,26,96,23,840,276,171,164,51,85,12,771,493,367,271,83,181,27,1427,692,716,387,155,216,35,2195,1032,1273,545,264,315,45,3481,1396,2067,692,355,399,76,4986,1591,2763,703,380,356,68,5858,1820,3380,881,433,350,72,6935,1359,2798,709,280,245,54,5443,2126,4260,1231,426,323,80,8445,914,1967,494,153,139,19,3685,637,1620,415,113,74,16,2876,1222,2580,846,196,174,38,5050,1452,2909,1056,200,176,46,5839,583,1122,444,74,72,17,2309,451,885,362,40,67,7,1805,959,1427,719,202,243,65,3612,18210,31188,10621,3559,3722,738,68042
507,667,428,319,95,158,31,1694,186,67,82,17,41,0,398,286,146,149,48,91,9,733,263,167,153,49,90,7,724,389,310,248,83,142,24,1195,572,457,320,161,208,19,1746,869,947,481,223,268,37,2828,1167,1549,595,339,308,42,4000,1426,2106,563,362,296,41,4790,1627,2801,733,410,326,46,5941,1262,2449,557,296,198,29,4796,1795,3707,1113,407,274,54,7354,876,1774,450,133,87,22,3347,554,1396,344,136,61,16,2510,1140,2460,704,186,147,25,4660,1362,3045,1066,212,181,24,5896,563,1168,450,86,53,9,2337,478,972,407,56,62,13,1984,867,1255,586,201,237,47,3201,16349,27199,9330,3517,3226,503,60133
509,306,162,79,26,39,5,628,89,36,19,19,13,0,170,155,81,41,28,41,9,349,164,90,43,29,39,3,369,291,202,93,56,66,9,708,343,300,83,64,70,0,857,403,419,137,92,65,3,1112,423,486,148,103,70,10,1239,376,528,126,66,52,5,1160,371,506,180,62,38,9,1168,198,365,96,30,17,0,702,382,515,173,41,33,4,1146,127,218,63,10,7,7,426,101,136,37,13,10,0,301,230,268,102,33,14,0,641,262,260,105,28,16,0,667,86,76,44,6,6,0,215,86,61,38,5,9,0,200,280,199,116,37,43,5,688,4664,4896,1724,732,643,80,12741
510,35,19,11,11,7,0,77,10,10,0,0,5,0,15,13,19,5,0,5,0,44,23,21,3,0,0,0,42,43,47,12,0,5,0,112,59,66,11,9,9,0,145,78,94,21,15,3,3,215,94,106,18,12,3,4,243,97,123,24,8,8,0,250,95,153,23,14,0,0,280,57,115,25,14,6,0,229,124,195,34,27,9,7,395,41,93,13,9,0,0,172,37,81,10,7,3,0,136,73,150,26,15,6,0,278,129,238,50,24,12,0,455,77,95,19,7,4,0,205,47,62,17,5,3,0,137,73,83,24,20,9,3,205,1201,1771,349,207,92,30,3648
511,159,91,43,12,27,3,347,41,23,7,3,8,3,74,100,59,29,18,17,5,217,89,67,25,10,16,3,215,180,152,66,45,37,4,483,242,219,85,55,39,5,648,323,306,110,84,56,5,888,346,467,121,88,77,3,1097,306,481,125,65,45,4,1028,330,502,134,64,43,5,1076,194,358,80,44,29,3,719,343,545,161,53,43,12,1153,107,216,42,11,9,8,394,64,133,28,12,7,3,240,172,270,109,27,20,0,596,226,287,114,15,16,0,659,81,87,34,9,9,6,226,60,54,48,3,8,0,173,236,214,103,32,38,7,631,3598,4525,1458,653,541,87,10865
