SA4_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
501,6,75,0,74,..,252,47,298,5,298,..,14,0,14,0,14,..,189,93,284,0,285,..,1958,332,2292,59,2348,..,11141,1275,12413,171,12588,..,545,44,586,11654,12237,163920,11681,1325,13008,11824,188747
502,4,47,0,47,..,273,50,320,3,328,..,9,0,9,0,9,..,119,40,159,0,162,..,1220,117,1335,31,1363,..,6110,536,6643,68,6715,..,463,31,492,6114,6606,94318,6576,566,7140,6183,107641
503,14,489,7,496,..,460,78,540,0,539,..,96,7,104,0,104,..,1194,270,1466,8,1473,..,4512,309,4819,94,4911,..,32941,3498,36441,352,36791,..,749,63,814,8602,9422,136054,33694,3561,37252,8955,182267
504,53,857,16,866,..,731,120,851,3,857,..,126,39,159,0,159,..,3919,1784,5705,38,5738,..,9878,1628,11502,205,11709,..,49859,8132,57984,623,58614,..,1306,194,1495,14029,15525,202437,51162,8325,59486,14653,276573
505,40,776,15,793,..,1369,212,1582,11,1588,..,313,76,391,3,390,..,6990,3389,10379,70,10452,..,18470,3361,21826,369,22199,..,101074,15716,116795,1149,117941,..,2725,427,3152,21825,24970,434382,103800,16147,119940,22974,577297
506,417,5122,54,5176,..,1583,288,1872,17,1888,..,874,229,1107,8,1107,..,2096,606,2700,30,2729,..,20998,3704,24702,489,25196,..,129450,18766,148219,1718,149942,..,2864,480,3347,25811,29159,350367,132319,19251,151568,27529,529466
507,35,1055,7,1060,..,1083,174,1259,9,1269,..,149,16,167,0,170,..,889,231,1121,18,1140,..,8210,890,9103,214,9310,..,63928,7492,71420,785,72198,..,1770,185,1957,20785,22739,348470,65698,7682,73374,21564,443407
509,0,49,0,49,..,138,36,169,4,173,..,6,0,10,0,10,..,117,55,172,4,173,..,1629,420,2047,55,2100,..,6647,946,7589,126,7717,..,338,50,382,12491,12874,116589,6983,992,7972,12615,137175
510,7,79,0,82,..,380,54,436,4,447,..,22,4,31,0,32,..,135,25,163,0,163,..,7615,579,8198,227,8417,..,13678,1017,14696,313,15016,..,783,219,1005,14816,15814,59297,14465,1233,15695,15128,90128
511,0,84,4,90,..,314,62,381,0,381,..,11,0,11,0,11,..,279,149,428,6,431,..,3422,263,3685,79,3768,..,9871,931,10808,167,10968,..,589,59,646,14510,15162,92630,10458,989,11455,14676,118758
597,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
599,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
