SA4_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
501,220,4977,390,5592,171,3680,323,4170,503,8171,1078,9749,946,9418,1176,11545,1321,9967,1221,12512,1625,9945,933,12506,1213,9501,786,11501,600,4598,449,5652,158,1216,227,1602,6750,61489,6589,74828,275,4709,385,5373,201,3293,277,3777,905,8626,683,10211,1797,9962,736,12489,2391,9915,731,13035,2884,9768,719,13371,1787,9100,704,11586,708,4737,554,5999,122,1907,349,2381,11074,62020,5138,78232,491,9684,779,10963,369,6976,604,7948,1404,16800,1757,19963,2740,19380,1913,24032,3713,19882,1952,25548,4512,19714,1651,25879,2995,18608,1490,23091,1309,9335,1005,11650,276,3126,576,3986,17821,123503,11725,153058
502,139,2686,192,3015,137,2278,208,2623,297,4396,484,5171,464,4599,588,5653,632,5111,573,6312,820,5487,461,6760,774,5968,424,7166,473,3694,332,4504,141,982,176,1301,3878,35200,3434,42513,146,2624,206,2971,190,2313,183,2686,557,4802,359,5715,919,4955,379,6255,1237,5222,376,6833,1611,5606,350,7565,1220,6146,364,7731,522,3810,413,4746,108,1358,329,1794,6516,36836,2946,46298,285,5311,395,5986,323,4590,394,5306,849,9197,837,10886,1388,9552,967,11904,1873,10332,947,13147,2434,11088,809,14327,1999,12116,788,14903,993,7508,745,9248,248,2340,506,3095,10395,72036,6380,88811
503,198,4654,177,5030,273,5647,418,6339,624,13572,1364,15555,855,11477,902,13230,1345,9547,682,11574,1670,7872,578,10124,1037,6500,480,8013,463,3617,360,4440,165,1279,194,1644,6629,64162,5156,75953,208,4722,210,5143,344,6136,445,6927,834,13852,985,15671,1316,11054,608,12980,2270,9059,448,11778,2738,7168,412,10317,1593,6359,445,8401,653,3900,375,4927,166,2256,347,2769,10129,64503,4279,78909,410,9373,394,10172,618,11780,865,13265,1453,27422,2349,31226,2173,22527,1506,26204,3612,18609,1128,23348,4412,15039,998,20445,2632,12856,928,16415,1118,7517,737,9364,332,3537,538,4406,16763,128669,9431,154860
504,355,7474,423,8253,395,7504,680,8574,1081,17183,2087,20355,1602,16974,1927,20498,2032,14390,1501,17925,2030,12755,1071,15859,1296,9482,571,11344,661,4699,412,5771,168,1322,236,1725,9626,91787,8906,110313,419,6761,380,7566,489,7055,445,7993,1750,17926,1213,20893,2637,16578,1023,20243,3370,14138,857,18368,3559,12074,641,16277,2012,9630,537,12181,726,5258,485,6469,110,2273,383,2763,15079,91700,5971,112749,775,14237,806,15820,888,14557,1124,16571,2836,35109,3302,41245,4239,33550,2949,40744,5408,28528,2357,36289,5586,24830,1719,32139,3302,19115,1105,23530,1387,9957,895,12238,275,3597,617,4488,24699,183486,14877,223065
505,653,16386,737,17773,763,15803,1014,17578,1767,33959,2694,38421,2974,35490,2624,41088,4101,31785,2237,38118,4175,26017,1608,31802,2900,20339,981,24220,1352,10460,756,12573,441,3283,439,4162,19130,193521,13086,225736,724,15212,721,16665,978,15174,770,16927,2964,35902,2110,40983,5081,36140,1813,43031,6815,31150,1426,39387,7154,25692,1136,33981,4506,21566,1107,27168,1656,12410,1030,15091,325,5685,755,6762,30192,198943,10863,239995,1381,31599,1460,34435,1744,30978,1784,34506,4734,69868,4808,79404,8055,71635,4437,84122,10904,62934,3660,77506,11323,51711,2743,65784,7409,41901,2085,51388,3013,22874,1781,27668,767,8965,1190,10928,49322,392462,23948,465735
506,643,14126,837,15601,755,16464,1375,18590,2021,34652,3563,40243,3217,33951,3142,40310,3533,27096,2449,33073,3492,22394,1754,27636,2542,17705,1056,21303,1149,8895,750,10792,312,2707,517,3540,17670,177985,15438,211086,729,13355,764,14847,1040,15350,1017,17408,3135,34885,2570,40585,4948,33035,2092,40074,5820,25107,1522,32455,5985,21429,1233,28644,3882,18212,1063,23153,1418,9970,1040,12428,245,4410,960,5616,27205,175752,12252,215211,1366,27480,1599,30444,1799,31810,2394,35999,5158,69540,6132,80825,8170,66979,5234,80385,9353,52204,3965,65525,9473,43815,2985,56276,6422,35916,2112,44457,2568,18861,1789,23222,563,7116,1478,9154,44870,353737,27690,426298
507,535,12248,676,13464,612,11919,1045,13576,1438,25328,2753,29517,2376,26056,2641,31073,3157,23653,2005,28818,3531,19885,1437,24857,2325,15355,918,18600,1207,8107,716,10027,346,2611,465,3417,15530,145154,12657,173340,611,11760,620,12995,823,11863,714,13401,2390,26723,1685,30801,4177,26915,1395,32489,5624,23124,1183,29928,5987,19395,977,26356,3587,16163,917,20661,1277,9156,899,11331,253,4258,821,5338,24727,149364,9213,183300,1143,24015,1296,26454,1437,23781,1760,26979,3826,52049,4441,60317,6554,52967,4037,63557,8781,46776,3187,58745,9524,39282,2412,51211,5916,31519,1825,39261,2482,17262,1618,21356,597,6868,1285,8752,40259,294513,21873,356647
509,200,3229,441,3866,157,2572,375,3099,389,5620,1033,7044,637,5882,1069,7586,1011,6939,1077,9033,1377,8210,1112,10696,1003,7872,872,9744,474,3884,532,4891,145,1066,208,1416,5392,45272,6713,57378,177,2907,365,3451,161,2184,265,2607,642,5516,619,6776,1157,5853,686,7693,1683,6621,809,9105,2112,7566,835,10511,1373,6871,761,9010,550,3712,574,4831,98,1491,302,1888,7963,42731,5206,55894,375,6139,806,7320,319,4756,635,5712,1029,11131,1657,13823,1792,11739,1750,15284,2695,13561,1885,18137,3494,15776,1941,21212,2379,14749,1633,18757,1026,7593,1103,9724,243,2561,508,3308,13349,87998,11919,113275
510,115,1953,452,2526,135,1976,623,2731,392,6321,2001,8719,525,6262,1889,8683,391,5017,1534,6944,284,3797,1113,5191,119,1438,364,1923,32,381,99,508,4,68,19,91,1997,27211,8087,37300,121,1781,399,2308,186,1892,457,2534,564,6360,1443,8365,684,5465,1135,7284,597,3902,877,5377,393,2829,617,3837,166,1114,239,1524,44,319,83,448,5,74,32,113,2755,23747,5287,31785,241,3739,853,4829,319,3862,1083,5265,956,12684,3447,17080,1210,11731,3023,15963,988,8918,2405,12321,679,6628,1728,9031,280,2548,605,3443,72,703,179,949,9,142,52,204,4753,50961,13377,69087
511,139,2828,469,3438,125,2745,642,3514,336,6374,1569,8276,537,6028,1406,7976,703,6407,1393,8504,834,6476,1144,8448,523,4748,724,5993,262,2155,402,2813,72,544,118,734,3526,38308,7866,49699,136,2554,433,3120,154,2563,439,3161,582,6139,955,7681,948,5677,981,7608,1128,5803,832,7762,1240,5477,758,7475,713,4087,571,5369,273,2104,357,2732,56,788,176,1015,5220,35198,5503,45919,274,5381,900,6553,280,5308,1087,6674,918,12513,2522,15956,1485,11710,2390,15584,1829,12209,2224,16262,2073,11952,1906,15931,1232,8836,1298,11367,530,4260,762,5542,124,1333,290,1749,8741,73503,13376,95614
