SA4_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
501,132,180,524,535,607,707,530,197,25,3450,66,280,1101,1649,1626,1064,173,6,0,5966,231,403,1009,1276,1221,910,219,20,0,5296,22,56,178,286,327,285,50,5,0,1204,417,704,1502,1696,1580,1358,357,27,5,7643,45,62,140,207,241,173,60,5,0,941,541,342,512,429,461,415,155,18,0,2873,866,261,451,396,283,264,128,14,0,2664,42,106,251,346,534,621,260,22,0,2179,19,20,46,40,44,32,16,3,0,219,3,18,40,61,114,68,39,9,0,352,9,15,52,65,116,97,61,11,3,435,26,51,238,286,362,307,168,20,5,1452,43,82,188,235,267,267,91,12,0,1185,28,76,253,398,555,530,133,8,0,1979,26,40,178,290,361,381,150,14,0,1432,44,80,318,379,425,431,142,13,0,1831,58,24,71,66,72,75,37,7,0,405,124,180,297,302,328,256,96,7,0,1595,137,177,373,412,400,349,141,46,15,2053
502,14,20,49,52,57,72,50,21,0,329,45,209,819,1063,1038,755,127,0,0,4054,85,166,434,517,705,630,82,12,0,2631,0,21,89,130,143,88,22,0,0,498,172,375,757,772,783,713,176,10,0,3758,22,27,61,87,100,108,38,3,0,451,294,292,292,201,206,192,76,12,0,1560,488,188,167,128,107,98,37,3,0,1213,23,51,118,181,270,294,129,24,0,1086,5,13,20,20,24,21,7,0,0,104,0,7,18,39,38,31,22,6,0,162,5,15,33,28,56,48,41,8,0,233,12,54,129,158,163,177,70,3,0,762,21,52,116,117,123,131,63,8,0,630,19,41,180,205,284,244,75,7,0,1055,11,37,101,116,150,197,70,12,0,696,10,70,130,161,136,178,62,10,0,765,32,38,35,30,36,36,19,12,0,242,73,79,176,123,158,141,49,11,4,805,79,114,223,215,230,183,78,23,6,1145
503,25,26,57,40,66,66,45,26,0,353,12,190,1304,1505,1265,733,173,24,0,5207,54,122,403,406,352,285,133,27,3,1784,8,22,140,160,138,102,31,4,0,600,123,305,1016,910,822,625,208,23,3,4033,27,70,213,285,276,200,60,17,0,1144,428,603,760,462,407,268,156,27,3,3121,644,780,1126,548,230,187,79,14,0,3608,50,153,403,402,371,252,113,12,0,1760,21,68,200,160,103,89,33,10,0,682,7,120,488,520,491,376,130,41,0,2173,16,54,200,214,281,208,152,53,11,1187,45,522,2138,2143,1805,1307,596,122,11,8685,49,134,376,334,195,169,76,19,0,1358,22,121,645,619,591,520,156,18,0,2693,183,336,659,572,525,534,222,24,3,3058,57,263,1313,1123,1015,882,414,72,3,5146,162,178,320,174,151,106,51,11,0,1156,40,104,287,232,177,162,87,17,0,1110,89,199,589,535,449,337,137,38,3,2374
504,25,53,105,101,115,131,81,33,10,661,60,364,1862,2071,1692,1043,186,8,0,7278,204,418,1103,1369,1395,1028,254,33,0,5805,18,51,204,261,231,200,39,8,0,1011,422,976,2531,2491,1929,1476,331,21,3,10174,82,191,616,679,661,512,138,10,0,2899,859,1003,1242,938,714,596,188,24,0,5565,1077,622,749,576,392,330,77,7,0,3830,121,332,1215,1452,1266,1171,382,35,0,5979,16,58,161,198,169,111,33,3,0,750,4,73,290,341,278,159,50,11,0,1200,15,55,179,189,178,161,69,20,0,867,39,273,1214,1394,984,628,235,35,0,4811,72,176,455,420,397,337,113,16,0,1985,41,258,907,1072,1128,1007,230,23,3,4662,88,187,585,560,562,533,207,17,0,2735,30,248,851,812,671,616,213,20,0,3468,140,174,258,231,146,143,66,18,0,1169,147,329,746,645,578,498,186,20,0,3146,188,445,1040,1028,876,642,202,40,6,4460
505,44,76,246,246,264,208,101,26,0,1211,66,616,3400,4169,3484,1882,329,10,0,13960,269,623,1654,2011,2221,1801,447,57,0,9086,31,99,423,572,584,482,84,3,0,2289,1054,2216,6453,6671,5425,3776,833,63,3,26485,120,290,875,1122,1158,837,231,24,6,4661,1813,2215,2357,1847,1608,1194,481,80,5,11604,2464,1443,1583,1124,770,611,158,17,0,8179,170,449,1622,1819,1869,1744,585,50,4,8321,69,155,362,456,389,250,59,17,0,1767,21,193,722,1097,1024,627,181,29,0,3896,25,101,315,433,419,363,184,50,4,1892,121,851,2646,3737,3184,1880,672,105,5,13206,162,442,950,971,939,820,283,40,0,4611,80,435,1726,2174,2373,1841,465,42,0,9125,229,479,1279,1416,1440,1359,490,47,0,6743,125,648,1759,1909,1683,1411,501,60,0,8087,401,434,561,418,408,260,97,20,0,2612,277,590,1297,1232,1128,936,326,50,6,5838,369,856,1890,1911,1663,1224,353,67,13,8340
506,54,100,198,179,195,211,146,49,10,1140,95,633,3066,3726,2918,1756,303,21,0,12516,378,863,2190,2771,2391,1812,483,42,0,10936,30,89,398,572,507,378,61,3,0,2038,623,1712,4614,4423,3390,2407,663,52,3,17892,136,422,1234,1408,1205,879,208,20,0,5524,1294,2000,2477,1838,1230,917,371,50,4,10173,2127,1609,1916,1251,657,482,139,23,0,8207,202,915,2903,2996,2490,2356,664,44,4,12568,52,149,321,389,251,136,43,0,0,1343,15,104,525,733,555,293,119,19,0,2372,35,129,345,389,367,288,148,33,0,1739,82,753,2635,3302,2200,1352,487,73,3,10890,137,469,1040,925,759,638,246,27,0,4241,68,471,1462,1854,1785,1493,376,39,0,7559,205,453,1183,1247,1178,1007,402,48,3,5731,103,653,1764,1945,1518,1058,374,37,4,7464,216,350,524,442,288,256,109,17,0,2200,275,662,1338,1199,1023,805,299,50,0,5654,354,883,2243,2073,1680,1097,356,67,12,8774
507,28,73,143,172,167,167,75,30,3,843,85,525,2691,3301,2878,1692,309,13,3,11500,366,805,1975,2368,2541,1966,412,41,5,10474,34,75,375,468,446,350,72,0,0,1824,659,1465,3899,4086,3376,2454,501,40,3,16492,133,270,758,901,905,673,182,27,0,3847,1309,1476,1487,1157,1042,799,272,34,0,7577,2045,1087,999,744,512,350,115,18,4,5873,146,382,1226,1558,1653,1576,463,38,0,7032,41,89,232,233,197,114,40,4,0,949,9,93,403,519,502,311,109,18,5,1961,26,89,244,328,327,255,164,33,0,1467,78,540,1812,2552,2039,1259,486,64,0,8835,125,286,593,567,591,536,168,24,0,2880,92,645,1974,1925,1824,1433,356,40,0,8281,167,342,982,1081,1044,1080,394,50,0,5151,61,468,1361,1401,1270,967,365,53,0,5953,248,247,366,332,223,185,84,17,0,1700,243,418,851,755,715,644,201,25,5,3866,306,604,1426,1541,1374,959,313,53,10,6582
509,265,508,1289,1443,1645,1748,1135,393,68,8482,30,95,428,553,685,553,99,3,0,2445,138,202,454,401,436,368,122,17,3,2142,14,31,76,116,133,152,37,3,0,566,213,327,721,744,787,812,254,26,0,3893,49,127,226,229,275,271,74,12,0,1256,354,216,314,237,289,331,131,19,0,1887,321,127,177,141,130,144,83,18,0,1151,25,66,207,251,414,557,236,32,0,1784,7,8,25,32,24,24,11,0,0,127,6,6,22,45,63,49,16,0,0,207,6,3,27,27,37,64,41,11,0,210,14,27,82,157,139,177,95,17,3,716,22,39,94,111,130,152,69,9,0,621,36,72,232,348,558,651,183,17,0,2096,16,43,154,198,266,295,99,9,0,1086,16,45,177,218,252,324,116,17,0,1161,14,15,35,36,37,41,24,9,0,212,114,160,253,225,206,237,101,11,0,1303,115,106,215,203,288,292,142,52,15,1438
510,37,82,172,93,81,83,22,7,0,574,68,321,1890,2413,1624,1003,121,3,0,7446,26,44,184,172,135,71,13,3,0,655,13,26,88,128,109,97,15,0,0,477,93,219,800,680,538,403,95,0,0,2829,19,30,126,135,87,72,14,4,0,487,207,111,190,135,127,102,41,4,0,927,178,82,284,201,140,121,50,3,0,1057,43,92,369,432,394,305,105,11,0,1745,4,9,20,34,11,8,5,0,0,93,0,3,8,15,5,4,0,0,0,43,7,18,64,67,69,47,10,6,0,282,14,25,123,115,87,73,13,4,0,442,40,57,171,133,164,94,28,0,0,679,28,64,306,358,332,253,66,5,0,1399,10,67,229,211,184,138,48,0,0,888,20,34,218,186,188,164,62,0,0,880,26,22,44,27,37,24,12,4,0,191,47,88,198,193,141,83,23,0,0,776,57,95,291,288,218,162,42,6,0,1155
511,82,175,455,512,627,570,332,112,18,2887,127,531,1669,1601,1475,1074,183,15,0,6683,73,111,234,260,212,215,57,6,0,1177,11,22,78,105,110,110,26,0,0,457,214,350,742,666,604,679,186,13,0,3457,39,66,197,209,227,186,42,8,0,958,344,235,302,245,238,194,76,18,0,1647,371,176,259,177,143,168,62,14,0,1365,35,98,357,411,612,651,235,21,0,2428,8,10,25,26,13,24,3,0,0,112,0,8,17,34,41,29,9,0,0,137,4,19,60,37,62,60,24,3,0,283,29,61,181,182,201,155,64,11,0,889,19,43,127,108,135,132,34,10,0,604,25,60,319,362,450,444,113,8,0,1780,10,45,159,191,230,233,73,7,0,949,15,42,197,204,229,194,71,7,0,973,15,21,19,31,24,37,8,5,0,166,108,167,276,242,229,184,55,13,0,1267,91,132,291,223,250,240,91,28,10,1354
