SA4_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
501,62,52,854,1115,185,1815,205,1493,101,5879,242,390,1490,912,454,647,483,1162,91,5881,1281,2349,3488,1643,1303,961,1249,2240,223,14729,2314,3540,3633,2010,1929,1067,1751,2117,339,18700,2878,3480,3297,2225,2353,1247,2056,2143,303,19981,2354,2629,2382,1756,2063,1100,1978,1944,238,16454,1197,817,559,359,548,349,520,582,101,5044,327,66,28,22,64,30,45,91,48,717,40,0,0,3,0,3,0,0,12,69,10706,13330,15727,10045,8902,7226,8283,11780,1458,87452
502,31,31,381,550,94,988,132,692,51,2941,141,285,801,699,265,582,309,567,58,3715,580,1092,1877,1024,691,543,815,777,147,7544,915,1407,1744,1134,909,508,1033,794,135,8585,1196,1524,1729,1232,1108,623,1232,836,160,9639,979,1235,1417,1047,1036,579,1110,806,134,8344,316,346,275,185,297,178,270,236,49,2152,55,34,22,11,35,27,26,26,20,250,5,3,0,0,0,0,0,0,10,22,4220,5961,8240,5890,4434,4029,4937,4721,759,43190
503,44,199,211,1406,263,1300,157,841,52,4474,371,2224,785,2492,1109,1349,295,796,131,9554,2561,11697,2238,2744,2370,1149,655,1501,316,25235,4267,9904,1597,1370,1896,691,497,815,294,21330,4669,8102,1126,1013,2066,763,365,513,265,18866,3125,5811,861,741,1741,655,282,453,182,13853,1089,2198,288,259,645,279,116,177,96,5143,210,361,25,32,120,68,11,44,37,909,13,26,0,0,13,9,0,9,11,82,16353,40518,7141,10053,10223,6258,2376,5147,1379,99451
504,88,127,823,1317,271,2445,379,1850,123,7425,517,1368,2179,2320,1284,1897,931,1569,250,12323,2788,7498,5863,3946,3873,2053,2523,2426,594,31575,4288,7512,5193,3549,4286,1584,2646,2217,566,31857,4153,5606,4282,3252,4286,1635,2405,2199,473,28276,2741,3736,3119,2447,3554,1387,2172,1993,315,21468,707,1102,755,530,906,379,602,579,96,5661,115,144,49,34,72,40,47,82,27,606,8,3,7,0,8,4,0,10,12,40,15403,27107,22271,17397,18537,11430,11700,12937,2449,139231
505,183,316,1664,3303,698,5749,658,3667,213,16451,1027,3547,4182,5525,2839,4410,1391,3104,432,26441,5995,17359,11298,7873,7309,3917,3688,4752,1208,63394,10285,19419,10450,6866,8751,3219,3702,4329,1122,68144,10387,15461,8753,6611,9349,3504,3614,4353,961,62989,6594,9742,6387,4686,7506,2886,3078,3754,566,45200,1569,2623,1467,1024,2161,894,883,1217,192,12026,175,280,124,56,193,99,73,144,81,1232,11,14,7,0,13,8,0,9,13,83,36219,68763,44341,35946,38821,24687,17081,25320,4782,295961
506,194,327,1384,2368,604,4463,718,3058,230,13331,930,3357,4270,5106,2589,3862,1942,3336,498,25891,4891,15920,10402,7372,7011,3667,5157,5429,1212,61065,7773,16900,9725,6501,7847,2838,5108,4451,1070,62227,7042,11242,7495,5388,7245,2511,4552,4196,827,50487,4839,7082,4967,3694,6040,2141,4016,3300,578,36658,1367,2214,1291,895,1636,713,1016,1034,174,10344,186,246,104,65,151,65,58,142,64,1078,14,9,0,0,12,6,4,5,29,77,27228,57300,39636,31393,33138,20262,22556,24953,4683,261148
507,163,273,1382,2452,473,4353,585,2976,195,12860,830,2559,3564,4250,1922,3019,1233,2369,287,20026,4296,12889,8626,5583,5258,2627,3070,3404,797,46545,7280,14344,8026,5161,6147,2253,3136,3098,809,50261,7307,11219,6823,4955,6386,2473,3345,3231,740,46477,4874,7505,4691,3419,5294,1960,2906,2773,497,33923,1208,2269,998,707,1371,636,713,785,156,8841,157,249,59,37,112,75,47,114,46,905,6,11,0,0,10,0,0,9,23,60,26124,51324,34174,26572,26970,17400,15035,18759,3543,219901
509,75,42,566,517,122,887,135,938,86,3375,275,313,909,550,301,415,334,845,66,4009,1335,1515,1879,1014,929,554,794,1532,133,9679,2311,1806,1700,1204,1264,585,929,1341,168,11307,3050,1894,1785,1486,1458,744,1348,1503,202,13468,3243,1751,1568,1347,1548,750,1549,1589,218,13565,1840,573,443,318,492,255,520,567,102,5115,543,56,48,30,60,41,42,124,55,988,80,5,0,0,0,0,8,11,17,115,12740,7952,8898,6452,6175,4225,5653,8458,1060,61621
510,22,47,292,291,128,492,82,434,61,1845,103,364,657,392,286,204,292,473,75,2846,858,2188,2612,1218,1078,446,1181,1135,240,10948,1306,1824,2543,1128,1223,319,1310,851,273,10782,1122,1172,1622,807,897,316,1303,710,201,8150,814,819,904,513,598,258,985,518,119,5529,192,216,170,118,133,67,209,127,32,1271,27,10,11,3,8,4,12,17,11,98,0,0,0,0,0,0,0,0,0,4,4436,6639,8804,4474,4363,2110,5375,4257,1006,41467
511,44,41,606,494,132,943,175,715,72,3230,169,454,1074,603,430,442,533,648,74,4429,879,1938,2435,1229,1128,622,1374,1169,183,10952,1631,1888,2026,1158,1232,585,1330,1035,161,11036,1897,1769,1833,1202,1406,640,1637,1116,237,11751,1635,1327,1448,966,1189,570,1613,1159,188,10096,694,354,337,223,351,143,442,349,78,2967,182,46,25,19,32,20,30,47,39,443,12,4,0,0,0,0,0,3,13,32,7135,7827,9786,5890,5900,3967,7145,6243,1039,54931
597,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,17,0,3,15,0,0,0,11,25,0,62,0,8,30,0,4,0,8,36,4,95,4,8,13,0,0,0,5,21,6,59,0,9,13,0,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,83,9,10,0,31,98,6,277
599,0,0,5,13,7,8,5,13,5,53,4,20,20,39,15,13,16,51,5,185,33,85,82,76,31,20,49,118,6,501,40,67,69,41,32,15,46,40,4,355,15,36,58,17,30,6,57,24,4,248,12,27,27,30,24,9,35,41,5,216,0,9,6,4,10,0,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,257,272,223,150,77,213,292,33,1614
