SA4_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
501,823,2550,788,1600,110,6338,680,500,3088,1579,2958,263,9075,15,21,151,111,305,25,625,68,47,244,305,1720,67,2447,63,22,300,249,964,317,1915,2370,2117,12728,8714,29429,2245,57604
502,355,1211,434,811,86,3131,255,196,1321,952,1668,128,4527,17,6,56,61,152,24,310,25,14,100,201,852,44,1241,29,14,122,155,597,166,1081,1094,881,5110,4716,14757,1180,27731
503,1094,3334,584,517,127,8176,3886,1015,7421,1295,948,345,14912,234,85,750,240,221,36,1573,253,78,648,343,679,42,2044,605,118,1282,340,372,276,2995,17237,4962,37917,9071,9937,2044,81173
504,1213,3794,1190,1901,203,9604,1461,870,5499,2856,3932,474,15095,112,52,469,278,534,45,1481,162,70,619,703,2860,111,4528,278,63,907,608,1726,521,4101,7689,3999,26638,15982,36941,3339,94587
505,3129,9907,2941,3878,485,23725,4004,2085,14212,6283,7355,1050,34994,220,117,1140,574,1011,98,3159,381,181,1520,1650,5221,287,9240,622,175,2073,1276,3146,1054,8339,19729,9754,67922,35451,70198,7268,210324
506,2081,7380,2094,3305,346,18571,3774,1681,12203,5184,6302,882,30035,242,76,962,540,1013,87,2922,409,158,1313,1260,4296,252,7692,835,141,2058,1198,2970,1188,8401,21337,7411,59321,29361,60144,6466,184038
507,2350,7354,2102,3272,369,18467,3181,1765,10645,4315,5735,720,26366,190,90,785,382,759,75,2277,261,135,958,946,3613,163,6073,492,134,1585,908,2658,831,6612,15215,7312,47994,24417,56492,5245,156679
509,525,1759,555,1066,103,4325,403,285,1813,1112,1669,207,5496,26,3,78,66,160,23,356,35,25,117,184,1170,53,1592,30,16,145,135,623,249,1204,1474,1292,8000,5782,18269,1838,36655
510,347,1372,338,715,84,3149,367,285,1269,571,819,119,3438,20,8,77,51,123,20,299,40,17,127,146,629,38,999,49,17,156,95,570,226,1110,1495,1041,6197,4094,14283,1214,28326
511,417,1574,468,1021,110,3896,376,272,1579,871,1297,164,4553,13,5,64,52,121,21,277,21,20,89,187,1198,43,1559,34,15,125,127,645,217,1167,1498,1104,6854,4884,17880,1572,33793
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
599,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
