SA4_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
501,488,1027,1583,1703,1800,1812,1911,931,258,11516,295,1261,2123,2097,2168,2074,1420,563,160,12155,130,960,2363,2483,2634,2401,1358,407,82,12829,37,527,1775,1920,2027,1803,707,195,44,9044,32,323,1433,1899,1971,1603,539,162,62,8030,13,177,1117,1495,1757,1329,323,84,16,6315,11,233,1788,2978,3236,2375,535,96,26,11286,4,32,355,703,824,567,148,34,10,2683,11,29,281,838,1073,733,291,81,28,3363,789,610,1724,1932,2012,1798,1625,1138,704,12318,10963,7948,19963,24032,25548,25879,23091,11650,3986,153058
502,177,577,787,828,757,855,1208,751,207,6149,113,610,951,893,975,906,827,406,112,5801,61,468,1099,1036,1197,1229,689,268,51,6092,38,283,836,763,933,904,380,143,25,4305,17,199,711,795,870,823,297,105,40,3865,10,116,554,697,859,665,180,47,4,3131,15,204,1145,1628,1936,1505,316,52,15,6807,0,13,263,456,456,354,76,17,3,1648,4,25,214,508,701,513,171,61,32,2228,375,413,835,952,993,868,918,833,629,6814,5986,5306,10886,11904,13147,14327,14903,9248,3095,88811
503,176,1136,1809,970,735,847,1141,701,284,7801,111,1087,2444,1340,1059,1041,1238,681,266,9260,50,1161,3284,1864,1374,1366,1188,663,223,11174,28,751,3115,1676,1296,1237,927,378,131,9544,28,451,3201,1892,1503,1358,811,360,113,9716,8,216,2471,1787,1414,1188,603,238,72,8009,6,244,4354,4485,3676,2746,1175,430,136,17254,5,45,1086,1582,1479,1056,416,137,48,5863,13,45,1223,4730,5691,3718,1392,450,116,17381,387,870,2332,1521,1184,1067,1030,823,688,9905,10172,13265,31226,26204,23348,20445,16415,9364,4406,154860
504,469,1825,2688,2467,1994,1899,1715,888,265,14210,322,2054,4127,3287,2986,2477,1456,501,144,17344,178,1869,5410,4254,3801,3430,1349,326,74,20696,63,1067,4429,3920,3259,2633,807,172,39,16385,29,552,3718,3510,3108,2481,710,151,40,14293,17,266,2558,2870,2622,1747,441,57,13,10586,18,318,3880,5594,4932,3273,669,99,17,18795,0,41,787,1362,1189,724,173,29,0,4310,10,43,620,1583,1713,952,244,67,10,5255,857,1184,3254,2917,2441,1837,1253,1096,828,15679,15820,16571,41245,40744,36289,32139,23530,12238,4488,223065
505,874,3683,5260,4726,4251,4016,4109,2300,792,30012,597,4186,7683,6140,5865,4928,3390,1406,450,34655,271,3575,10121,8280,7614,6534,3273,951,264,40879,110,2128,8839,7574,6628,5243,2122,526,124,33292,56,1175,7883,7491,6600,4935,1621,398,113,30266,22,518,5545,6204,5644,3807,988,177,44,22951,22,565,8323,12930,11614,7396,1559,265,65,42742,7,82,1574,3431,3208,1861,432,99,21,10717,8,59,1569,5122,5888,3114,749,190,52,16746,1456,1909,4843,4423,3906,3084,2398,2132,1867,26019,34435,34506,79404,84122,77506,65784,51388,27668,10928,465735
506,861,3782,5643,4599,3650,3205,3221,1661,554,27163,592,4246,8291,6360,5265,4284,2743,1067,372,33225,324,3601,10565,8817,6832,5539,2601,665,173,39119,115,2043,8525,7286,5737,4482,1668,363,79,30306,59,1121,7065,7106,5484,4199,1248,284,92,26663,25,501,4518,5556,4400,3043,903,142,38,19112,32,606,6881,10713,8779,5558,1291,182,49,34088,5,98,1346,2711,2283,1335,352,52,9,8188,18,80,1189,3486,3602,2262,607,199,60,11491,1603,2440,5894,5076,4041,3191,2425,2222,1999,28894,30444,35999,80825,80385,65525,56276,44457,23222,9154,426298
507,741,2830,3802,3439,3072,2938,3035,1647,540,22038,509,2984,5280,4525,4031,3582,2533,1056,341,24835,285,2715,7157,5938,5548,4744,2400,767,210,29758,120,1812,6337,5380,4793,3809,1578,407,82,24316,57,991,5918,5466,5031,3827,1259,297,140,22971,30,434,4214,4645,4165,2979,826,164,64,17527,29,580,6668,9960,9206,5943,1389,223,79,34069,5,99,1409,2652,2437,1517,349,91,30,8590,15,66,1178,3930,4363,2821,756,239,50,13424,1283,1847,4450,3992,3347,2599,2097,1936,1697,23241,26454,26979,60317,63557,58745,51211,39261,21356,8752,356647
509,329,708,1048,1076,1176,1362,1342,705,207,7950,231,855,1360,1344,1584,1702,1124,443,149,8791,141,725,1739,1665,1862,2143,1069,336,72,9750,44,388,1179,1266,1406,1475,621,164,39,6576,30,225,1064,1134,1427,1368,510,165,48,5969,13,99,690,907,1088,1024,345,93,23,4281,8,123,927,1495,1952,1695,505,99,26,6828,0,26,188,357,419,407,124,33,13,1567,3,20,169,413,604,537,276,93,33,2150,772,655,1684,1759,2026,2107,1830,1253,678,12771,7320,5712,13823,15284,18137,21212,18757,9724,3308,113275
510,162,277,572,494,380,280,153,38,3,2360,153,407,857,655,477,376,171,37,8,3139,138,521,1254,943,747,587,188,30,0,4419,71,458,1205,941,803,590,146,18,0,4227,43,289,1350,1093,842,618,138,15,5,4389,22,205,1158,1045,806,604,151,3,0,3992,27,328,2387,2676,2078,1305,214,14,0,9036,0,70,786,886,698,443,78,3,0,2966,6,41,759,1345,894,515,88,16,0,3670,896,1111,3486,3016,2414,1768,647,194,60,13598,4829,5265,17080,15963,12321,9031,3443,949,204,69087
511,324,676,962,815,852,847,727,367,101,5664,241,758,1197,1050,1115,1114,582,203,63,6328,131,660,1494,1258,1455,1445,636,156,37,7270,84,495,1209,1161,1186,1002,392,91,15,5634,50,404,1322,1131,1274,1077,307,85,31,5681,27,260,1052,1042,1092,874,272,47,11,4665,22,335,1857,2240,2347,1764,404,68,14,9053,0,44,459,617,592,428,84,20,3,2254,9,29,335,614,718,499,179,57,7,2452,920,1093,2549,2372,2259,2019,1413,872,382,13875,6553,6674,15956,15584,16262,15931,11367,5542,1749,95614
