SA4_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
501,214,337,676,646,725,506,154,18,0,3275,238,276,590,714,686,566,237,81,16,3404,5879,5881,14729,18700,19981,16454,5044,717,69,87452
502,136,168,390,308,334,269,89,14,4,1706,127,173,355,362,385,296,116,35,7,1859,2941,3715,7544,8585,9639,8344,2152,250,22,43190
503,147,325,658,535,419,354,161,30,3,2627,152,388,993,849,786,491,212,67,11,3956,4474,9554,25235,21330,18866,13853,5143,909,82,99451
504,273,661,1543,1334,1165,855,277,26,3,6143,310,679,1631,1621,1386,978,294,55,9,6970,7425,12323,31575,31857,28276,21468,5661,606,40,139231
505,585,1290,3044,2712,2359,1713,529,73,4,12321,612,1284,3022,3149,2700,1862,549,120,19,13314,16451,26441,63394,68144,62989,45200,12026,1232,83,295961
506,495,1208,2599,2296,1913,1413,476,68,0,10463,586,1378,3475,3195,2488,1692,533,108,26,13485,13331,25891,61065,62227,50487,36658,10344,1078,77,261148
507,500,855,1955,1729,1554,1168,323,38,5,8124,514,959,2294,2423,2107,1465,454,91,20,10331,12860,20026,46545,50261,46477,33923,8841,905,60,219901
509,171,237,433,436,397,419,149,14,0,2249,190,180,361,353,485,506,233,91,19,2419,3375,4009,9679,11307,13468,13565,5115,988,115,61621
510,80,125,373,369,258,145,32,0,0,1386,107,168,459,451,342,230,60,14,0,1833,1845,2846,10948,10782,8150,5529,1271,98,4,41467
511,192,264,484,411,427,313,95,12,0,2197,154,216,431,404,437,374,156,44,11,2220,3230,4429,10952,11036,11751,10096,2967,443,32,54931
597,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
599,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
