SA4_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
501,546,970,1522,10867,13561,24429,0,0,0,1404,1499,2907,5,5,11,14048,16150,30201,274,340,612,245,271,512,500,714,1218,242,277,519,194,241,436,16,14,31,331,388,720,455,544,1005,1007,1117,2121,99,153,254,293,344,637,1649,2274,3926,2549,2914,5464,98,117,210,34288,40933,75222,341,314,653,549,497,1049,44,42,85,4,19,19,143,116,254,235,388,623,383,518,902,47784,44689,92476,272,191,456,129,223,353,48184,45100,93287,8925,7105,16029,93269,95483,188747
502,318,653,969,7488,9480,16969,0,0,0,954,1140,2095,6,12,22,7544,8946,16481,92,104,195,134,169,309,381,501,880,167,184,354,132,188,316,3,6,17,242,300,538,472,604,1073,777,837,1615,75,114,193,56,84,139,834,1280,2117,1485,1726,3211,42,61,103,20897,25730,46632,254,275,529,184,212,393,26,19,46,0,3,3,94,73,163,159,287,446,251,368,615,25320,24205,49527,141,108,254,84,183,268,25549,24503,50053,4497,3908,8404,51979,55660,107641
503,2406,3203,5609,9103,10856,19959,4,0,0,652,732,1382,0,0,0,16112,18700,34814,220,264,482,1472,1747,3216,130,152,279,37,28,67,198,241,442,71,55,129,341,439,783,375,491,868,843,1026,1874,38,53,96,66,60,131,1413,1959,3370,1735,2257,3988,45,58,97,32855,39121,71977,1937,1911,3839,1353,1260,2610,468,463,932,0,4,9,155,147,304,406,450,852,565,599,1163,42884,39513,82396,516,366,889,135,213,346,43540,40089,83633,6902,5596,12501,90025,92241,182267
504,2952,4108,7060,11242,13771,25015,0,0,0,1975,2202,4175,100,92,190,26720,29405,56118,364,462,825,1649,1674,3325,498,615,1113,266,362,631,245,304,547,192,181,376,809,941,1751,1391,1659,3049,1240,1381,2616,166,239,403,289,352,642,1321,1825,3145,4543,5222,9762,190,206,399,53193,60890,114085,3457,3228,6684,4391,4153,8539,350,387,739,12,9,18,1670,1548,3218,485,684,1173,2171,2244,4406,59298,54636,113933,471,349,817,197,321,514,59961,55303,115262,11634,8158,19796,138101,138478,276573
505,5903,8044,13947,26267,33166,59437,14,13,27,4640,5164,9805,17,15,40,56116,64459,120573,673,884,1560,5407,5742,11155,981,1320,2298,778,912,1691,488,602,1093,691,695,1391,1683,2028,3710,3213,3847,7058,3149,3623,6766,213,307,516,366,482,847,3378,4833,8211,9085,10838,19930,255,277,534,117433,139216,256651,6130,5675,11799,8018,7734,15755,1446,1597,3044,11,12,20,1570,1450,3023,1019,1355,2372,2601,2818,5414,122056,112849,234903,880,628,1512,369,589,955,123301,114067,237366,18230,15087,33316,283068,294235,577297
506,8051,10101,18152,19490,24066,43560,0,3,4,4596,5193,9787,402,366,766,43766,48382,92150,583,723,1307,1204,1285,2484,788,1032,1822,499,558,1051,461,590,1053,521,505,1029,1631,1848,3478,3313,3873,7186,4260,4705,8965,216,317,534,1018,1258,2272,3189,4331,7521,9919,11415,21335,392,476,867,96251,110924,207174,10754,9999,20754,15973,14648,30626,150,150,296,26,18,42,4871,4298,9171,889,1297,2189,5782,5614,11397,105685,96398,202080,835,607,1441,293,443,735,106813,97445,204258,20373,16439,36811,264141,265325,529466
507,2815,4455,7266,19544,24394,43934,0,0,0,3025,3583,6607,118,140,257,42894,48939,91835,396,521,913,1522,1723,3244,812,1054,1863,445,478,923,434,584,1017,135,149,286,1192,1329,2519,2137,2453,4588,3136,3433,6569,199,310,508,338,381,723,2779,3916,6689,6700,7955,14652,223,264,490,86039,101595,187636,3045,3011,6051,2479,2493,4972,171,200,375,12,14,30,1122,988,2103,810,1111,1921,1946,2113,4055,103266,97653,200920,736,564,1297,362,625,991,104365,98838,203202,17006,12839,29844,217864,225539,443407
509,327,562,891,8861,10071,18929,0,0,0,1606,1711,3315,272,262,539,8333,9149,17485,287,310,600,131,130,259,344,461,801,94,101,198,198,284,481,18,16,38,270,318,583,277,316,597,1030,1115,2149,116,175,294,303,321,623,1818,2201,4022,2121,2440,4566,62,66,129,26152,29449,55603,178,156,328,408,351,758,32,28,58,22,9,25,50,34,86,192,333,527,262,381,644,33188,29404,62597,185,116,296,107,185,292,33480,29708,63191,8780,6923,15707,69616,67561,137175
510,387,671,1058,2386,2328,4712,0,0,0,552,565,1114,5,0,6,7915,7813,15728,64,77,135,135,119,256,120,141,260,92,90,178,145,156,305,13,3,17,684,751,1436,436,524,963,309,247,560,18,33,54,157,200,359,538,612,1144,1356,1432,2788,31,38,63,14962,15122,30082,424,321,746,565,434,999,23,20,45,356,334,693,58,49,108,105,105,209,520,492,1009,20459,17238,37699,99,70,176,41,57,95,20603,17369,37972,10635,7586,18217,48124,41999,90128
511,404,696,1102,5882,6347,12229,0,0,0,656,698,1352,11,9,19,10054,10705,20754,267,333,603,128,101,231,242,339,583,148,176,325,272,325,600,17,10,26,313,354,666,471,558,1030,621,623,1242,69,98,173,299,347,646,1007,1278,2284,1908,2130,4041,57,69,127,22422,24503,46925,354,290,643,524,473,994,16,23,44,117,113,224,70,66,135,134,181,319,318,361,682,27478,23351,50826,130,91,224,62,97,154,27666,23540,51204,9870,7294,17164,61579,57177,118758
